S50.00XA@Contusion of unspecified elbow, initial encounter
S52.219G@Greenstick fx shaft of unsp ulna, subs for fx w delay heal
S52.219K@Greenstick fx shaft of unsp ulna, subs for fx w nonunion
S52.219P@Greenstick fx shaft of unsp ulna, subs for fx w malunion
S52.219S@Greenstick fracture of shaft of unspecified ulna, sequela
S52.221A@Displaced transverse fracture of shaft of right ulna, init
S52.221B@Displ transverse fx shaft of r ulna, 7thB
S52.221C@Displ transverse fx shaft of r ulna, 7thC
S52.221D@Displ transverse fx shaft of r ulna, 7thD
S52.221E@Displ transverse fx shaft of r ulna, 7thE
S52.221F@Displ transverse fx shaft of r ulna, 7thF
S52.221G@Displ transverse fx shaft of r ulna, 7thG
S52.221H@Displ transverse fx shaft of r ulna, 7thH
S52.221J@Displ transverse fx shaft of r ulna, 7thJ
S52.221K@Displ transverse fx shaft of r ulna, 7thK
S52.221M@Displ transverse fx shaft of r ulna, 7thM
S52.221N@Displ transverse fx shaft of r ulna, 7thN
S52.221P@Displ transverse fx shaft of r ulna, 7thP
S52.221Q@Displ transverse fx shaft of r ulna, 7thQ
S52.221R@Displ transverse fx shaft of r ulna, 7thR
S52.221S@Displaced transverse fx shaft of right ulna, sequela
S52.222A@Displaced transverse fracture of shaft of left ulna, init
S52.222B@Displ transverse fx shaft of l ulna, 7thB
S52.222C@Displ transverse fx shaft of l ulna, 7thC
S52.222D@Displ transverse fx shaft of l ulna, 7thD
S52.222E@Displ transverse fx shaft of l ulna, 7thE
S52.222F@Displ transverse fx shaft of l ulna, 7thF
S52.222G@Displ transverse fx shaft of l ulna, 7thG
S52.222H@Displ transverse fx shaft of l ulna, 7thH
S52.222J@Displ transverse fx shaft of l ulna, 7thJ
S52.222K@Displ transverse fx shaft of l ulna, 7thK
S52.222M@Displ transverse fx shaft of l ulna, 7thM
S52.222N@Displ transverse fx shaft of l ulna, 7thN
S52.222P@Displ transverse fx shaft of l ulna, 7thP
S52.222Q@Displ transverse fx shaft of l ulna, 7thQ
S52.222R@Displ transverse fx shaft of l ulna, 7thR
S52.222S@Displaced transverse fracture of shaft of left ulna, sequela
S52.223A@Displaced transverse fracture of shaft of unsp ulna, init
S52.223B@Displ transverse fx shaft of unsp ulna, 7thB
S52.223C@Displ transverse fx shaft of unsp ulna, 7thC
S52.223D@Displ transverse fx shaft of unsp ulna, 7thD
S52.223E@Displ transverse fx shaft of unsp ulna, 7thE
S52.223F@Displ transverse fx shaft of unsp ulna, 7thF
S52.223G@Displ transverse fx shaft of unsp ulna, 7thG
S52.223H@Displ transverse fx shaft of unsp ulna, 7thH
S52.223J@Displ transverse fx shaft of unsp ulna, 7thJ
S52.223K@Displ transverse fx shaft of unsp ulna, 7thK
S52.223M@Displ transverse fx shaft of unsp ulna, 7thM
S52.223N@Displ transverse fx shaft of unsp ulna, 7thN
S52.223P@Displ transverse fx shaft of unsp ulna, 7thP
S52.223Q@Displ transverse fx shaft of unsp ulna, 7thQ
S52.223R@Displ transverse fx shaft of unsp ulna, 7thR
S52.223S@Displaced transverse fracture of shaft of unsp ulna, sequela
S52.224A@Nondisp transverse fracture of shaft of right ulna, init
S52.224B@Nondisp transverse fx shaft of r ulna, 7thB
S52.224C@Nondisp transverse fx shaft of r ulna, 7thC
S52.224D@Nondisp transverse fx shaft of r ulna, 7thD
S52.224E@Nondisp transverse fx shaft of r ulna, 7thE
S52.224F@Nondisp transverse fx shaft of r ulna, 7thF
S52.224G@Nondisp transverse fx shaft of r ulna, 7thG
S52.224H@Nondisp transverse fx shaft of r ulna, 7thH
S52.224J@Nondisp transverse fx shaft of r ulna, 7thJ
S52.224K@Nondisp transverse fx shaft of r ulna, 7thK
S52.224M@Nondisp transverse fx shaft of r ulna, 7thM
S52.224N@Nondisp transverse fx shaft of r ulna, 7thN
S52.224P@Nondisp transverse fx shaft of r ulna, 7thP
S52.224Q@Nondisp transverse fx shaft of r ulna, 7thQ
S52.224R@Nondisp transverse fx shaft of r ulna, 7thR
S52.224S@Nondisp transverse fracture of shaft of right ulna, sequela
S52.225A@Nondisplaced transverse fracture of shaft of left ulna, init
S52.225B@Nondisp transverse fx shaft of l ulna, 7thB
S52.225C@Nondisp transverse fx shaft of l ulna, 7thC
S52.225D@Nondisp transverse fx shaft of l ulna, 7thD
S52.225E@Nondisp transverse fx shaft of l ulna, 7thE
S52.225F@Nondisp transverse fx shaft of l ulna, 7thF
S52.225G@Nondisp transverse fx shaft of l ulna, 7thG
S52.225H@Nondisp transverse fx shaft of l ulna, 7thH
S52.225J@Nondisp transverse fx shaft of l ulna, 7thJ
S52.225K@Nondisp transverse fx shaft of l ulna, 7thK
S52.225M@Nondisp transverse fx shaft of l ulna, 7thM
S52.225N@Nondisp transverse fx shaft of l ulna, 7thN
S52.225P@Nondisp transverse fx shaft of l ulna, 7thP
S52.225Q@Nondisp transverse fx shaft of l ulna, 7thQ
S52.225R@Nondisp transverse fx shaft of l ulna, 7thR
S52.225S@Nondisp transverse fracture of shaft of left ulna, sequela
S52.226A@Nondisplaced transverse fracture of shaft of unsp ulna, init
S52.226B@Nondisp transverse fx shaft of unsp ulna, 7thB
S52.226C@Nondisp transverse fx shaft of unsp ulna, 7thC
S52.226D@Nondisp transverse fx shaft of unsp ulna, 7thD
S52.226E@Nondisp transverse fx shaft of unsp ulna, 7thE
S52.226F@Nondisp transverse fx shaft of unsp ulna, 7thF
S52.226G@Nondisp transverse fx shaft of unsp ulna, 7thG
S52.226H@Nondisp transverse fx shaft of unsp ulna, 7thH
S52.226J@Nondisp transverse fx shaft of unsp ulna, 7thJ
S52.226K@Nondisp transverse fx shaft of unsp ulna, 7thK
S52.226M@Nondisp transverse fx shaft of unsp ulna, 7thM
S52.226N@Nondisp transverse fx shaft of unsp ulna, 7thN
S52.226P@Nondisp transverse fx shaft of unsp ulna, 7thP
S52.226Q@Nondisp transverse fx shaft of unsp ulna, 7thQ
S52.226R@Nondisp transverse fx shaft of unsp ulna, 7thR
S52.226S@Nondisp transverse fracture of shaft of unsp ulna, sequela
S52.231A@Displaced oblique fracture of shaft of right ulna, init
S52.231B@Displ oblique fx shaft of r ulna, init for opn fx type I/2
S52.231C@Displ oblique fx shaft of r ulna, 7thC
S52.231D@Displ oblique fx shaft of r ulna, 7thD
S52.231E@Displ oblique fx shaft of r ulna, 7thE
S52.231F@Displ oblique fx shaft of r ulna, 7thF
S52.231G@Displ oblique fx shaft of r ulna, 7thG
S52.231H@Displ oblique fx shaft of r ulna, 7thH
S52.231J@Displ oblique fx shaft of r ulna, 7thJ
S52.231K@Displ oblique fx shaft of r ulna, 7thK
S52.231M@Displ oblique fx shaft of r ulna, 7thM
S52.231N@Displ oblique fx shaft of r ulna, 7thN
S52.231P@Displ oblique fx shaft of r ulna, 7thP
S52.231Q@Displ oblique fx shaft of r ulna, 7thQ
S52.231R@Displ oblique fx shaft of r ulna, 7thR
S52.231S@Displaced oblique fracture of shaft of right ulna, sequela
S52.232A@Displaced oblique fracture of shaft of left ulna, init
S52.232B@Displ oblique fx shaft of l ulna, init for opn fx type I/2
S52.232C@Displ oblique fx shaft of l ulna, 7thC
S52.232D@Displ oblique fx shaft of l ulna, 7thD
S52.232E@Displ oblique fx shaft of l ulna, 7thE
S52.232F@Displ oblique fx shaft of l ulna, 7thF
S52.232G@Displ oblique fx shaft of l ulna, 7thG
S52.232H@Displ oblique fx shaft of l ulna, 7thH
S52.232J@Displ oblique fx shaft of l ulna, 7thJ
S52.232K@Displ oblique fx shaft of l ulna, 7thK
S52.232M@Displ oblique fx shaft of l ulna, 7thM
S52.232N@Displ oblique fx shaft of l ulna, 7thN
S52.232P@Displ oblique fx shaft of l ulna, 7thP
S52.232Q@Displ oblique fx shaft of l ulna, 7thQ
S52.232R@Displ oblique fx shaft of l ulna, 7thR
S52.232S@Displaced oblique fracture of shaft of left ulna, sequela
S52.233A@Displaced oblique fracture of shaft of unsp ulna, init
S52.233B@Displ oblique fx shaft of unsp ulna, 7thB
S52.233C@Displ oblique fx shaft of unsp ulna, 7thC
S52.233D@Displ oblique fx shaft of unsp ulna, 7thD
S52.233E@Displ oblique fx shaft of unsp ulna, 7thE
S52.233F@Displ oblique fx shaft of unsp ulna, 7thF
S52.233G@Displ oblique fx shaft of unsp ulna, 7thG
S52.233H@Displ oblique fx shaft of unsp ulna, 7thH
S52.233J@Displ oblique fx shaft of unsp ulna, 7thJ
S52.233K@Displ oblique fx shaft of unsp ulna, 7thK
S52.233M@Displ oblique fx shaft of unsp ulna, 7thM
S52.233N@Displ oblique fx shaft of unsp ulna, 7thN
S52.233P@Displ oblique fx shaft of unsp ulna, 7thP
S52.233Q@Displ oblique fx shaft of unsp ulna, 7thQ
S52.233R@Displ oblique fx shaft of unsp ulna, 7thR
S52.233S@Displaced oblique fracture of shaft of unsp ulna, sequela
S52.234A@Nondisplaced oblique fracture of shaft of right ulna, init
S52.234B@Nondisp oblique fx shaft of r ulna, init for opn fx type I/2
S52.234C@Nondisp oblique fx shaft of r ulna, 7thC
S52.234D@Nondisp oblique fx shaft of r ulna, 7thD
S52.234E@Nondisp oblique fx shaft of r ulna, 7thE
S52.234F@Nondisp oblique fx shaft of r ulna, 7thF
S52.234G@Nondisp oblique fx shaft of r ulna, 7thG
S52.234H@Nondisp oblique fx shaft of r ulna, 7thH
S52.234J@Nondisp oblique fx shaft of r ulna, 7thJ
S52.234K@Nondisp oblique fx shaft of r ulna, 7thK
S52.234M@Nondisp oblique fx shaft of r ulna, 7thM
S52.234N@Nondisp oblique fx shaft of r ulna, 7thN
S52.234P@Nondisp oblique fx shaft of r ulna, 7thP
S52.234Q@Nondisp oblique fx shaft of r ulna, 7thQ
S52.234R@Nondisp oblique fx shaft of r ulna, 7thR
S52.234S@Nondisp oblique fracture of shaft of right ulna, sequela
S52.235A@Nondisplaced oblique fracture of shaft of left ulna, init
S52.235B@Nondisp oblique fx shaft of l ulna, init for opn fx type I/2
S52.235C@Nondisp oblique fx shaft of l ulna, 7thC
S52.235D@Nondisp oblique fx shaft of l ulna, 7thD
S52.235E@Nondisp oblique fx shaft of l ulna, 7thE
S52.235F@Nondisp oblique fx shaft of l ulna, 7thF
S52.235G@Nondisp oblique fx shaft of l ulna, 7thG
S52.235H@Nondisp oblique fx shaft of l ulna, 7thH
S52.235J@Nondisp oblique fx shaft of l ulna, 7thJ
S52.235K@Nondisp oblique fx shaft of l ulna, 7thK
S52.235M@Nondisp oblique fx shaft of l ulna, 7thM
S52.235N@Nondisp oblique fx shaft of l ulna, 7thN
S52.235P@Nondisp oblique fx shaft of l ulna, 7thP
S52.235Q@Nondisp oblique fx shaft of l ulna, 7thQ
S52.235R@Nondisp oblique fx shaft of l ulna, 7thR
S52.235S@Nondisplaced oblique fracture of shaft of left ulna, sequela
S52.236A@Nondisplaced oblique fracture of shaft of unsp ulna, init
S52.236B@Nondisp oblique fx shaft of unsp ulna, 7thB
S52.236C@Nondisp oblique fx shaft of unsp ulna, 7thC
S52.236D@Nondisp oblique fx shaft of unsp ulna, 7thD
S52.236E@Nondisp oblique fx shaft of unsp ulna, 7thE
S52.236F@Nondisp oblique fx shaft of unsp ulna, 7thF
S52.236G@Nondisp oblique fx shaft of unsp ulna, 7thG
S52.236H@Nondisp oblique fx shaft of unsp ulna, 7thH
S52.236J@Nondisp oblique fx shaft of unsp ulna, 7thJ
S52.236K@Nondisp oblique fx shaft of unsp ulna, 7thK
S52.236M@Nondisp oblique fx shaft of unsp ulna, 7thM
S52.236N@Nondisp oblique fx shaft of unsp ulna, 7thN
S52.236P@Nondisp oblique fx shaft of unsp ulna, 7thP
S52.236Q@Nondisp oblique fx shaft of unsp ulna, 7thQ
S52.236R@Nondisp oblique fx shaft of unsp ulna, 7thR
S52.236S@Nondisplaced oblique fracture of shaft of unsp ulna, sequela
S52.241A@Displaced spiral fracture of shaft of ulna, right arm, init
S52.241B@Displ spiral fx shaft of ulna, r arm, 7thB
S52.241C@Displ spiral fx shaft of ulna, r arm, 7thC
S52.241D@Displ spiral fx shaft of ulna, r arm, 7thD
S52.241E@Displ spiral fx shaft of ulna, r arm, 7thE
S52.241F@Displ spiral fx shaft of ulna, r arm, 7thF
S52.241G@Displ spiral fx shaft of ulna, r arm, 7thG
S52.241H@Displ spiral fx shaft of ulna, r arm, 7thH
S52.241J@Displ spiral fx shaft of ulna, r arm, 7thJ
S52.241K@Displ spiral fx shaft of ulna, r arm, 7thK
S52.241M@Displ spiral fx shaft of ulna, r arm, 7thM
S52.241N@Displ spiral fx shaft of ulna, r arm, 7thN
S52.241P@Displ spiral fx shaft of ulna, r arm, 7thP
S52.241Q@Displ spiral fx shaft of ulna, r arm, 7thQ
S52.241R@Displ spiral fx shaft of ulna, r arm, 7thR
S52.241S@Displaced spiral fx shaft of ulna, right arm, sequela
S52.242A@Displaced spiral fracture of shaft of ulna, left arm, init
S52.242B@Displ spiral fx shaft of ulna, l arm, 7thB
S52.242C@Displ spiral fx shaft of ulna, l arm, 7thC
S52.242D@Displ spiral fx shaft of ulna, l arm, 7thD
S52.242E@Displ spiral fx shaft of ulna, l arm, 7thE
S52.242F@Displ spiral fx shaft of ulna, l arm, 7thF
S52.242G@Displ spiral fx shaft of ulna, l arm, 7thG
S52.242H@Displ spiral fx shaft of ulna, l arm, 7thH
S52.242J@Displ spiral fx shaft of ulna, l arm, 7thJ
S52.242K@Displ spiral fx shaft of ulna, l arm, 7thK
S52.242M@Displ spiral fx shaft of ulna, l arm, 7thM
S52.242N@Displ spiral fx shaft of ulna, l arm, 7thN
S52.242P@Displ spiral fx shaft of ulna, l arm, 7thP
S52.242Q@Displ spiral fx shaft of ulna, l arm, 7thQ
S52.242R@Displ spiral fx shaft of ulna, l arm, 7thR
S52.242S@Displaced spiral fx shaft of ulna, left arm, sequela
S52.243A@Displaced spiral fracture of shaft of ulna, unsp arm, init
S52.243B@Displ spiral fx shaft of ulna, unsp arm, 7thB
S52.243C@Displ spiral fx shaft of ulna, unsp arm, 7thC
S52.243D@Displ spiral fx shaft of ulna, unsp arm, 7thD
S52.243E@Displ spiral fx shaft of ulna, unsp arm, 7thE
S52.243F@Displ spiral fx shaft of ulna, unsp arm, 7thF
S52.243G@Displ spiral fx shaft of ulna, unsp arm, 7thG
S52.243H@Displ spiral fx shaft of ulna, unsp arm, 7thH
S52.243J@Displ spiral fx shaft of ulna, unsp arm, 7thJ
S52.243K@Displ spiral fx shaft of ulna, unsp arm, 7thK
S52.243M@Displ spiral fx shaft of ulna, unsp arm, 7thM
S52.243N@Displ spiral fx shaft of ulna, unsp arm, 7thN
S52.243P@Displ spiral fx shaft of ulna, unsp arm, 7thP
S52.243Q@Displ spiral fx shaft of ulna, unsp arm, 7thQ
S52.243R@Displ spiral fx shaft of ulna, unsp arm, 7thR
S52.243S@Displaced spiral fx shaft of ulna, unsp arm, sequela
S52.244A@Nondisp spiral fracture of shaft of ulna, right arm, init
S52.244B@Nondisp spiral fx shaft of ulna, r arm, 7thB
S52.244C@Nondisp spiral fx shaft of ulna, r arm, 7thC
S52.244D@Nondisp spiral fx shaft of ulna, r arm, 7thD
S52.244E@Nondisp spiral fx shaft of ulna, r arm, 7thE
S52.244F@Nondisp spiral fx shaft of ulna, r arm, 7thF
S52.244G@Nondisp spiral fx shaft of ulna, r arm, 7thG
S52.244H@Nondisp spiral fx shaft of ulna, r arm, 7thH
S52.244J@Nondisp spiral fx shaft of ulna, r arm, 7thJ
S52.244K@Nondisp spiral fx shaft of ulna, r arm, 7thK
S52.244M@Nondisp spiral fx shaft of ulna, r arm, 7thM
S52.244N@Nondisp spiral fx shaft of ulna, r arm, 7thN
S52.244P@Nondisp spiral fx shaft of ulna, r arm, 7thP
S52.244Q@Nondisp spiral fx shaft of ulna, r arm, 7thQ
S52.244R@Nondisp spiral fx shaft of ulna, r arm, 7thR
S52.244S@Nondisp spiral fracture of shaft of ulna, right arm, sequela
S52.245A@Nondisp spiral fracture of shaft of ulna, left arm, init
S52.245B@Nondisp spiral fx shaft of ulna, l arm, 7thB
S52.245C@Nondisp spiral fx shaft of ulna, l arm, 7thC
S52.245D@Nondisp spiral fx shaft of ulna, l arm, 7thD
S52.245E@Nondisp spiral fx shaft of ulna, l arm, 7thE
S52.245F@Nondisp spiral fx shaft of ulna, l arm, 7thF
S52.245G@Nondisp spiral fx shaft of ulna, l arm, 7thG
S52.245H@Nondisp spiral fx shaft of ulna, l arm, 7thH
S52.245J@Nondisp spiral fx shaft of ulna, l arm, 7thJ
S52.245K@Nondisp spiral fx shaft of ulna, l arm, 7thK
S52.245M@Nondisp spiral fx shaft of ulna, l arm, 7thM
S52.245N@Nondisp spiral fx shaft of ulna, l arm, 7thN
S52.245P@Nondisp spiral fx shaft of ulna, l arm, 7thP
S52.245Q@Nondisp spiral fx shaft of ulna, l arm, 7thQ
S52.245R@Nondisp spiral fx shaft of ulna, l arm, 7thR
S52.245S@Nondisp spiral fracture of shaft of ulna, left arm, sequela
S52.246A@Nondisp spiral fracture of shaft of ulna, unsp arm, init
S52.246B@Nondisp spiral fx shaft of ulna, unsp arm, 7thB
S52.246C@Nondisp spiral fx shaft of ulna, unsp arm, 7thC
S52.246D@Nondisp spiral fx shaft of ulna, unsp arm, 7thD
S52.246E@Nondisp spiral fx shaft of ulna, unsp arm, 7thE
S52.246F@Nondisp spiral fx shaft of ulna, unsp arm, 7thF
S52.246G@Nondisp spiral fx shaft of ulna, unsp arm, 7thG
S52.246H@Nondisp spiral fx shaft of ulna, unsp arm, 7thH
S52.246J@Nondisp spiral fx shaft of ulna, unsp arm, 7thJ
S52.246K@Nondisp spiral fx shaft of ulna, unsp arm, 7thK
S52.246M@Nondisp spiral fx shaft of ulna, unsp arm, 7thM
S52.246N@Nondisp spiral fx shaft of ulna, unsp arm, 7thN
S52.246P@Nondisp spiral fx shaft of ulna, unsp arm, 7thP
S52.246Q@Nondisp spiral fx shaft of ulna, unsp arm, 7thQ
S52.246R@Nondisp spiral fx shaft of ulna, unsp arm, 7thR
S52.246S@Nondisp spiral fracture of shaft of ulna, unsp arm, sequela
S52.251A@Displaced comminuted fx shaft of ulna, right arm, init
S52.251B@Displ commnt fx shaft of ulna, r arm, 7thB
S52.251C@Displ commnt fx shaft of ulna, r arm, 7thC
S52.251D@Displ commnt fx shaft of ulna, r arm, 7thD
S52.251E@Displ commnt fx shaft of ulna, r arm, 7thE
S52.251F@Displ commnt fx shaft of ulna, r arm, 7thF
S52.251G@Displ commnt fx shaft of ulna, r arm, 7thG
S52.251H@Displ commnt fx shaft of ulna, r arm, 7thH
S52.251J@Displ commnt fx shaft of ulna, r arm, 7thJ
S52.251K@Displ commnt fx shaft of ulna, r arm, 7thK
S52.251M@Displ commnt fx shaft of ulna, r arm, 7thM
S52.251N@Displ commnt fx shaft of ulna, r arm, 7thN
S52.251P@Displ commnt fx shaft of ulna, r arm, 7thP
S52.251Q@Displ commnt fx shaft of ulna, r arm, 7thQ
S52.251R@Displ commnt fx shaft of ulna, r arm, 7thR
S52.251S@Displaced comminuted fx shaft of ulna, right arm, sequela
S52.252A@Displaced comminuted fx shaft of ulna, left arm, init
S52.252B@Displ commnt fx shaft of ulna, l arm, 7thB
S52.252C@Displ commnt fx shaft of ulna, l arm, 7thC
S52.252D@Displ commnt fx shaft of ulna, l arm, 7thD
S52.252E@Displ commnt fx shaft of ulna, l arm, 7thE
S52.252F@Displ commnt fx shaft of ulna, l arm, 7thF
S52.252G@Displ commnt fx shaft of ulna, l arm, 7thG
S52.252H@Displ commnt fx shaft of ulna, l arm, 7thH
S52.252J@Displ commnt fx shaft of ulna, l arm, 7thJ
S52.252K@Displ commnt fx shaft of ulna, l arm, 7thK
S52.252M@Displ commnt fx shaft of ulna, l arm, 7thM
S52.252N@Displ commnt fx shaft of ulna, l arm, 7thN
S52.252P@Displ commnt fx shaft of ulna, l arm, 7thP
S52.252Q@Displ commnt fx shaft of ulna, l arm, 7thQ
S52.252R@Displ commnt fx shaft of ulna, l arm, 7thR
S52.252S@Displaced comminuted fx shaft of ulna, left arm, sequela
S52.253A@Displaced comminuted fx shaft of ulna, unsp arm, init
S52.253B@Displ commnt fx shaft of ulna, unsp arm, 7thB
S52.253C@Displ commnt fx shaft of ulna, unsp arm, 7thC
S52.253D@Displ commnt fx shaft of ulna, unsp arm, 7thD
S52.253E@Displ commnt fx shaft of ulna, unsp arm, 7thE
S52.253F@Displ commnt fx shaft of ulna, unsp arm, 7thF
S52.253G@Displ commnt fx shaft of ulna, unsp arm, 7thG
S52.253H@Displ commnt fx shaft of ulna, unsp arm, 7thH
S52.253J@Displ commnt fx shaft of ulna, unsp arm, 7thJ
S52.253K@Displ commnt fx shaft of ulna, unsp arm, 7thK
S52.253M@Displ commnt fx shaft of ulna, unsp arm, 7thM
S52.253N@Displ commnt fx shaft of ulna, unsp arm, 7thN
S52.253P@Displ commnt fx shaft of ulna, unsp arm, 7thP
S52.253Q@Displ commnt fx shaft of ulna, unsp arm, 7thQ
S52.253R@Displ commnt fx shaft of ulna, unsp arm, 7thR
S52.253S@Displaced comminuted fx shaft of ulna, unsp arm, sequela
S52.254A@Nondisp comminuted fx shaft of ulna, right arm, init
S52.254B@Nondisp commnt fx shaft of ulna, r arm, 7thB
S52.254C@Nondisp commnt fx shaft of ulna, r arm, 7thC
S52.254D@Nondisp commnt fx shaft of ulna, r arm, 7thD
S52.254E@Nondisp commnt fx shaft of ulna, r arm, 7thE
S52.254F@Nondisp commnt fx shaft of ulna, r arm, 7thF
S52.254G@Nondisp commnt fx shaft of ulna, r arm, 7thG
S52.254H@Nondisp commnt fx shaft of ulna, r arm, 7thH
S52.254J@Nondisp commnt fx shaft of ulna, r arm, 7thJ
S52.254K@Nondisp commnt fx shaft of ulna, r arm, 7thK
S52.254M@Nondisp commnt fx shaft of ulna, r arm, 7thM
S52.254N@Nondisp commnt fx shaft of ulna, r arm, 7thN
S52.254P@Nondisp commnt fx shaft of ulna, r arm, 7thP
S52.254Q@Nondisp commnt fx shaft of ulna, r arm, 7thQ
S52.254R@Nondisp commnt fx shaft of ulna, r arm, 7thR
S52.254S@Nondisp comminuted fx shaft of ulna, right arm, sequela
S52.255A@Nondisp comminuted fracture of shaft of ulna, left arm, init
S52.255B@Nondisp commnt fx shaft of ulna, l arm, 7thB
S52.255C@Nondisp commnt fx shaft of ulna, l arm, 7thC
S52.255D@Nondisp commnt fx shaft of ulna, l arm, 7thD
S52.255E@Nondisp commnt fx shaft of ulna, l arm, 7thE
S52.255F@Nondisp commnt fx shaft of ulna, l arm, 7thF
S52.255G@Nondisp commnt fx shaft of ulna, l arm, 7thG
S52.255H@Nondisp commnt fx shaft of ulna, l arm, 7thH
S52.255J@Nondisp commnt fx shaft of ulna, l arm, 7thJ
S52.255K@Nondisp commnt fx shaft of ulna, l arm, 7thK
S52.255M@Nondisp commnt fx shaft of ulna, l arm, 7thM
S52.255N@Nondisp commnt fx shaft of ulna, l arm, 7thN
S52.255P@Nondisp commnt fx shaft of ulna, l arm, 7thP
S52.255Q@Nondisp commnt fx shaft of ulna, l arm, 7thQ
S52.255R@Nondisp commnt fx shaft of ulna, l arm, 7thR
S52.255S@Nondisp comminuted fx shaft of ulna, left arm, sequela
S52.256A@Nondisp comminuted fracture of shaft of ulna, unsp arm, init
S52.256B@Nondisp commnt fx shaft of ulna, unsp arm, 7thB
S52.256C@Nondisp commnt fx shaft of ulna, unsp arm, 7thC
S52.256D@Nondisp commnt fx shaft of ulna, unsp arm, 7thD
S52.256E@Nondisp commnt fx shaft of ulna, unsp arm, 7thE
S52.256F@Nondisp commnt fx shaft of ulna, unsp arm, 7thF
S52.256G@Nondisp commnt fx shaft of ulna, unsp arm, 7thG
S52.256H@Nondisp commnt fx shaft of ulna, unsp arm, 7thH
S52.256J@Nondisp commnt fx shaft of ulna, unsp arm, 7thJ
S52.256K@Nondisp commnt fx shaft of ulna, unsp arm, 7thK
S52.256M@Nondisp commnt fx shaft of ulna, unsp arm, 7thM
S52.256N@Nondisp commnt fx shaft of ulna, unsp arm, 7thN
S52.256P@Nondisp commnt fx shaft of ulna, unsp arm, 7thP
S52.256Q@Nondisp commnt fx shaft of ulna, unsp arm, 7thQ
S52.256R@Nondisp commnt fx shaft of ulna, unsp arm, 7thR
S52.256S@Nondisp comminuted fx shaft of ulna, unsp arm, sequela
S52.261A@Displaced segmental fx shaft of ulna, right arm, init
S52.261B@Displ seg fx shaft of ulna, r arm, init for opn fx type I/2
S52.261C@Displ seg fx shaft of ulna, r arm, 7thC
S52.261D@Displ seg fx shaft of ulna, r arm, 7thD
S52.261E@Displ seg fx shaft of ulna, r arm, 7thE
S52.261F@Displ seg fx shaft of ulna, r arm, 7thF
S52.261G@Displ seg fx shaft of ulna, r arm, 7thG
S52.261H@Displ seg fx shaft of ulna, r arm, 7thH
S52.261J@Displ seg fx shaft of ulna, r arm, 7thJ
S52.261K@Displ seg fx shaft of ulna, r arm, 7thK
S52.261M@Displ seg fx shaft of ulna, r arm, 7thM
S52.261N@Displ seg fx shaft of ulna, r arm, 7thN
S52.261P@Displ seg fx shaft of ulna, r arm, 7thP
S52.261Q@Displ seg fx shaft of ulna, r arm, 7thQ
S52.261R@Displ seg fx shaft of ulna, r arm, 7thR
S52.261S@Displaced segmental fx shaft of ulna, right arm, sequela
S52.262A@Displaced segmental fx shaft of ulna, left arm, init
S52.262B@Displ seg fx shaft of ulna, l arm, init for opn fx type I/2
S52.262C@Displ seg fx shaft of ulna, l arm, 7thC
S52.262D@Displ seg fx shaft of ulna, l arm, 7thD
S52.262E@Displ seg fx shaft of ulna, l arm, 7thE
S52.262F@Displ seg fx shaft of ulna, l arm, 7thF
S52.262G@Displ seg fx shaft of ulna, l arm, 7thG
S52.262H@Displ seg fx shaft of ulna, l arm, 7thH
S52.262J@Displ seg fx shaft of ulna, l arm, 7thJ
S52.262K@Displ seg fx shaft of ulna, l arm, 7thK
S52.262M@Displ seg fx shaft of ulna, l arm, 7thM
S52.262N@Displ seg fx shaft of ulna, l arm, 7thN
S52.262P@Displ seg fx shaft of ulna, l arm, 7thP
S52.262Q@Displ seg fx shaft of ulna, l arm, 7thQ
S52.262R@Displ seg fx shaft of ulna, l arm, 7thR
S52.262S@Displaced segmental fx shaft of ulna, left arm, sequela
S52.263A@Displaced segmental fx shaft of ulna, unsp arm, init
S52.263B@Displ seg fx shaft of ulna, unsp arm, 7thB
S52.263C@Displ seg fx shaft of ulna, unsp arm, 7thC
S52.263D@Displ seg fx shaft of ulna, unsp arm, 7thD
S52.263E@Displ seg fx shaft of ulna, unsp arm, 7thE
S52.263F@Displ seg fx shaft of ulna, unsp arm, 7thF
S52.263G@Displ seg fx shaft of ulna, unsp arm, 7thG
S52.263H@Displ seg fx shaft of ulna, unsp arm, 7thH
S52.263J@Displ seg fx shaft of ulna, unsp arm, 7thJ
S52.263K@Displ seg fx shaft of ulna, unsp arm, 7thK
S52.263M@Displ seg fx shaft of ulna, unsp arm, 7thM
S52.263N@Displ seg fx shaft of ulna, unsp arm, 7thN
S52.263P@Displ seg fx shaft of ulna, unsp arm, 7thP
S52.263Q@Displ seg fx shaft of ulna, unsp arm, 7thQ
S52.263R@Displ seg fx shaft of ulna, unsp arm, 7thR
S52.263S@Displaced segmental fx shaft of ulna, unsp arm, sequela
S52.264A@Nondisp segmental fracture of shaft of ulna, right arm, init
S52.264B@Nondisp seg fx shaft of ulna, r arm, 7thB
S52.264C@Nondisp seg fx shaft of ulna, r arm, 7thC
S52.264D@Nondisp seg fx shaft of ulna, r arm, 7thD
S52.264E@Nondisp seg fx shaft of ulna, r arm, 7thE
S52.264F@Nondisp seg fx shaft of ulna, r arm, 7thF
S52.264G@Nondisp seg fx shaft of ulna, r arm, 7thG
S52.264H@Nondisp seg fx shaft of ulna, r arm, 7thH
