S60.00XA@Contusion of unsp finger without damage to nail, init encntr
S61.449D@Puncture wound with foreign body of unsp hand, subs encntr
S61.449S@Puncture wound with foreign body of unsp hand, sequela
S61.451A@Open bite of right hand, initial encounter
S61.451D@Open bite of right hand, subsequent encounter
S61.451S@Open bite of right hand, sequela
S61.452A@Open bite of left hand, initial encounter
S61.452D@Open bite of left hand, subsequent encounter
S61.452S@Open bite of left hand, sequela
S61.459A@Open bite of unspecified hand, initial encounter
S61.459D@Open bite of unspecified hand, subsequent encounter
S61.459S@Open bite of unspecified hand, sequela
S61.501A@Unspecified open wound of right wrist, initial encounter
S61.501D@Unspecified open wound of right wrist, subsequent encounter
S61.501S@Unspecified open wound of right wrist, sequela
S61.502A@Unspecified open wound of left wrist, initial encounter
S61.502D@Unspecified open wound of left wrist, subsequent encounter
S61.502S@Unspecified open wound of left wrist, sequela
S61.509A@Unspecified open wound of unspecified wrist, init encntr
S61.509D@Unspecified open wound of unspecified wrist, subs encntr
S61.509S@Unspecified open wound of unspecified wrist, sequela
S61.511A@Laceration without foreign body of right wrist, init encntr
S61.511D@Laceration without foreign body of right wrist, subs encntr
S61.511S@Laceration without foreign body of right wrist, sequela
S61.512A@Laceration without foreign body of left wrist, init encntr
S61.512D@Laceration without foreign body of left wrist, subs encntr
S61.512S@Laceration without foreign body of left wrist, sequela
S61.519A@Laceration without foreign body of unsp wrist, init encntr
S61.519D@Laceration without foreign body of unsp wrist, subs encntr
S61.519S@Laceration without foreign body of unsp wrist, sequela
S61.521A@Laceration with foreign body of right wrist, init encntr
S61.521D@Laceration with foreign body of right wrist, subs encntr
S61.521S@Laceration with foreign body of right wrist, sequela
S61.522A@Laceration with foreign body of left wrist, init encntr
S61.522D@Laceration with foreign body of left wrist, subs encntr
S61.522S@Laceration with foreign body of left wrist, sequela
S61.529A@Laceration with foreign body of unsp wrist, init encntr
S61.529D@Laceration with foreign body of unsp wrist, subs encntr
S61.529S@Laceration with foreign body of unspecified wrist, sequela
S61.531A@Puncture wound w/o foreign body of right wrist, init encntr
S61.531D@Puncture wound w/o foreign body of right wrist, subs encntr
S61.531S@Puncture wound without foreign body of right wrist, sequela
S61.532A@Puncture wound w/o foreign body of left wrist, init encntr
S61.532D@Puncture wound w/o foreign body of left wrist, subs encntr
S61.532S@Puncture wound without foreign body of left wrist, sequela
S61.539A@Puncture wound w/o foreign body of unsp wrist, init encntr
S61.539D@Puncture wound w/o foreign body of unsp wrist, subs encntr
S61.539S@Puncture wound without foreign body of unsp wrist, sequela
S61.541A@Puncture wound with foreign body of right wrist, init encntr
S61.541D@Puncture wound with foreign body of right wrist, subs encntr
S61.541S@Puncture wound with foreign body of right wrist, sequela
S61.542A@Puncture wound with foreign body of left wrist, init encntr
S61.542D@Puncture wound with foreign body of left wrist, subs encntr
S61.542S@Puncture wound with foreign body of left wrist, sequela
S61.549A@Puncture wound with foreign body of unsp wrist, init encntr
S61.549D@Puncture wound with foreign body of unsp wrist, subs encntr
S61.549S@Puncture wound with foreign body of unsp wrist, sequela
S61.551A@Open bite of right wrist, initial encounter
S61.551D@Open bite of right wrist, subsequent encounter
S61.551S@Open bite of right wrist, sequela
S61.552A@Open bite of left wrist, initial encounter
S61.552D@Open bite of left wrist, subsequent encounter
S61.552S@Open bite of left wrist, sequela
S61.559A@Open bite of unspecified wrist, initial encounter
S61.559D@Open bite of unspecified wrist, subsequent encounter
S61.559S@Open bite of unspecified wrist, sequela
S62.001A@Unsp fracture of navicular bone of right wrist, init
S62.001B@Unsp fx navicular bone of right wrist, init for opn fx
S62.001D@Unsp fx navicular bone of r wrist, subs for fx w routn heal
S62.001G@Unsp fx navicular bone of r wrist, subs for fx w delay heal
S62.001K@Unsp fx navicular bone of r wrist, subs for fx w nonunion
S62.001P@Unsp fx navicular bone of r wrist, subs for fx w malunion
S62.001S@Unsp fracture of navicular bone of right wrist, sequela
S62.002A@Unsp fracture of navicular bone of left wrist, init
S62.002B@Unsp fx navicular bone of left wrist, init for opn fx
S62.002D@Unsp fx navicular bone of l wrist, subs for fx w routn heal
S62.002G@Unsp fx navicular bone of l wrist, subs for fx w delay heal
S62.002K@Unsp fx navicular bone of left wrist, subs for fx w nonunion
S62.002P@Unsp fx navicular bone of left wrist, subs for fx w malunion
S62.002S@Unsp fracture of navicular bone of left wrist, sequela
S62.009A@Unsp fracture of navicular bone of unsp wrist, init
S62.009B@Unsp fx navicular bone of unsp wrist, init for opn fx
S62.009D@Unsp fx navic bone of unsp wrist, subs for fx w routn heal
S62.009G@Unsp fx navic bone of unsp wrist, subs for fx w delay heal
S62.009K@Unsp fx navicular bone of unsp wrist, subs for fx w nonunion
S62.009P@Unsp fx navicular bone of unsp wrist, subs for fx w malunion
S62.009S@Unsp fracture of navicular bone of unsp wrist, sequela
S62.011A@Disp fx of distal pole of navicular bone of r wrist, init
S62.011B@Disp fx of dist pole of navic bone of r wrs, init for opn fx
S62.011D@Disp fx of dist pole of navic bone of r wrs, 7thD
S62.011G@Disp fx of dist pole of navic bone of r wrs, 7thG
S62.011K@Disp fx of dist pole of navic bone of r wrs, 7thK
S62.011P@Disp fx of dist pole of navic bone of r wrs, 7thP
S62.011S@Disp fx of distal pole of navicular bone of r wrist, sequela
S62.012A@Disp fx of distal pole of navicular bone of left wrist, init
S62.012B@Disp fx of dist pole of navic bone of l wrs, init for opn fx
S62.012D@Disp fx of dist pole of navic bone of l wrs, 7thD
S62.012G@Disp fx of dist pole of navic bone of l wrs, 7thG
S62.012K@Disp fx of dist pole of navic bone of l wrs, 7thK
S62.012P@Disp fx of dist pole of navic bone of l wrs, 7thP
S62.012S@Disp fx of distal pole of navicular bone of l wrist, sequela
S62.013A@Disp fx of distal pole of navicular bone of unsp wrist, init
S62.013B@Disp fx of dist pole of navic bone of unsp wrs, 7thB
S62.013D@Disp fx of dist pole of navic bone of unsp wrs, 7thD
S62.013G@Disp fx of dist pole of navic bone of unsp wrs, 7thG
S62.013K@Disp fx of dist pole of navic bone of unsp wrs, 7thK
S62.013P@Disp fx of dist pole of navic bone of unsp wrs, 7thP
S62.013S@Disp fx of distal pole of navic bone of unsp wrist, sequela
S62.014A@Nondisp fx of distal pole of navicular bone of r wrist, init
S62.014B@Nondisp fx of dist pole of navic bone of r wrs, 7thB
S62.014D@Nondisp fx of dist pole of navic bone of r wrs, 7thD
S62.014G@Nondisp fx of dist pole of navic bone of r wrs, 7thG
S62.014K@Nondisp fx of dist pole of navic bone of r wrs, 7thK
S62.014P@Nondisp fx of dist pole of navic bone of r wrs, 7thP
S62.014S@Nondisp fx of distal pole of navic bone of r wrist, sequela
S62.015A@Nondisp fx of distal pole of navicular bone of l wrist, init
S62.015B@Nondisp fx of dist pole of navic bone of l wrs, 7thB
S62.015D@Nondisp fx of dist pole of navic bone of l wrs, 7thD
S62.015G@Nondisp fx of dist pole of navic bone of l wrs, 7thG
S62.015K@Nondisp fx of dist pole of navic bone of l wrs, 7thK
S62.015P@Nondisp fx of dist pole of navic bone of l wrs, 7thP
S62.015S@Nondisp fx of distal pole of navic bone of l wrist, sequela
S62.016A@Nondisp fx of distal pole of navic bone of unsp wrist, init
S62.016B@Nondisp fx of dist pole of navic bone of unsp wrs, 7thB
S62.016D@Nondisp fx of dist pole of navic bone of unsp wrs, 7thD
S62.016G@Nondisp fx of dist pole of navic bone of unsp wrs, 7thG
S62.016K@Nondisp fx of dist pole of navic bone of unsp wrs, 7thK
S62.016P@Nondisp fx of dist pole of navic bone of unsp wrs, 7thP
S62.016S@Nondisp fx of distal pole of navic bone of unsp wrist, sqla
S62.021A@Disp fx of middle third of navicular bone of r wrist, init
S62.021B@Disp fx of mid 3rd of navic bone of r wrist, init for opn fx
S62.021D@Disp fx of mid 3rd of navic bone of r wrs, 7thD
S62.021G@Disp fx of mid 3rd of navic bone of r wrs, 7thG
S62.021K@Disp fx of mid 3rd of navic bone of r wrs, 7thK
S62.021P@Disp fx of mid 3rd of navic bone of r wrs, 7thP
S62.021S@Disp fx of middle third of navic bone of r wrist, sequela
S62.022A@Disp fx of middle third of navicular bone of l wrist, init
S62.022B@Disp fx of mid 3rd of navic bone of l wrist, init for opn fx
S62.022D@Disp fx of mid 3rd of navic bone of l wrs, 7thD
S62.022G@Disp fx of mid 3rd of navic bone of l wrs, 7thG
S62.022K@Disp fx of mid 3rd of navic bone of l wrs, 7thK
S62.022P@Disp fx of mid 3rd of navic bone of l wrs, 7thP
S62.022S@Disp fx of middle third of navic bone of l wrist, sequela
S62.023A@Disp fx of middle third of navic bone of unsp wrist, init
S62.023B@Disp fx of mid 3rd of navic bone of unsp wrs, 7thB
S62.023D@Disp fx of mid 3rd of navic bone of unsp wrs, 7thD
S62.023G@Disp fx of mid 3rd of navic bone of unsp wrs, 7thG
S62.023K@Disp fx of mid 3rd of navic bone of unsp wrs, 7thK
S62.023P@Disp fx of mid 3rd of navic bone of unsp wrs, 7thP
S62.023S@Disp fx of middle third of navic bone of unsp wrist, sequela
S62.024A@Nondisp fx of middle third of navic bone of r wrist, init
S62.024B@Nondisp fx of mid 3rd of navic bone of r wrs, 7thB
S62.024D@Nondisp fx of mid 3rd of navic bone of r wrs, 7thD
S62.024G@Nondisp fx of mid 3rd of navic bone of r wrs, 7thG
S62.024K@Nondisp fx of mid 3rd of navic bone of r wrs, 7thK
S62.024P@Nondisp fx of mid 3rd of navic bone of r wrs, 7thP
S62.024S@Nondisp fx of middle third of navic bone of r wrist, sequela
S62.025A@Nondisp fx of middle third of navic bone of l wrist, init
S62.025B@Nondisp fx of mid 3rd of navic bone of l wrs, 7thB
S62.025D@Nondisp fx of mid 3rd of navic bone of l wrs, 7thD
S62.025G@Nondisp fx of mid 3rd of navic bone of l wrs, 7thG
S62.025K@Nondisp fx of mid 3rd of navic bone of l wrs, 7thK
S62.025P@Nondisp fx of mid 3rd of navic bone of l wrs, 7thP
S62.025S@Nondisp fx of middle third of navic bone of l wrist, sequela
S62.026A@Nondisp fx of middle third of navic bone of unsp wrist, init
S62.026B@Nondisp fx of mid 3rd of navic bone of unsp wrs, 7thB
S62.026D@Nondisp fx of mid 3rd of navic bone of unsp wrs, 7thD
S62.026G@Nondisp fx of mid 3rd of navic bone of unsp wrs, 7thG
S62.026K@Nondisp fx of mid 3rd of navic bone of unsp wrs, 7thK
S62.026P@Nondisp fx of mid 3rd of navic bone of unsp wrs, 7thP
S62.026S@Nondisp fx of middle third of navic bone of unsp wrist, sqla
S62.031A@Disp fx of proximal third of navicular bone of r wrist, init
S62.031B@Disp fx of prox 3rd of navic bone of r wrs, init for opn fx
S62.031D@Disp fx of prox 3rd of navic bone of r wrs, 7thD
S62.031G@Disp fx of prox 3rd of navic bone of r wrs, 7thG
S62.031K@Disp fx of prox 3rd of navic bone of r wrs, 7thK
S62.031P@Disp fx of prox 3rd of navic bone of r wrs, 7thP
S62.031S@Disp fx of proximal third of navic bone of r wrist, sequela
S62.032A@Disp fx of proximal third of navicular bone of l wrist, init
S62.032B@Disp fx of prox 3rd of navic bone of l wrs, init for opn fx
S62.032D@Disp fx of prox 3rd of navic bone of l wrs, 7thD
S62.032G@Disp fx of prox 3rd of navic bone of l wrs, 7thG
S62.032K@Disp fx of prox 3rd of navic bone of l wrs, 7thK
S62.032P@Disp fx of prox 3rd of navic bone of l wrs, 7thP
S62.032S@Disp fx of proximal third of navic bone of l wrist, sequela
S62.033A@Disp fx of proximal third of navic bone of unsp wrist, init
S62.033B@Disp fx of prox 3rd of navic bone of unsp wrs, 7thB
S62.033D@Disp fx of prox 3rd of navic bone of unsp wrs, 7thD
S62.033G@Disp fx of prox 3rd of navic bone of unsp wrs, 7thG
S62.033K@Disp fx of prox 3rd of navic bone of unsp wrs, 7thK
S62.033P@Disp fx of prox 3rd of navic bone of unsp wrs, 7thP
S62.033S@Disp fx of prox third of navic bone of unsp wrist, sequela
S62.034A@Nondisp fx of proximal third of navic bone of r wrist, init
S62.034B@Nondisp fx of prox 3rd of navic bone of r wrs, 7thB
S62.034D@Nondisp fx of prox 3rd of navic bone of r wrs, 7thD
S62.034G@Nondisp fx of prox 3rd of navic bone of r wrs, 7thG
S62.034K@Nondisp fx of prox 3rd of navic bone of r wrs, 7thK
S62.034P@Nondisp fx of prox 3rd of navic bone of r wrs, 7thP
S62.034S@Nondisp fx of prox third of navic bone of r wrist, sequela
S62.035A@Nondisp fx of proximal third of navic bone of l wrist, init
S62.035B@Nondisp fx of prox 3rd of navic bone of l wrs, 7thB
S62.035D@Nondisp fx of prox 3rd of navic bone of l wrs, 7thD
S62.035G@Nondisp fx of prox 3rd of navic bone of l wrs, 7thG
S62.035K@Nondisp fx of prox 3rd of navic bone of l wrs, 7thK
S62.035P@Nondisp fx of prox 3rd of navic bone of l wrs, 7thP
S62.035S@Nondisp fx of prox third of navic bone of l wrist, sequela
S62.036A@Nondisp fx of prox third of navic bone of unsp wrist, init
S62.036B@Nondisp fx of prox 3rd of navic bone of unsp wrs, 7thB
S62.036D@Nondisp fx of prox 3rd of navic bone of unsp wrs, 7thD
S62.036G@Nondisp fx of prox 3rd of navic bone of unsp wrs, 7thG
S62.036K@Nondisp fx of prox 3rd of navic bone of unsp wrs, 7thK
S62.036P@Nondisp fx of prox 3rd of navic bone of unsp wrs, 7thP
S62.036S@Nondisp fx of prox third of navic bone of unsp wrist, sqla
S62.101A@Fracture of unsp carpal bone, right wrist, init for clos fx
S62.101B@Fracture of unsp carpal bone, right wrist, init for opn fx
S62.101D@Fx unsp carpal bone, right wrist, subs for fx w routn heal
S62.101G@Fx unsp carpal bone, right wrist, subs for fx w delay heal
S62.101K@Fx unsp carpal bone, right wrist, subs for fx w nonunion
S62.101P@Fx unsp carpal bone, right wrist, subs for fx w malunion
S62.101S@Fracture of unspecified carpal bone, right wrist, sequela
S62.102A@Fracture of unsp carpal bone, left wrist, init for clos fx
S62.102B@Fracture of unsp carpal bone, left wrist, init for opn fx
S62.102D@Fx unsp carpal bone, left wrist, subs for fx w routn heal
S62.102G@Fx unsp carpal bone, left wrist, subs for fx w delay heal
S62.102K@Fx unsp carpal bone, left wrist, subs for fx w nonunion
S62.102P@Fx unsp carpal bone, left wrist, subs for fx w malunion
S62.102S@Fracture of unspecified carpal bone, left wrist, sequela
S62.109A@Fracture of unsp carpal bone, unsp wrist, init for clos fx
S62.109B@Fracture of unsp carpal bone, unsp wrist, init for opn fx
S62.109D@Fx unsp carpal bone, unsp wrist, subs for fx w routn heal
S62.109G@Fx unsp carpal bone, unsp wrist, subs for fx w delay heal
S62.109K@Fx unsp carpal bone, unsp wrist, subs for fx w nonunion
S62.109P@Fx unsp carpal bone, unsp wrist, subs for fx w malunion
S62.109S@Fracture of unsp carpal bone, unspecified wrist, sequela
S62.111A@Disp fx of triquetrum bone, right wrist, init for clos fx
S62.111B@Disp fx of triquetrum bone, right wrist, init for opn fx
S62.111D@Disp fx of triquetrum bone, r wrs, subs for fx w routn heal
S62.111G@Disp fx of triquetrum bone, r wrs, subs for fx w delay heal
S62.111K@Disp fx of triquetrum bone, r wrist, subs for fx w nonunion
S62.111P@Disp fx of triquetrum bone, r wrist, subs for fx w malunion
S62.111S@Displaced fracture of triquetrum bone, right wrist, sequela
S62.112A@Disp fx of triquetrum bone, left wrist, init for clos fx
S62.112B@Disp fx of triquetrum bone, left wrist, init for opn fx
S62.112D@Disp fx of triquetrum bone, l wrs, subs for fx w routn heal
S62.112G@Disp fx of triquetrum bone, l wrs, subs for fx w delay heal
S62.112K@Disp fx of triquetrum bone, l wrist, subs for fx w nonunion
S62.112P@Disp fx of triquetrum bone, l wrist, subs for fx w malunion
S62.112S@Displaced fracture of triquetrum bone, left wrist, sequela
S62.113A@Disp fx of triquetrum bone, unsp wrist, init for clos fx
S62.113B@Disp fx of triquetrum bone, unsp wrist, init for opn fx
S62.113D@Disp fx of triquetrum bone, unsp wrs, 7thD
S62.113G@Disp fx of triquetrum bone, unsp wrs, 7thG
S62.113K@Disp fx of triquetrum bone, unsp wrs, subs for fx w nonunion
S62.113P@Disp fx of triquetrum bone, unsp wrs, subs for fx w malunion
S62.113S@Disp fx of triquetrum bone, unspecified wrist, sequela
S62.114A@Nondisp fx of triquetrum bone, right wrist, init for clos fx
S62.114B@Nondisp fx of triquetrum bone, right wrist, init for opn fx
S62.114D@Nondisp fx of triquetrum bone, r wrs, 7thD
S62.114G@Nondisp fx of triquetrum bone, r wrs, 7thG
S62.114K@Nondisp fx of triquetrum bone, r wrs, subs for fx w nonunion
S62.114P@Nondisp fx of triquetrum bone, r wrs, subs for fx w malunion
S62.114S@Nondisp fx of triquetrum bone, right wrist, sequela
S62.115A@Nondisp fx of triquetrum bone, left wrist, init for clos fx
S62.115B@Nondisp fx of triquetrum bone, left wrist, init for opn fx
S62.115D@Nondisp fx of triquetrum bone, l wrs, 7thD
S62.115G@Nondisp fx of triquetrum bone, l wrs, 7thG
S62.115K@Nondisp fx of triquetrum bone, l wrs, subs for fx w nonunion
S62.115P@Nondisp fx of triquetrum bone, l wrs, subs for fx w malunion
S62.115S@Nondisp fx of triquetrum bone, left wrist, sequela
S62.116A@Nondisp fx of triquetrum bone, unsp wrist, init for clos fx
S62.116B@Nondisp fx of triquetrum bone, unsp wrist, init for opn fx
S62.116D@Nondisp fx of triquetrum bone, unsp wrs, 7thD
S62.116G@Nondisp fx of triquetrum bone, unsp wrs, 7thG
S62.116K@Nondisp fx of triquetrum bone, unsp wrs, 7thK
S62.116P@Nondisp fx of triquetrum bone, unsp wrs, 7thP
S62.116S@Nondisp fx of triquetrum bone, unspecified wrist, sequela
S62.121A@Disp fx of lunate, right wrist, init for clos fx
S62.121B@Disp fx of lunate, right wrist, init for opn fx
S62.121D@Disp fx of lunate, right wrist, subs for fx w routn heal
S62.121G@Disp fx of lunate, right wrist, subs for fx w delay heal
S62.121K@Disp fx of lunate, right wrist, subs for fx w nonunion
S62.121P@Disp fx of lunate, right wrist, subs for fx w malunion
S62.121S@Displaced fracture of lunate, right wrist, sequela
S62.122A@Disp fx of lunate, left wrist, init for clos fx
S62.122B@Disp fx of lunate, left wrist, init encntr for open fracture
S62.122D@Disp fx of lunate, left wrist, subs for fx w routn heal
S62.122G@Disp fx of lunate, left wrist, subs for fx w delay heal
S62.122K@Disp fx of lunate, left wrist, subs for fx w nonunion
S62.122P@Disp fx of lunate, left wrist, subs for fx w malunion
S62.122S@Displaced fracture of lunate, left wrist, sequela
S62.123A@Disp fx of lunate, unsp wrist, init for clos fx
S62.123B@Disp fx of lunate, unsp wrist, init encntr for open fracture
S62.123D@Disp fx of lunate, unsp wrist, subs for fx w routn heal
S62.123G@Disp fx of lunate, unsp wrist, subs for fx w delay heal
S62.123K@Disp fx of lunate, unsp wrist, subs for fx w nonunion
S62.123P@Disp fx of lunate, unsp wrist, subs for fx w malunion
S62.123S@Displaced fracture of lunate, unspecified wrist, sequela
S62.124A@Nondisp fx of lunate, right wrist, init for clos fx
S62.124B@Nondisp fx of lunate, right wrist, init for opn fx
S62.124D@Nondisp fx of lunate, right wrist, subs for fx w routn heal
S62.124G@Nondisp fx of lunate, right wrist, subs for fx w delay heal
S62.124K@Nondisp fx of lunate, right wrist, subs for fx w nonunion
S62.124P@Nondisp fx of lunate, right wrist, subs for fx w malunion
S62.124S@Nondisplaced fracture of lunate, right wrist, sequela
S62.125A@Nondisp fx of lunate, left wrist, init for clos fx
S62.125B@Nondisp fx of lunate, left wrist, init for opn fx
S62.125D@Nondisp fx of lunate, left wrist, subs for fx w routn heal
S62.125G@Nondisp fx of lunate, left wrist, subs for fx w delay heal
S62.125K@Nondisp fx of lunate, left wrist, subs for fx w nonunion
S62.125P@Nondisp fx of lunate, left wrist, subs for fx w malunion
S62.125S@Nondisplaced fracture of lunate, left wrist, sequela
S62.126A@Nondisp fx of lunate, unsp wrist, init for clos fx
S62.126B@Nondisp fx of lunate, unsp wrist, init for opn fx
S62.126D@Nondisp fx of lunate, unsp wrist, subs for fx w routn heal
S62.126G@Nondisp fx of lunate, unsp wrist, subs for fx w delay heal
S62.126K@Nondisp fx of lunate, unsp wrist, subs for fx w nonunion
S62.126P@Nondisp fx of lunate, unsp wrist, subs for fx w malunion
S62.126S@Nondisplaced fracture of lunate, unspecified wrist, sequela
S62.131A@Disp fx of capitate bone, right wrist, init for clos fx
S62.131B@Disp fx of capitate bone, right wrist, init for opn fx
S62.131D@Disp fx of capitate bone, r wrist, subs for fx w routn heal
S62.131G@Disp fx of capitate bone, r wrist, subs for fx w delay heal
S62.131K@Disp fx of capitate bone, r wrist, subs for fx w nonunion
S62.131P@Disp fx of capitate bone, r wrist, subs for fx w malunion
S62.131S@Displaced fracture of capitate bone, right wrist, sequela
S62.132A@Disp fx of capitate bone, left wrist, init for clos fx
S62.132B@Disp fx of capitate bone, left wrist, init for opn fx
S62.132D@Disp fx of capitate bone, l wrist, subs for fx w routn heal
S62.132G@Disp fx of capitate bone, l wrist, subs for fx w delay heal
S62.132K@Disp fx of capitate bone, left wrist, subs for fx w nonunion
S62.132P@Disp fx of capitate bone, left wrist, subs for fx w malunion
S62.132S@Displaced fracture of capitate bone, left wrist, sequela
S62.133A@Disp fx of capitate bone, unsp wrist, init for clos fx
S62.133B@Disp fx of capitate bone, unsp wrist, init for opn fx
S62.133D@Disp fx of capitate bone, unsp wrs, subs for fx w routn heal
S62.133G@Disp fx of capitate bone, unsp wrs, subs for fx w delay heal
S62.133K@Disp fx of capitate bone, unsp wrist, subs for fx w nonunion
S62.133P@Disp fx of capitate bone, unsp wrist, subs for fx w malunion
S62.133S@Disp fx of capitate bone, unspecified wrist, sequela
S62.134A@Nondisp fx of capitate bone, right wrist, init for clos fx
S62.134B@Nondisp fx of capitate bone, right wrist, init for opn fx
S62.134D@Nondisp fx of capitate bone, r wrs, subs for fx w routn heal
S62.134G@Nondisp fx of capitate bone, r wrs, subs for fx w delay heal
S62.134K@Nondisp fx of capitate bone, r wrist, subs for fx w nonunion
S62.134P@Nondisp fx of capitate bone, r wrist, subs for fx w malunion
S62.134S@Nondisplaced fracture of capitate bone, right wrist, sequela
S62.135A@Nondisp fx of capitate bone, left wrist, init for clos fx
S62.135B@Nondisp fx of capitate bone, left wrist, init for opn fx
S62.135D@Nondisp fx of capitate bone, l wrs, subs for fx w routn heal
S62.135G@Nondisp fx of capitate bone, l wrs, subs for fx w delay heal
S62.135K@Nondisp fx of capitate bone, l wrist, subs for fx w nonunion
S62.135P@Nondisp fx of capitate bone, l wrist, subs for fx w malunion
S62.135S@Nondisplaced fracture of capitate bone, left wrist, sequela
S62.136A@Nondisp fx of capitate bone, unsp wrist, init for clos fx
S62.136B@Nondisp fx of capitate bone, unsp wrist, init for opn fx
S62.136D@Nondisp fx of capitate bone, unsp wrs, 7thD
S62.136G@Nondisp fx of capitate bone, unsp wrs, 7thG
S62.136K@Nondisp fx of capitate bone, unsp wrs, 7thK
S62.136P@Nondisp fx of capitate bone, unsp wrs, 7thP
S62.136S@Nondisp fx of capitate bone, unspecified wrist, sequela
S62.141A@Disp fx of body of hamate bone, right wrist, init
S62.141B@Disp fx of body of hamate bone, right wrist, init for opn fx
S62.141D@Disp fx of body of hamate bone, r wrs, 7thD
S62.141G@Disp fx of body of hamate bone, r wrs, 7thG
S62.141K@Disp fx of body of hamate bone, r wrs, 7thK
S62.141P@Disp fx of body of hamate bone, r wrs, 7thP
S62.141S@Disp fx of body of hamate bone, right wrist, sequela
S62.142A@Disp fx of body of hamate bone, left wrist, init for clos fx
S62.142B@Disp fx of body of hamate bone, left wrist, init for opn fx
S62.142D@Disp fx of body of hamate bone, l wrs, 7thD
S62.142G@Disp fx of body of hamate bone, l wrs, 7thG
S62.142K@Disp fx of body of hamate bone, l wrs, 7thK
S62.142P@Disp fx of body of hamate bone, l wrs, 7thP
S62.142S@Disp fx of body of hamate bone, left wrist, sequela
S62.143A@Disp fx of body of hamate bone, unsp wrist, init for clos fx
S62.143B@Disp fx of body of hamate bone, unsp wrist, init for opn fx
S62.143D@Disp fx of body of hamate bone, unsp wrs, 7thD
S62.143G@Disp fx of body of hamate bone, unsp wrs, 7thG
S62.143K@Disp fx of body of hamate bone, unsp wrs, 7thK
S62.143P@Disp fx of body of hamate bone, unsp wrs, 7thP
S62.143S@Disp fx of body of hamate bone, unspecified wrist, sequela
S62.144A@Nondisp fx of body of hamate bone, right wrist, init
S62.144B@Nondisp fx of body of hamate bone, r wrist, init for opn fx
S62.144D@Nondisp fx of body of hamate bone, r wrs, 7thD
S62.144G@Nondisp fx of body of hamate bone, r wrs, 7thG
S62.144K@Nondisp fx of body of hamate bone, r wrs, 7thK
S62.144P@Nondisp fx of body of hamate bone, r wrs, 7thP
S62.144S@Nondisp fx of body of hamate bone, right wrist, sequela
S62.145A@Nondisp fx of body of hamate bone, left wrist, init
S62.145B@Nondisp fx of body of hamate bone, l wrist, init for opn fx
S62.145D@Nondisp fx of body of hamate bone, l wrs, 7thD
S62.145G@Nondisp fx of body of hamate bone, l wrs, 7thG
S62.145K@Nondisp fx of body of hamate bone, l wrs, 7thK
S62.145P@Nondisp fx of body of hamate bone, l wrs, 7thP
S62.145S@Nondisp fx of body of hamate bone, left wrist, sequela
S62.146A@Nondisp fx of body of hamate bone, unsp wrist, init
S62.146B@Nondisp fx of body of hamate bone, unsp wrs, init for opn fx
S62.146D@Nondisp fx of body of hamate bone, unsp wrs, 7thD
S62.146G@Nondisp fx of body of hamate bone, unsp wrs, 7thG
S62.146K@Nondisp fx of body of hamate bone, unsp wrs, 7thK
S62.146P@Nondisp fx of body of hamate bone, unsp wrs, 7thP
S62.146S@Nondisp fx of body of hamate bone, unsp wrist, sequela
S62.151A@Disp fx of hook process of hamate bone, right wrist, init
S62.151B@Disp fx of hook pro of hamate bone, r wrist, init for opn fx
S62.151D@Disp fx of hook pro of hamate bone, r wrs, 7thD
S62.151G@Disp fx of hook pro of hamate bone, r wrs, 7thG
S62.151K@Disp fx of hook pro of hamate bone, r wrs, 7thK
S62.151P@Disp fx of hook pro of hamate bone, r wrs, 7thP
S62.151S@Disp fx of hook process of hamate bone, right wrist, sequela
S62.152A@Disp fx of hook process of hamate bone, left wrist, init
S62.152B@Disp fx of hook pro of hamate bone, l wrist, init for opn fx
S62.152D@Disp fx of hook pro of hamate bone, l wrs, 7thD
S62.152G@Disp fx of hook pro of hamate bone, l wrs, 7thG
S62.152K@Disp fx of hook pro of hamate bone, l wrs, 7thK
S62.152P@Disp fx of hook pro of hamate bone, l wrs, 7thP
S62.152S@Disp fx of hook process of hamate bone, left wrist, sequela
S62.153A@Disp fx of hook process of hamate bone, unsp wrist, init
S62.153B@Disp fx of hook pro of hamate bone, unsp wrs, 7thB
S62.153D@Disp fx of hook pro of hamate bone, unsp wrs, 7thD
S62.153G@Disp fx of hook pro of hamate bone, unsp wrs, 7thG
S62.153K@Disp fx of hook pro of hamate bone, unsp wrs, 7thK
S62.153P@Disp fx of hook pro of hamate bone, unsp wrs, 7thP
S62.153S@Disp fx of hook process of hamate bone, unsp wrist, sequela
S62.154A@Nondisp fx of hook process of hamate bone, right wrist, init
S62.154B@Nondisp fx of hook pro of hamate bone, r wrs, 7thB
S62.154D@Nondisp fx of hook pro of hamate bone, r wrs, 7thD
S62.154G@Nondisp fx of hook pro of hamate bone, r wrs, 7thG
S62.154K@Nondisp fx of hook pro of hamate bone, r wrs, 7thK
S62.154P@Nondisp fx of hook pro of hamate bone, r wrs, 7thP
S62.154S@Nondisp fx of hook process of hamate bone, r wrist, sequela
S62.155A@Nondisp fx of hook process of hamate bone, left wrist, init
S62.155B@Nondisp fx of hook pro of hamate bone, l wrs, 7thB
S62.155D@Nondisp fx of hook pro of hamate bone, l wrs, 7thD
S62.155G@Nondisp fx of hook pro of hamate bone, l wrs, 7thG
