S10.0XXA@Contusion of throat, initial encounter
S12.400B@Unsp disp fx of fifth cervical vertebra, init for opn fx
S12.400D@Unsp disp fx of fifth cervcal vert, subs for fx w routn heal
S12.400G@Unsp disp fx of fifth cervcal vert, subs for fx w delay heal
S12.400K@Unsp disp fx of fifth cervcal vert, subs for fx w nonunion
S12.400S@Unspecified disp fx of fifth cervical vertebra, sequela
S12.401A@Unsp nondisp fx of fifth cervical vertebra, init for clos fx
S12.401B@Unsp nondisp fx of fifth cervical vertebra, init for opn fx
S12.401D@Unsp nondisp fx of 5th cervcal vert, 7thD
S12.401G@Unsp nondisp fx of 5th cervcal vert, 7thG
S12.401K@Unsp nondisp fx of 5th cervcal vert, subs for fx w nonunion
S12.401S@Unspecified nondisp fx of fifth cervical vertebra, sequela
S12.430A@Unsp traum displ spondylolysis of fifth cervcal vert, init
S12.430B@Unsp traum displ spondylolysis of 5th cervcal vert, 7thB
S12.430D@Unsp traum displ spondylolysis of 5th cervcal vert, 7thD
S12.430G@Unsp traum displ spondylolysis of 5th cervcal vert, 7thG
S12.430K@Unsp traum displ spondylolysis of 5th cervcal vert, 7thK
S12.430S@Unsp traum displ spondylolysis of fifth cervcal vert, sqla
S12.431A@Unsp traum nondisp spondylolysis of fifth cervcal vert, init
S12.431B@Unsp traum nondisp spondylolysis of 5th cervcal vert, 7thB
S12.431D@Unsp traum nondisp spondylolysis of 5th cervcal vert, 7thD
S12.431G@Unsp traum nondisp spondylolysis of 5th cervcal vert, 7thG
S12.431K@Unsp traum nondisp spondylolysis of 5th cervcal vert, 7thK
S12.431S@Unsp traum nondisp spondylolysis of fifth cervcal vert, sqla
S12.44XA@Type III traum spondylolysis of fifth cervcal vertebra, init
S12.44XB@Type III traum spondylolysis of 5th cervcal vert, 7thB
S12.44XD@Type III traum spondylolysis of 5th cervcal vert, 7thD
S12.44XG@Type III traum spondylolysis of 5th cervcal vert, 7thG
S12.44XK@Type III traum spondylolysis of 5th cervcal vert, 7thK
S12.44XS@Type III traum spondylolysis of fifth cervcal vert, sequela
S12.450A@Oth traum displ spondylolysis of fifth cervcal vert, init
S12.450B@Oth traum displ spondylolysis of 5th cervcal vert, 7thB
S12.450D@Oth traum displ spondylolysis of 5th cervcal vert, 7thD
S12.450G@Oth traum displ spondylolysis of 5th cervcal vert, 7thG
S12.450K@Oth traum displ spondylolysis of 5th cervcal vert, 7thK
S12.450S@Oth traum displ spondylolysis of fifth cervcal vert, sequela
S12.451A@Oth traum nondisp spondylolysis of fifth cervcal vert, init
S12.451B@Oth traum nondisp spondylolysis of 5th cervcal vert, 7thB
S12.451D@Oth traum nondisp spondylolysis of 5th cervcal vert, 7thD
S12.451G@Oth traum nondisp spondylolysis of 5th cervcal vert, 7thG
S12.451K@Oth traum nondisp spondylolysis of 5th cervcal vert, 7thK
S12.451S@Oth traum nondisp spondylolysis of fifth cervcal vert, sqla
S12.490A@Oth disp fx of fifth cervical vertebra, init for clos fx
S12.490B@Oth disp fx of fifth cervical vertebra, init for opn fx
S12.490D@Oth disp fx of fifth cervcal vert, subs for fx w routn heal
S12.490G@Oth disp fx of fifth cervcal vert, subs for fx w delay heal
S12.490K@Oth disp fx of fifth cervcal vert, subs for fx w nonunion
S12.490S@Other displaced fracture of fifth cervical vertebra, sequela
S12.491A@Oth nondisp fx of fifth cervical vertebra, init for clos fx
S12.491B@Oth nondisp fx of fifth cervical vertebra, init for opn fx
S12.491D@Oth nondisp fx of 5th cervcal vert, subs for fx w routn heal
S12.491G@Oth nondisp fx of 5th cervcal vert, subs for fx w delay heal
S12.491K@Oth nondisp fx of fifth cervcal vert, subs for fx w nonunion
S12.491S@Other nondisp fx of fifth cervical vertebra, sequela
S12.500A@Unsp disp fx of sixth cervical vertebra, init for clos fx
S12.500B@Unsp disp fx of sixth cervical vertebra, init for opn fx
S12.500D@Unsp disp fx of sixth cervcal vert, subs for fx w routn heal
S12.500G@Unsp disp fx of sixth cervcal vert, subs for fx w delay heal
S12.500K@Unsp disp fx of sixth cervcal vert, subs for fx w nonunion
S12.500S@Unspecified disp fx of sixth cervical vertebra, sequela
S12.501A@Unsp nondisp fx of sixth cervical vertebra, init for clos fx
S12.501B@Unsp nondisp fx of sixth cervical vertebra, init for opn fx
S12.501D@Unsp nondisp fx of sixth cervcal vert, 7thD
S12.501G@Unsp nondisp fx of sixth cervcal vert, 7thG
S12.501K@Unsp nondisp fx of sixth cervcal vert, 7thK
S12.501S@Unspecified nondisp fx of sixth cervical vertebra, sequela
S12.530A@Unsp traum displ spondylolysis of sixth cervcal vert, init
S12.530B@Unsp traum displ spondylolysis of sixth cervcal vert, 7thB
S12.530D@Unsp traum displ spondylolysis of sixth cervcal vert, 7thD
S12.530G@Unsp traum displ spondylolysis of sixth cervcal vert, 7thG
S12.530K@Unsp traum displ spondylolysis of sixth cervcal vert, 7thK
S12.530S@Unsp traum displ spondylolysis of sixth cervcal vert, sqla
S12.531A@Unsp traum nondisp spondylolysis of sixth cervcal vert, init
S12.531B@Unsp traum nondisp spondylolysis of sixth cervcal vert, 7thB
S12.531D@Unsp traum nondisp spondylolysis of sixth cervcal vert, 7thD
S12.531G@Unsp traum nondisp spondylolysis of sixth cervcal vert, 7thG
S12.531K@Unsp traum nondisp spondylolysis of sixth cervcal vert, 7thK
S12.531S@Unsp traum nondisp spondylolysis of sixth cervcal vert, sqla
S12.54XA@Type III traum spondylolysis of sixth cervcal vertebra, init
S12.54XB@Type III traum spondylolysis of sixth cervcal vert, 7thB
S12.54XD@Type III traum spondylolysis of sixth cervcal vert, 7thD
S12.54XG@Type III traum spondylolysis of sixth cervcal vert, 7thG
S12.54XK@Type III traum spondylolysis of sixth cervcal vert, 7thK
S12.54XS@Type III traum spondylolysis of sixth cervcal vert, sequela
S12.550A@Oth traum displ spondylolysis of sixth cervcal vert, init
S12.550B@Oth traum displ spondylolysis of sixth cervcal vert, 7thB
S12.550D@Oth traum displ spondylolysis of sixth cervcal vert, 7thD
S12.550G@Oth traum displ spondylolysis of sixth cervcal vert, 7thG
S12.550K@Oth traum displ spondylolysis of sixth cervcal vert, 7thK
S12.550S@Oth traum displ spondylolysis of sixth cervcal vert, sequela
S12.551A@Oth traum nondisp spondylolysis of sixth cervcal vert, init
S12.551B@Oth traum nondisp spondylolysis of sixth cervcal vert, 7thB
S12.551D@Oth traum nondisp spondylolysis of sixth cervcal vert, 7thD
S12.551G@Oth traum nondisp spondylolysis of sixth cervcal vert, 7thG
S12.551K@Oth traum nondisp spondylolysis of sixth cervcal vert, 7thK
S12.551S@Oth traum nondisp spondylolysis of sixth cervcal vert, sqla
S12.590A@Oth disp fx of sixth cervical vertebra, init for clos fx
S12.590B@Oth disp fx of sixth cervical vertebra, init for opn fx
S12.590D@Oth disp fx of sixth cervcal vert, subs for fx w routn heal
S12.590G@Oth disp fx of sixth cervcal vert, subs for fx w delay heal
S12.590K@Oth disp fx of sixth cervcal vert, subs for fx w nonunion
S12.590S@Other displaced fracture of sixth cervical vertebra, sequela
S12.591A@Oth nondisp fx of sixth cervical vertebra, init for clos fx
S12.591B@Oth nondisp fx of sixth cervical vertebra, init for opn fx
S12.591D@Oth nondisp fx of sixth cervcal vert, 7thD
S12.591G@Oth nondisp fx of sixth cervcal vert, 7thG
S12.591K@Oth nondisp fx of sixth cervcal vert, subs for fx w nonunion
S12.591S@Other nondisp fx of sixth cervical vertebra, sequela
S12.600A@Unsp disp fx of seventh cervical vertebra, init for clos fx
S12.600B@Unsp disp fx of seventh cervical vertebra, init for opn fx
S12.600D@Unsp disp fx of 7th cervcal vert, subs for fx w routn heal
S12.600G@Unsp disp fx of 7th cervcal vert, subs for fx w delay heal
S12.600K@Unsp disp fx of seventh cervcal vert, subs for fx w nonunion
S12.600S@Unspecified disp fx of seventh cervical vertebra, sequela
S12.601A@Unsp nondisp fx of seventh cervical vertebra, init
S12.601B@Unsp nondisp fx of seventh cervcal vertebra, init for opn fx
S12.601D@Unsp nondisp fx of 7th cervcal vert, 7thD
S12.601G@Unsp nondisp fx of 7th cervcal vert, 7thG
S12.601K@Unsp nondisp fx of 7th cervcal vert, subs for fx w nonunion
S12.601S@Unspecified nondisp fx of seventh cervical vertebra, sequela
S12.630A@Unsp traum displ spondylolysis of seventh cervcal vert, init
S12.630B@Unsp traum displ spondylolysis of 7th cervcal vert, 7thB
S12.630D@Unsp traum displ spondylolysis of 7th cervcal vert, 7thD
S12.630G@Unsp traum displ spondylolysis of 7th cervcal vert, 7thG
S12.630K@Unsp traum displ spondylolysis of 7th cervcal vert, 7thK
S12.630S@Unsp traum displ spondylolysis of seventh cervcal vert, sqla
S12.631A@Unsp traum nondisp spondylolysis of 7th cervcal vert, init
S12.631B@Unsp traum nondisp spondylolysis of 7th cervcal vert, 7thB
S12.631D@Unsp traum nondisp spondylolysis of 7th cervcal vert, 7thD
S12.631G@Unsp traum nondisp spondylolysis of 7th cervcal vert, 7thG
S12.631K@Unsp traum nondisp spondylolysis of 7th cervcal vert, 7thK
S12.631S@Unsp traum nondisp spondylolysis of 7th cervcal vert, sqla
S12.64XA@Type III traum spondylolysis of seventh cervcal vert, init
S12.64XB@Type III traum spondylolysis of 7th cervcal vert, 7thB
S12.64XD@Type III traum spondylolysis of 7th cervcal vert, 7thD
S12.64XG@Type III traum spondylolysis of 7th cervcal vert, 7thG
S12.64XK@Type III traum spondylolysis of 7th cervcal vert, 7thK
S12.64XS@Type III traum spondylolysis of seventh cervcal vert, sqla
S12.650A@Oth traum displ spondylolysis of seventh cervcal vert, init
S12.650B@Oth traum displ spondylolysis of 7th cervcal vert, 7thB
S12.650D@Oth traum displ spondylolysis of 7th cervcal vert, 7thD
S12.650G@Oth traum displ spondylolysis of 7th cervcal vert, 7thG
S12.650K@Oth traum displ spondylolysis of 7th cervcal vert, 7thK
S12.650S@Oth traum displ spondylolysis of seventh cervcal vert, sqla
S12.651A@Oth traum nondisp spondylolysis of 7th cervcal vert, init
S12.651B@Oth traum nondisp spondylolysis of 7th cervcal vert, 7thB
S12.651D@Oth traum nondisp spondylolysis of 7th cervcal vert, 7thD
S12.651G@Oth traum nondisp spondylolysis of 7th cervcal vert, 7thG
S12.651K@Oth traum nondisp spondylolysis of 7th cervcal vert, 7thK
S12.651S@Oth traum nondisp spondylolysis of 7th cervcal vert, sqla
S12.690A@Oth disp fx of seventh cervical vertebra, init for clos fx
S12.690B@Oth disp fx of seventh cervical vertebra, init for opn fx
S12.690D@Oth disp fx of 7th cervcal vert, subs for fx w routn heal
S12.690G@Oth disp fx of 7th cervcal vert, subs for fx w delay heal
S12.690K@Oth disp fx of seventh cervcal vert, subs for fx w nonunion
S12.690S@Other disp fx of seventh cervical vertebra, sequela
S12.691A@Oth nondisp fx of seventh cervical vertebra, init
S12.691B@Oth nondisp fx of seventh cervical vertebra, init for opn fx
S12.691D@Oth nondisp fx of 7th cervcal vert, subs for fx w routn heal
S12.691G@Oth nondisp fx of 7th cervcal vert, subs for fx w delay heal
S12.691K@Oth nondisp fx of 7th cervcal vert, subs for fx w nonunion
S12.691S@Other nondisp fx of seventh cervical vertebra, sequela
S12.8XXA@Fracture of other parts of neck, initial encounter
S12.8XXD@Fracture of other parts of neck, subsequent encounter
S12.8XXS@Fracture of other parts of neck, sequela
S12.9XXA@Fracture of neck, unspecified, initial encounter
S12.9XXD@Fracture of neck, unspecified, subsequent encounter
S12.9XXS@Fracture of neck, unspecified, sequela
S13.0XXA@Traumatic rupture of cervical intervertebral disc, init
S13.0XXD@Traumatic rupture of cervical intervertebral disc, subs
S13.0XXS@Traumatic rupture of cervical intervertebral disc, sequela
S13.100A@Subluxation of unspecified cervical vertebrae, init encntr
S13.100D@Subluxation of unspecified cervical vertebrae, subs encntr
S13.100S@Subluxation of unspecified cervical vertebrae, sequela
S13.101A@Dislocation of unspecified cervical vertebrae, init encntr
S13.101D@Dislocation of unspecified cervical vertebrae, subs encntr
S13.101S@Dislocation of unspecified cervical vertebrae, sequela
S13.110A@Subluxation of C0/C1 cervical vertebrae, initial encounter
S13.110D@Subluxation of C0/C1 cervical vertebrae, subs encntr
S13.110S@Subluxation of C0/C1 cervical vertebrae, sequela
S13.111A@Dislocation of C0/C1 cervical vertebrae, initial encounter
S13.111D@Dislocation of C0/C1 cervical vertebrae, subs encntr
S13.111S@Dislocation of C0/C1 cervical vertebrae, sequela
S13.120A@Subluxation of C1/C2 cervical vertebrae, initial encounter
S13.120D@Subluxation of C1/C2 cervical vertebrae, subs encntr
S13.120S@Subluxation of C1/C2 cervical vertebrae, sequela
S13.121A@Dislocation of C1/C2 cervical vertebrae, initial encounter
S13.121D@Dislocation of C1/C2 cervical vertebrae, subs encntr
S13.121S@Dislocation of C1/C2 cervical vertebrae, sequela
S13.130A@Subluxation of C2/C3 cervical vertebrae, initial encounter
S13.130D@Subluxation of C2/C3 cervical vertebrae, subs encntr
S13.130S@Subluxation of C2/C3 cervical vertebrae, sequela
S13.131A@Dislocation of C2/C3 cervical vertebrae, initial encounter
S13.131D@Dislocation of C2/C3 cervical vertebrae, subs encntr
S13.131S@Dislocation of C2/C3 cervical vertebrae, sequela
S13.140A@Subluxation of C3/C4 cervical vertebrae, initial encounter
S13.140D@Subluxation of C3/C4 cervical vertebrae, subs encntr
S13.140S@Subluxation of C3/C4 cervical vertebrae, sequela
S13.141A@Dislocation of C3/C4 cervical vertebrae, initial encounter
S13.141D@Dislocation of C3/C4 cervical vertebrae, subs encntr
S13.141S@Dislocation of C3/C4 cervical vertebrae, sequela
S13.150A@Subluxation of C4/C5 cervical vertebrae, initial encounter
S13.150D@Subluxation of C4/C5 cervical vertebrae, subs encntr
S13.150S@Subluxation of C4/C5 cervical vertebrae, sequela
S13.151A@Dislocation of C4/C5 cervical vertebrae, initial encounter
S13.151D@Dislocation of C4/C5 cervical vertebrae, subs encntr
S13.151S@Dislocation of C4/C5 cervical vertebrae, sequela
S13.160A@Subluxation of C5/C6 cervical vertebrae, initial encounter
S13.160D@Subluxation of C5/C6 cervical vertebrae, subs encntr
S13.160S@Subluxation of C5/C6 cervical vertebrae, sequela
S13.161A@Dislocation of C5/C6 cervical vertebrae, initial encounter
S13.161D@Dislocation of C5/C6 cervical vertebrae, subs encntr
S13.161S@Dislocation of C5/C6 cervical vertebrae, sequela
S13.170A@Subluxation of C6/C7 cervical vertebrae, initial encounter
S13.170D@Subluxation of C6/C7 cervical vertebrae, subs encntr
S13.170S@Subluxation of C6/C7 cervical vertebrae, sequela
S13.171A@Dislocation of C6/C7 cervical vertebrae, initial encounter
S13.171D@Dislocation of C6/C7 cervical vertebrae, subs encntr
S13.171S@Dislocation of C6/C7 cervical vertebrae, sequela
S13.180A@Subluxation of C7/T1 cervical vertebrae, initial encounter
S13.180D@Subluxation of C7/T1 cervical vertebrae, subs encntr
S13.180S@Subluxation of C7/T1 cervical vertebrae, sequela
S13.181A@Dislocation of C7/T1 cervical vertebrae, initial encounter
S13.181D@Dislocation of C7/T1 cervical vertebrae, subs encntr
S13.181S@Dislocation of C7/T1 cervical vertebrae, sequela
S13.20XA@Dislocation of unspecified parts of neck, initial encounter
S13.20XD@Dislocation of unspecified parts of neck, subs encntr
S13.20XS@Dislocation of unspecified parts of neck, sequela
S13.29XA@Dislocation of other parts of neck, initial encounter
S13.29XD@Dislocation of other parts of neck, subsequent encounter
S13.29XS@Dislocation of other parts of neck, sequela
S13.4XXA@Sprain of ligaments of cervical spine, initial encounter
S13.4XXD@Sprain of ligaments of cervical spine, subsequent encounter
S13.4XXS@Sprain of ligaments of cervical spine, sequela
S13.5XXA@Sprain of thyroid region, initial encounter
S13.5XXD@Sprain of thyroid region, subsequent encounter
S13.5XXS@Sprain of thyroid region, sequela
S13.8XXA@Sprain of joints and ligaments of oth prt neck, init encntr
S13.8XXD@Sprain of joints and ligaments of oth prt neck, subs encntr
S13.8XXS@Sprain of joints and ligaments of oth parts of neck, sequela
S13.9XXA@Sprain of joints and ligaments of unsp parts of neck, init
S13.9XXD@Sprain of joints and ligaments of unsp parts of neck, subs
S13.9XXS@Sprain of joints and ligaments of unsp parts of neck, sqla
S14.0XXA@Concussion and edema of cervical spinal cord, init encntr
S14.0XXD@Concussion and edema of cervical spinal cord, subs encntr
S14.0XXS@Concussion and edema of cervical spinal cord, sequela
S14.101A@Unsp injury at C1 level of cervical spinal cord, init encntr
S14.101D@Unsp injury at C1 level of cervical spinal cord, subs encntr
S14.101S@Unsp injury at C1 level of cervical spinal cord, sequela
S14.102A@Unsp injury at C2 level of cervical spinal cord, init encntr
S14.102D@Unsp injury at C2 level of cervical spinal cord, subs encntr
S14.102S@Unsp injury at C2 level of cervical spinal cord, sequela
S14.103A@Unsp injury at C3 level of cervical spinal cord, init encntr
S14.103D@Unsp injury at C3 level of cervical spinal cord, subs encntr
S14.103S@Unsp injury at C3 level of cervical spinal cord, sequela
S14.104A@Unsp injury at C4 level of cervical spinal cord, init encntr
S14.104D@Unsp injury at C4 level of cervical spinal cord, subs encntr
S14.104S@Unsp injury at C4 level of cervical spinal cord, sequela
S14.105A@Unsp injury at C5 level of cervical spinal cord, init encntr
S14.105D@Unsp injury at C5 level of cervical spinal cord, subs encntr
S14.105S@Unsp injury at C5 level of cervical spinal cord, sequela
S14.106A@Unsp injury at C6 level of cervical spinal cord, init encntr
S14.106D@Unsp injury at C6 level of cervical spinal cord, subs encntr
S14.106S@Unsp injury at C6 level of cervical spinal cord, sequela
S14.107A@Unsp injury at C7 level of cervical spinal cord, init encntr
S14.107D@Unsp injury at C7 level of cervical spinal cord, subs encntr
S14.107S@Unsp injury at C7 level of cervical spinal cord, sequela
S14.108A@Unsp injury at C8 level of cervical spinal cord, init encntr
S14.108D@Unsp injury at C8 level of cervical spinal cord, subs encntr
S14.108S@Unsp injury at C8 level of cervical spinal cord, sequela
S14.109A@Unsp injury at unsp level of cervical spinal cord, init
S14.109D@Unsp injury at unsp level of cervical spinal cord, subs
S14.109S@Unsp injury at unsp level of cervical spinal cord, sequela
S14.111A@Complete lesion at C1 level of cervical spinal cord, init
S14.111D@Complete lesion at C1 level of cervical spinal cord, subs
S14.111S@Complete lesion at C1 level of cervical spinal cord, sequela
S14.112A@Complete lesion at C2 level of cervical spinal cord, init
S14.112D@Complete lesion at C2 level of cervical spinal cord, subs
S14.112S@Complete lesion at C2 level of cervical spinal cord, sequela
S14.113A@Complete lesion at C3 level of cervical spinal cord, init
S14.113D@Complete lesion at C3 level of cervical spinal cord, subs
S14.113S@Complete lesion at C3 level of cervical spinal cord, sequela
S14.114A@Complete lesion at C4 level of cervical spinal cord, init
S14.114D@Complete lesion at C4 level of cervical spinal cord, subs
S14.114S@Complete lesion at C4 level of cervical spinal cord, sequela
S14.115A@Complete lesion at C5 level of cervical spinal cord, init
S14.115D@Complete lesion at C5 level of cervical spinal cord, subs
S14.115S@Complete lesion at C5 level of cervical spinal cord, sequela
S14.116A@Complete lesion at C6 level of cervical spinal cord, init
S14.116D@Complete lesion at C6 level of cervical spinal cord, subs
S14.116S@Complete lesion at C6 level of cervical spinal cord, sequela
S14.117A@Complete lesion at C7 level of cervical spinal cord, init
S14.117D@Complete lesion at C7 level of cervical spinal cord, subs
S14.117S@Complete lesion at C7 level of cervical spinal cord, sequela
S14.118A@Complete lesion at C8 level of cervical spinal cord, init
S14.118D@Complete lesion at C8 level of cervical spinal cord, subs
S14.118S@Complete lesion at C8 level of cervical spinal cord, sequela
S14.119A@Complete lesion at unsp level of cervical spinal cord, init
S14.119D@Complete lesion at unsp level of cervical spinal cord, subs
S14.119S@Complete lesion at unsp level of cerv spinal cord, sequela
S14.121A@Central cord syndrome at C1, init
S14.121D@Central cord syndrome at C1, subs
S14.121S@Central cord syndrome at C1, sequela
S14.122A@Central cord syndrome at C2, init
S14.122D@Central cord syndrome at C2, subs
S14.122S@Central cord syndrome at C2, sequela
S14.123A@Central cord syndrome at C3, init
S14.123D@Central cord syndrome at C3, subs
S14.123S@Central cord syndrome at C3, sequela
S14.124A@Central cord syndrome at C4, init
S14.124D@Central cord syndrome at C4, subs
S14.124S@Central cord syndrome at C4, sequela
S14.125A@Central cord syndrome at C5, init
S14.125D@Central cord syndrome at C5, subs
S14.125S@Central cord syndrome at C5, sequela
S14.126A@Central cord syndrome at C6, init
S14.126D@Central cord syndrome at C6, subs
S14.126S@Central cord syndrome at C6, sequela
S14.127A@Central cord syndrome at C7, init
S14.127D@Central cord syndrome at C7, subs
S14.127S@Central cord syndrome at C7, sequela
S14.128A@Central cord syndrome at C8, init
S14.128D@Central cord syndrome at C8, subs
S14.128S@Central cord syndrome at C8, sequela
S14.129A@Central cord synd at unsp level of cerv spinal cord, init
S14.129D@Central cord synd at unsp level of cerv spinal cord, subs
S14.129S@Central cord synd at unsp level of cerv spinal cord, sequela
S14.131A@Anterior cord syndrome at C1, init
S14.131D@Anterior cord syndrome at C1, subs
S14.131S@Anterior cord syndrome at C1, sequela
S14.132A@Anterior cord syndrome at C2, init
S14.132D@Anterior cord syndrome at C2, subs
S14.132S@Anterior cord syndrome at C2, sequela
S14.133A@Anterior cord syndrome at C3, init
S14.133D@Anterior cord syndrome at C3, subs
S14.133S@Anterior cord syndrome at C3, sequela
S14.134A@Anterior cord syndrome at C4, init
S14.134D@Anterior cord syndrome at C4, subs
S14.134S@Anterior cord syndrome at C4, sequela
S14.135A@Anterior cord syndrome at C5, init
S14.135D@Anterior cord syndrome at C5, subs
S14.135S@Anterior cord syndrome at C5, sequela
S14.136A@Anterior cord syndrome at C6, init
S14.136D@Anterior cord syndrome at C6, subs
S14.136S@Anterior cord syndrome at C6, sequela
S14.137A@Anterior cord syndrome at C7, init
S14.137D@Anterior cord syndrome at C7, subs
S14.137S@Anterior cord syndrome at C7, sequela
S14.138A@Anterior cord syndrome at C8, init
S14.138D@Anterior cord syndrome at C8, subs
S14.138S@Anterior cord syndrome at C8, sequela
S14.139A@Ant cord syndrome at unsp level of cerv spinal cord, init
S14.139D@Ant cord syndrome at unsp level of cerv spinal cord, subs
S14.139S@Ant cord syndrome at unsp level of cerv spinal cord, sequela
S14.141A@Brown-Sequard syndrome at C1, init
S14.141D@Brown-Sequard syndrome at C1, subs
S14.141S@Brown-Sequard syndrome at C1, sequela
S14.142A@Brown-Sequard syndrome at C2, init
S14.142D@Brown-Sequard syndrome at C2, subs
S14.142S@Brown-Sequard syndrome at C2, sequela
S14.143A@Brown-Sequard syndrome at C3, init
S14.143D@Brown-Sequard syndrome at C3, subs
S14.143S@Brown-Sequard syndrome at C3, sequela
S14.144A@Brown-Sequard syndrome at C4, init
S14.144D@Brown-Sequard syndrome at C4, subs
S14.144S@Brown-Sequard syndrome at C4, sequela
S14.145A@Brown-Sequard syndrome at C5, init
S14.145D@Brown-Sequard syndrome at C5, subs
S14.145S@Brown-Sequard syndrome at C5, sequela
S14.146A@Brown-Sequard syndrome at C6, init
S14.146D@Brown-Sequard syndrome at C6, subs
S14.146S@Brown-Sequard syndrome at C6, sequela
S14.147A@Brown-Sequard syndrome at C7, init
S14.147D@Brown-Sequard syndrome at C7, subs
S14.147S@Brown-Sequard syndrome at C7, sequela
S14.148A@Brown-Sequard syndrome at C8, init
S14.148D@Brown-Sequard syndrome at C8, subs
S14.148S@Brown-Sequard syndrome at C8, sequela
S14.149A@Brown-Sequard synd at unsp level of cerv spinal cord, init
S14.149D@Brown-Sequard synd at unsp level of cerv spinal cord, subs
S14.149S@Brown-Sequard synd at unsp level of cerv spinal cord, sqla
S14.151A@Oth incomplete lesion at C1, init
S14.151D@Oth incomplete lesion at C1, subs
S14.151S@Oth incomplete lesion at C1, sequela
S14.152A@Oth incomplete lesion at C2, init
S14.152D@Oth incomplete lesion at C2, subs
S14.152S@Oth incomplete lesion at C2, sequela
S14.153A@Oth incomplete lesion at C3, init
S14.153D@Oth incomplete lesion at C3, subs
S14.153S@Oth incomplete lesion at C3, sequela
S14.154A@Oth incomplete lesion at C4, init
S14.154D@Oth incomplete lesion at C4, subs
S14.154S@Oth incomplete lesion at C4, sequela
S14.155A@Oth incomplete lesion at C5, init
S14.155D@Oth incomplete lesion at C5, subs
S14.155S@Oth incomplete lesion at C5, sequela
S14.156A@Oth incomplete lesion at C6, init
S14.156D@Oth incomplete lesion at C6, subs
S14.156S@Oth incomplete lesion at C6, sequela
S14.157A@Oth incomplete lesion at C7, init
S14.157D@Oth incomplete lesion at C7, subs
S14.157S@Oth incomplete lesion at C7, sequela
S14.158A@Oth incomplete lesion at C8, init
S14.158D@Oth incomplete lesion at C8, subs
S14.158S@Oth incomplete lesion at C8, sequela
S14.159A@Oth incmpl lesion at unsp level of cerv spinal cord, init
S14.159D@Oth incmpl lesion at unsp level of cerv spinal cord, subs
S14.159S@Oth incmpl lesion at unsp level of cerv spinal cord, sequela
S14.2XXA@Injury of nerve root of cervical spine, initial encounter
S14.2XXD@Injury of nerve root of cervical spine, subsequent encounter
S14.2XXS@Injury of nerve root of cervical spine, sequela
S14.3XXA@Injury of brachial plexus, initial encounter
S14.3XXD@Injury of brachial plexus, subsequent encounter
S14.3XXS@Injury of brachial plexus, sequela
S14.4XXA@Injury of peripheral nerves of neck, initial encounter
S14.4XXD@Injury of peripheral nerves of neck, subsequent encounter
S14.4XXS@Injury of peripheral nerves of neck, sequela
S14.5XXA@Injury of cervical sympathetic nerves, initial encounter
S14.5XXD@Injury of cervical sympathetic nerves, subsequent encounter
S14.5XXS@Injury of cervical sympathetic nerves, sequela
S14.8XXA@Injury of other specified nerves of neck, initial encounter
S14.8XXD@Injury of other specified nerves of neck, subs encntr
S14.8XXS@Injury of other specified nerves of neck, sequela
S14.9XXA@Injury of unspecified nerves of neck, initial encounter
S14.9XXD@Injury of unspecified nerves of neck, subsequent encounter
S14.9XXS@Injury of unspecified nerves of neck, sequela
S15.001A@Unspecified injury of right carotid artery, init encntr
S15.001D@Unspecified injury of right carotid artery, subs encntr
S15.001S@Unspecified injury of right carotid artery, sequela
S15.002A@Unspecified injury of left carotid artery, initial encounter
S15.002D@Unspecified injury of left carotid artery, subs encntr
S15.002S@Unspecified injury of left carotid artery, sequela
S15.009A@Unsp injury of unspecified carotid artery, init encntr
S15.009D@Unsp injury of unspecified carotid artery, subs encntr
S15.009S@Unspecified injury of unspecified carotid artery, sequela
S15.011A@Minor laceration of right carotid artery, initial encounter
S15.011D@Minor laceration of right carotid artery, subs encntr
S15.011S@Minor laceration of right carotid artery, sequela
S15.012A@Minor laceration of left carotid artery, initial encounter
S15.012D@Minor laceration of left carotid artery, subs encntr
S15.012S@Minor laceration of left carotid artery, sequela
S15.019A@Minor laceration of unspecified carotid artery, init encntr
S15.019D@Minor laceration of unspecified carotid artery, subs encntr
S15.019S@Minor laceration of unspecified carotid artery, sequela
S15.021A@Major laceration of right carotid artery, initial encounter
S15.021D@Major laceration of right carotid artery, subs encntr
S15.021S@Major laceration of right carotid artery, sequela
S15.022A@Major laceration of left carotid artery, initial encounter
S15.022D@Major laceration of left carotid artery, subs encntr
S15.022S@Major laceration of left carotid artery, sequela
S15.029A@Major laceration of unspecified carotid artery, init encntr
S15.029D@Major laceration of unspecified carotid artery, subs encntr
S15.029S@Major laceration of unspecified carotid artery, sequela
S15.091A@Other specified injury of right carotid artery, init encntr
S15.091D@Other specified injury of right carotid artery, subs encntr
S15.091S@Other specified injury of right carotid artery, sequela
S15.092A@Other specified injury of left carotid artery, init encntr
S15.092D@Other specified injury of left carotid artery, subs encntr
S15.092S@Other specified injury of left carotid artery, sequela
S15.099A@Oth injury of unspecified carotid artery, init encntr
S15.099D@Oth injury of unspecified carotid artery, subs encntr
S15.099S@Oth injury of unspecified carotid artery, sequela
S15.101A@Unspecified injury of right vertebral artery, init encntr
S15.101D@Unspecified injury of right vertebral artery, subs encntr
S15.101S@Unspecified injury of right vertebral artery, sequela
