S40.011A@Contusion of right shoulder, initial encounter
S42.116G@Nondisp fx of body of scapula, unsp shldr, 7thG
S42.116K@Nondisp fx of body of scapula, unsp shldr, 7thK
S42.116P@Nondisp fx of body of scapula, unsp shldr, 7thP
S42.116S@Nondisp fx of body of scapula, unspecified shoulder, sequela
S42.121A@Disp fx of acromial process, right shoulder, init
S42.121B@Disp fx of acromial process, right shoulder, init for opn fx
S42.121D@Disp fx of acromial pro, r shldr, subs for fx w routn heal
S42.121G@Disp fx of acromial pro, r shldr, subs for fx w delay heal
S42.121K@Disp fx of acromial process, r shldr, subs for fx w nonunion
S42.121P@Disp fx of acromial process, r shldr, subs for fx w malunion
S42.121S@Disp fx of acromial process, right shoulder, sequela
S42.122A@Disp fx of acromial process, left shoulder, init for clos fx
S42.122B@Disp fx of acromial process, left shoulder, init for opn fx
S42.122D@Disp fx of acromial pro, l shldr, subs for fx w routn heal
S42.122G@Disp fx of acromial pro, l shldr, subs for fx w delay heal
S42.122K@Disp fx of acromial process, l shldr, subs for fx w nonunion
S42.122P@Disp fx of acromial process, l shldr, subs for fx w malunion
S42.122S@Disp fx of acromial process, left shoulder, sequela
S42.123A@Disp fx of acromial process, unsp shoulder, init for clos fx
S42.123B@Disp fx of acromial process, unsp shoulder, init for opn fx
S42.123D@Disp fx of acromial pro, unsp shldr, 7thD
S42.123G@Disp fx of acromial pro, unsp shldr, 7thG
S42.123K@Disp fx of acromial pro, unsp shldr, subs for fx w nonunion
S42.123P@Disp fx of acromial pro, unsp shldr, subs for fx w malunion
S42.123S@Disp fx of acromial process, unspecified shoulder, sequela
S42.124A@Nondisp fx of acromial process, right shoulder, init
S42.124B@Nondisp fx of acromial process, r shoulder, init for opn fx
S42.124D@Nondisp fx of acromial pro, r shldr, 7thD
S42.124G@Nondisp fx of acromial pro, r shldr, 7thG
S42.124K@Nondisp fx of acromial pro, r shldr, subs for fx w nonunion
S42.124P@Nondisp fx of acromial pro, r shldr, subs for fx w malunion
S42.124S@Nondisp fx of acromial process, right shoulder, sequela
S42.125A@Nondisp fx of acromial process, left shoulder, init
S42.125B@Nondisp fx of acromial process, l shoulder, init for opn fx
S42.125D@Nondisp fx of acromial pro, l shldr, 7thD
S42.125G@Nondisp fx of acromial pro, l shldr, 7thG
S42.125K@Nondisp fx of acromial pro, l shldr, subs for fx w nonunion
S42.125P@Nondisp fx of acromial pro, l shldr, subs for fx w malunion
S42.125S@Nondisp fx of acromial process, left shoulder, sequela
S42.126A@Nondisp fx of acromial process, unsp shoulder, init
S42.126B@Nondisp fx of acromial process, unsp shldr, init for opn fx
S42.126D@Nondisp fx of acromial pro, unsp shldr, 7thD
S42.126G@Nondisp fx of acromial pro, unsp shldr, 7thG
S42.126K@Nondisp fx of acromial pro, unsp shldr, 7thK
S42.126P@Nondisp fx of acromial pro, unsp shldr, 7thP
S42.126S@Nondisp fx of acromial process, unsp shoulder, sequela
S42.131A@Disp fx of coracoid process, right shoulder, init
S42.131B@Disp fx of coracoid process, right shoulder, init for opn fx
S42.131D@Disp fx of coracoid pro, r shldr, subs for fx w routn heal
S42.131G@Disp fx of coracoid pro, r shldr, subs for fx w delay heal
S42.131K@Disp fx of coracoid process, r shldr, subs for fx w nonunion
S42.131P@Disp fx of coracoid process, r shldr, subs for fx w malunion
S42.131S@Disp fx of coracoid process, right shoulder, sequela
S42.132A@Disp fx of coracoid process, left shoulder, init for clos fx
S42.132B@Disp fx of coracoid process, left shoulder, init for opn fx
S42.132D@Disp fx of coracoid pro, l shldr, subs for fx w routn heal
S42.132G@Disp fx of coracoid pro, l shldr, subs for fx w delay heal
S42.132K@Disp fx of coracoid process, l shldr, subs for fx w nonunion
S42.132P@Disp fx of coracoid process, l shldr, subs for fx w malunion
S42.132S@Disp fx of coracoid process, left shoulder, sequela
S42.133A@Disp fx of coracoid process, unsp shoulder, init for clos fx
S42.133B@Disp fx of coracoid process, unsp shoulder, init for opn fx
S42.133D@Disp fx of coracoid pro, unsp shldr, 7thD
S42.133G@Disp fx of coracoid pro, unsp shldr, 7thG
S42.133K@Disp fx of coracoid pro, unsp shldr, subs for fx w nonunion
S42.133P@Disp fx of coracoid pro, unsp shldr, subs for fx w malunion
S42.133S@Disp fx of coracoid process, unspecified shoulder, sequela
S42.134A@Nondisp fx of coracoid process, right shoulder, init
S42.134B@Nondisp fx of coracoid process, r shoulder, init for opn fx
S42.134D@Nondisp fx of coracoid pro, r shldr, 7thD
S42.134G@Nondisp fx of coracoid pro, r shldr, 7thG
S42.134K@Nondisp fx of coracoid pro, r shldr, subs for fx w nonunion
S42.134P@Nondisp fx of coracoid pro, r shldr, subs for fx w malunion
S42.134S@Nondisp fx of coracoid process, right shoulder, sequela
S42.135A@Nondisp fx of coracoid process, left shoulder, init
S42.135B@Nondisp fx of coracoid process, l shoulder, init for opn fx
S42.135D@Nondisp fx of coracoid pro, l shldr, 7thD
S42.135G@Nondisp fx of coracoid pro, l shldr, 7thG
S42.135K@Nondisp fx of coracoid pro, l shldr, subs for fx w nonunion
S42.135P@Nondisp fx of coracoid pro, l shldr, subs for fx w malunion
S42.135S@Nondisp fx of coracoid process, left shoulder, sequela
S42.136A@Nondisp fx of coracoid process, unsp shoulder, init
S42.136B@Nondisp fx of coracoid process, unsp shldr, init for opn fx
S42.136D@Nondisp fx of coracoid pro, unsp shldr, 7thD
S42.136G@Nondisp fx of coracoid pro, unsp shldr, 7thG
S42.136K@Nondisp fx of coracoid pro, unsp shldr, 7thK
S42.136P@Nondisp fx of coracoid pro, unsp shldr, 7thP
S42.136S@Nondisp fx of coracoid process, unsp shoulder, sequela
S42.141A@Disp fx of glenoid cavity of scapula, right shoulder, init
S42.141B@Disp fx of glenoid cav of scapula, r shldr, init for opn fx
S42.141D@Disp fx of glenoid cav of scapula, r shldr, 7thD
S42.141G@Disp fx of glenoid cav of scapula, r shldr, 7thG
S42.141K@Disp fx of glenoid cav of scapula, r shldr, 7thK
S42.141P@Disp fx of glenoid cav of scapula, r shldr, 7thP
S42.141S@Disp fx of glenoid cav of scapula, right shoulder, sequela
S42.142A@Disp fx of glenoid cavity of scapula, left shoulder, init
S42.142B@Disp fx of glenoid cav of scapula, l shldr, init for opn fx
S42.142D@Disp fx of glenoid cav of scapula, l shldr, 7thD
S42.142G@Disp fx of glenoid cav of scapula, l shldr, 7thG
S42.142K@Disp fx of glenoid cav of scapula, l shldr, 7thK
S42.142P@Disp fx of glenoid cav of scapula, l shldr, 7thP
S42.142S@Disp fx of glenoid cavity of scapula, left shoulder, sequela
S42.143A@Disp fx of glenoid cavity of scapula, unsp shoulder, init
S42.143B@Disp fx of glenoid cav of scapula, unsp shldr, 7thB
S42.143D@Disp fx of glenoid cav of scapula, unsp shldr, 7thD
S42.143G@Disp fx of glenoid cav of scapula, unsp shldr, 7thG
S42.143K@Disp fx of glenoid cav of scapula, unsp shldr, 7thK
S42.143P@Disp fx of glenoid cav of scapula, unsp shldr, 7thP
S42.143S@Disp fx of glenoid cavity of scapula, unsp shoulder, sequela
S42.144A@Nondisp fx of glenoid cav of scapula, right shoulder, init
S42.144B@Nondisp fx of glenoid cav of scapula, r shldr, 7thB
S42.144D@Nondisp fx of glenoid cav of scapula, r shldr, 7thD
S42.144G@Nondisp fx of glenoid cav of scapula, r shldr, 7thG
S42.144K@Nondisp fx of glenoid cav of scapula, r shldr, 7thK
S42.144P@Nondisp fx of glenoid cav of scapula, r shldr, 7thP
S42.144S@Nondisp fx of glenoid cav of scapula, r shoulder, sequela
S42.145A@Nondisp fx of glenoid cavity of scapula, left shoulder, init
S42.145B@Nondisp fx of glenoid cav of scapula, l shldr, 7thB
S42.145D@Nondisp fx of glenoid cav of scapula, l shldr, 7thD
S42.145G@Nondisp fx of glenoid cav of scapula, l shldr, 7thG
S42.145K@Nondisp fx of glenoid cav of scapula, l shldr, 7thK
S42.145P@Nondisp fx of glenoid cav of scapula, l shldr, 7thP
S42.145S@Nondisp fx of glenoid cav of scapula, left shoulder, sequela
S42.146A@Nondisp fx of glenoid cavity of scapula, unsp shoulder, init
S42.146B@Nondisp fx of glenoid cav of scapula, unsp shldr, 7thB
S42.146D@Nondisp fx of glenoid cav of scapula, unsp shldr, 7thD
S42.146G@Nondisp fx of glenoid cav of scapula, unsp shldr, 7thG
S42.146K@Nondisp fx of glenoid cav of scapula, unsp shldr, 7thK
S42.146P@Nondisp fx of glenoid cav of scapula, unsp shldr, 7thP
S42.146S@Nondisp fx of glenoid cav of scapula, unsp shoulder, sequela
S42.151A@Disp fx of neck of scapula, right shoulder, init for clos fx
S42.151B@Disp fx of neck of scapula, right shoulder, init for opn fx
S42.151D@Disp fx of nk of scapula, r shldr, subs for fx w routn heal
S42.151G@Disp fx of nk of scapula, r shldr, subs for fx w delay heal
S42.151K@Disp fx of neck of scapula, r shldr, subs for fx w nonunion
S42.151P@Disp fx of neck of scapula, r shldr, subs for fx w malunion
S42.151S@Disp fx of neck of scapula, right shoulder, sequela
S42.152A@Disp fx of neck of scapula, left shoulder, init for clos fx
S42.152B@Disp fx of neck of scapula, left shoulder, init for opn fx
S42.152D@Disp fx of nk of scapula, l shldr, subs for fx w routn heal
S42.152G@Disp fx of nk of scapula, l shldr, subs for fx w delay heal
S42.152K@Disp fx of neck of scapula, l shldr, subs for fx w nonunion
S42.152P@Disp fx of neck of scapula, l shldr, subs for fx w malunion
S42.152S@Disp fx of neck of scapula, left shoulder, sequela
S42.153A@Disp fx of neck of scapula, unsp shoulder, init for clos fx
S42.153B@Disp fx of neck of scapula, unsp shoulder, init for opn fx
S42.153D@Disp fx of nk of scapula, unsp shldr, 7thD
S42.153G@Disp fx of nk of scapula, unsp shldr, 7thG
S42.153K@Disp fx of nk of scapula, unsp shldr, subs for fx w nonunion
S42.153P@Disp fx of nk of scapula, unsp shldr, subs for fx w malunion
S42.153S@Disp fx of neck of scapula, unspecified shoulder, sequela
S42.154A@Nondisp fx of neck of scapula, right shoulder, init
S42.154B@Nondisp fx of neck of scapula, r shoulder, init for opn fx
S42.154D@Nondisp fx of nk of scapula, r shldr, 7thD
S42.154G@Nondisp fx of nk of scapula, r shldr, 7thG
S42.154K@Nondisp fx of nk of scapula, r shldr, subs for fx w nonunion
S42.154P@Nondisp fx of nk of scapula, r shldr, subs for fx w malunion
S42.154S@Nondisp fx of neck of scapula, right shoulder, sequela
S42.155A@Nondisp fx of neck of scapula, left shoulder, init
S42.155B@Nondisp fx of neck of scapula, l shoulder, init for opn fx
S42.155D@Nondisp fx of nk of scapula, l shldr, 7thD
S42.155G@Nondisp fx of nk of scapula, l shldr, 7thG
S42.155K@Nondisp fx of nk of scapula, l shldr, subs for fx w nonunion
S42.155P@Nondisp fx of nk of scapula, l shldr, subs for fx w malunion
S42.155S@Nondisp fx of neck of scapula, left shoulder, sequela
S42.156A@Nondisp fx of neck of scapula, unsp shoulder, init
S42.156B@Nondisp fx of neck of scapula, unsp shldr, init for opn fx
S42.156D@Nondisp fx of nk of scapula, unsp shldr, 7thD
S42.156G@Nondisp fx of nk of scapula, unsp shldr, 7thG
S42.156K@Nondisp fx of nk of scapula, unsp shldr, 7thK
S42.156P@Nondisp fx of nk of scapula, unsp shldr, 7thP
S42.156S@Nondisp fx of neck of scapula, unspecified shoulder, sequela
S42.191A@Fracture of oth part of scapula, right shoulder, init
S42.191B@Fracture oth prt scapula, right shoulder, init for opn fx
S42.191D@Fx oth prt scapula, r shoulder, subs for fx w routn heal
S42.191G@Fx oth prt scapula, r shoulder, subs for fx w delay heal
S42.191K@Fracture oth prt scapula, r shoulder, subs for fx w nonunion
S42.191P@Fracture oth prt scapula, r shoulder, subs for fx w malunion
S42.191S@Fracture of other part of scapula, right shoulder, sequela
S42.192A@Fracture of oth part of scapula, left shoulder, init
S42.192B@Fracture oth prt scapula, left shoulder, init for opn fx
S42.192D@Fx oth prt scapula, l shoulder, subs for fx w routn heal
S42.192G@Fx oth prt scapula, l shoulder, subs for fx w delay heal
S42.192K@Fracture oth prt scapula, l shoulder, subs for fx w nonunion
S42.192P@Fracture oth prt scapula, l shoulder, subs for fx w malunion
S42.192S@Fracture of other part of scapula, left shoulder, sequela
S42.199A@Fracture of oth part of scapula, unsp shoulder, init
S42.199B@Fracture oth prt scapula, unsp shoulder, init for opn fx
S42.199D@Fx oth prt scapula, unsp shoulder, subs for fx w routn heal
S42.199G@Fx oth prt scapula, unsp shoulder, subs for fx w delay heal
S42.199K@Fx oth prt scapula, unsp shoulder, subs for fx w nonunion
S42.199P@Fx oth prt scapula, unsp shoulder, subs for fx w malunion
S42.199S@Fracture of other part of scapula, unsp shoulder, sequela
S42.201A@Unsp fracture of upper end of right humerus, init
S42.201B@Unsp fracture of upper end of right humerus, init for opn fx
S42.201D@Unsp fx upper end of r humerus, subs for fx w routn heal
S42.201G@Unsp fx upper end of r humerus, subs for fx w delay heal
S42.201K@Unsp fx upper end of r humerus, subs for fx w nonunion
S42.201P@Unsp fx upper end of r humerus, subs for fx w malunion
S42.201S@Unspecified fracture of upper end of right humerus, sequela
S42.202A@Unsp fracture of upper end of left humerus, init for clos fx
S42.202B@Unsp fracture of upper end of left humerus, init for opn fx
S42.202D@Unsp fx upper end of l humerus, subs for fx w routn heal
S42.202G@Unsp fx upper end of l humerus, subs for fx w delay heal
S42.202K@Unsp fx upper end of l humerus, subs for fx w nonunion
S42.202P@Unsp fx upper end of l humerus, subs for fx w malunion
S42.202S@Unspecified fracture of upper end of left humerus, sequela
S42.209A@Unsp fracture of upper end of unsp humerus, init for clos fx
S42.209B@Unsp fracture of upper end of unsp humerus, init for opn fx
S42.209D@Unsp fx upper end of unsp humerus, subs for fx w routn heal
S42.209G@Unsp fx upper end of unsp humerus, subs for fx w delay heal
S42.209K@Unsp fx upper end of unsp humerus, subs for fx w nonunion
S42.209P@Unsp fx upper end of unsp humerus, subs for fx w malunion
S42.209S@Unsp fracture of upper end of unspecified humerus, sequela
S42.211A@Unsp disp fx of surgical neck of right humerus, init
S42.211B@Unsp disp fx of surgical neck of r humerus, init for opn fx
S42.211D@Unsp disp fx of surg nk of r humer, subs for fx w routn heal
S42.211G@Unsp disp fx of surg nk of r humer, subs for fx w delay heal
S42.211K@Unsp disp fx of surg neck of r humer, subs for fx w nonunion
S42.211P@Unsp disp fx of surg neck of r humer, subs for fx w malunion
S42.211S@Unsp disp fx of surgical neck of right humerus, sequela
S42.212A@Unsp disp fx of surgical neck of left humerus, init
S42.212B@Unsp disp fx of surgical neck of l humerus, init for opn fx
S42.212D@Unsp disp fx of surg nk of l humer, subs for fx w routn heal
S42.212G@Unsp disp fx of surg nk of l humer, subs for fx w delay heal
S42.212K@Unsp disp fx of surg neck of l humer, subs for fx w nonunion
S42.212P@Unsp disp fx of surg neck of l humer, subs for fx w malunion
S42.212S@Unsp disp fx of surgical neck of left humerus, sequela
S42.213A@Unsp disp fx of surgical neck of unsp humerus, init
S42.213B@Unsp disp fx of surg neck of unsp humerus, init for opn fx
S42.213D@Unsp disp fx of surg nk of unsp humer, 7thD
S42.213G@Unsp disp fx of surg nk of unsp humer, 7thG
S42.213K@Unsp disp fx of surg nk of unsp humer, 7thK
S42.213P@Unsp disp fx of surg nk of unsp humer, 7thP
S42.213S@Unsp disp fx of surgical neck of unsp humerus, sequela
S42.214A@Unsp nondisp fx of surgical neck of right humerus, init
S42.214B@Unsp nondisp fx of surg neck of r humerus, init for opn fx
S42.214D@Unsp nondisp fx of surg nk of r humer, 7thD
S42.214G@Unsp nondisp fx of surg nk of r humer, 7thG
S42.214K@Unsp nondisp fx of surg nk of r humer, 7thK
S42.214P@Unsp nondisp fx of surg nk of r humer, 7thP
S42.214S@Unsp nondisp fx of surgical neck of right humerus, sequela
S42.215A@Unsp nondisp fx of surgical neck of left humerus, init
S42.215B@Unsp nondisp fx of surg neck of l humerus, init for opn fx
S42.215D@Unsp nondisp fx of surg nk of l humer, 7thD
S42.215G@Unsp nondisp fx of surg nk of l humer, 7thG
S42.215K@Unsp nondisp fx of surg nk of l humer, 7thK
S42.215P@Unsp nondisp fx of surg nk of l humer, 7thP
S42.215S@Unsp nondisp fx of surgical neck of left humerus, sequela
S42.216A@Unsp nondisp fx of surgical neck of unsp humerus, init
S42.216B@Unsp nondisp fx of surg neck of unsp humer, init for opn fx
S42.216D@Unsp nondisp fx of surg nk of unsp humer, 7thD
S42.216G@Unsp nondisp fx of surg nk of unsp humer, 7thG
S42.216K@Unsp nondisp fx of surg nk of unsp humer, 7thK
S42.216P@Unsp nondisp fx of surg nk of unsp humer, 7thP
S42.216S@Unsp nondisp fx of surgical neck of unsp humerus, sequela
S42.221A@2-part disp fx of surgical neck of right humerus, init
S42.221B@2-part disp fx of surg neck of r humerus, init for opn fx
S42.221D@2-part disp fx of surg nk of r humer, 7thD
S42.221G@2-part disp fx of surg nk of r humer, 7thG
S42.221K@2-part disp fx of surg nk of r humer, subs for fx w nonunion
S42.221P@2-part disp fx of surg nk of r humer, subs for fx w malunion
S42.221S@2-part disp fx of surgical neck of right humerus, sequela
S42.222A@2-part disp fx of surgical neck of left humerus, init
S42.222B@2-part disp fx of surg neck of l humerus, init for opn fx
S42.222D@2-part disp fx of surg nk of l humer, 7thD
S42.222G@2-part disp fx of surg nk of l humer, 7thG
S42.222K@2-part disp fx of surg nk of l humer, subs for fx w nonunion
S42.222P@2-part disp fx of surg nk of l humer, subs for fx w malunion
S42.222S@2-part disp fx of surgical neck of left humerus, sequela
S42.223A@2-part disp fx of surgical neck of unsp humerus, init
S42.223B@2-part disp fx of surg neck of unsp humerus, init for opn fx
S42.223D@2-part disp fx of surg nk of unsp humer, 7thD
S42.223G@2-part disp fx of surg nk of unsp humer, 7thG
S42.223K@2-part disp fx of surg nk of unsp humer, 7thK
S42.223P@2-part disp fx of surg nk of unsp humer, 7thP
S42.223S@2-part disp fx of surgical neck of unsp humerus, sequela
S42.224A@2-part nondisp fx of surgical neck of right humerus, init
S42.224B@2-part nondisp fx of surg neck of r humerus, init for opn fx
S42.224D@2-part nondisp fx of surg nk of r humer, 7thD
S42.224G@2-part nondisp fx of surg nk of r humer, 7thG
S42.224K@2-part nondisp fx of surg nk of r humer, 7thK
S42.224P@2-part nondisp fx of surg nk of r humer, 7thP
S42.224S@2-part nondisp fx of surgical neck of right humerus, sequela
S42.225A@2-part nondisp fx of surgical neck of left humerus, init
S42.225B@2-part nondisp fx of surg neck of l humerus, init for opn fx
S42.225D@2-part nondisp fx of surg nk of l humer, 7thD
S42.225G@2-part nondisp fx of surg nk of l humer, 7thG
S42.225K@2-part nondisp fx of surg nk of l humer, 7thK
S42.225P@2-part nondisp fx of surg nk of l humer, 7thP
S42.225S@2-part nondisp fx of surgical neck of left humerus, sequela
S42.226A@2-part nondisp fx of surgical neck of unsp humerus, init
S42.226B@2-part nondisp fx of surg nk of unsp humer, init for opn fx
S42.226D@2-part nondisp fx of surg nk of unsp humer, 7thD
S42.226G@2-part nondisp fx of surg nk of unsp humer, 7thG
S42.226K@2-part nondisp fx of surg nk of unsp humer, 7thK
S42.226P@2-part nondisp fx of surg nk of unsp humer, 7thP
S42.226S@2-part nondisp fx of surgical neck of unsp humerus, sequela
S42.231A@3-part fracture of surgical neck of right humerus, init
S42.231B@3-part fx surgical neck of r humerus, init for opn fx
S42.231D@3-part fx surg neck of r humerus, subs for fx w routn heal
S42.231G@3-part fx surg neck of r humerus, subs for fx w delay heal
S42.231K@3-part fx surgical neck of r humerus, subs for fx w nonunion
S42.231P@3-part fx surgical neck of r humerus, subs for fx w malunion
S42.231S@3-part fracture of surgical neck of right humerus, sequela
S42.232A@3-part fracture of surgical neck of left humerus, init
S42.232B@3-part fx surgical neck of l humerus, init for opn fx
S42.232D@3-part fx surg neck of l humerus, subs for fx w routn heal
S42.232G@3-part fx surg neck of l humerus, subs for fx w delay heal
S42.232K@3-part fx surgical neck of l humerus, subs for fx w nonunion
S42.232P@3-part fx surgical neck of l humerus, subs for fx w malunion
S42.232S@3-part fracture of surgical neck of left humerus, sequela
S42.239A@3-part fracture of surgical neck of unsp humerus, init
S42.239B@3-part fx surgical neck of unsp humerus, init for opn fx
S42.239D@3-part fx surg neck of unsp humer, subs for fx w routn heal
S42.239G@3-part fx surg neck of unsp humer, subs for fx w delay heal
S42.239K@3-part fx surg neck of unsp humerus, subs for fx w nonunion
S42.239P@3-part fx surg neck of unsp humerus, subs for fx w malunion
S42.239S@3-part fracture of surgical neck of unsp humerus, sequela
S42.241A@4-part fracture of surgical neck of right humerus, init
S42.241B@4-part fx surgical neck of r humerus, init for opn fx
S42.241D@4-part fx surg neck of r humerus, subs for fx w routn heal
S42.241G@4-part fx surg neck of r humerus, subs for fx w delay heal
S42.241K@4-part fx surgical neck of r humerus, subs for fx w nonunion
S42.241P@4-part fx surgical neck of r humerus, subs for fx w malunion
S42.241S@4-part fracture of surgical neck of right humerus, sequela
S42.242A@4-part fracture of surgical neck of left humerus, init
S42.242B@4-part fx surgical neck of l humerus, init for opn fx
S42.242D@4-part fx surg neck of l humerus, subs for fx w routn heal
S42.242G@4-part fx surg neck of l humerus, subs for fx w delay heal
S42.242K@4-part fx surgical neck of l humerus, subs for fx w nonunion
S42.242P@4-part fx surgical neck of l humerus, subs for fx w malunion
S42.242S@4-part fracture of surgical neck of left humerus, sequela
S42.249A@4-part fracture of surgical neck of unsp humerus, init
S42.249B@4-part fx surgical neck of unsp humerus, init for opn fx
S42.249D@4-part fx surg neck of unsp humer, subs for fx w routn heal
S42.249G@4-part fx surg neck of unsp humer, subs for fx w delay heal
S42.249K@4-part fx surg neck of unsp humerus, subs for fx w nonunion
S42.249P@4-part fx surg neck of unsp humerus, subs for fx w malunion
S42.249S@4-part fracture of surgical neck of unsp humerus, sequela
S42.251A@Disp fx of greater tuberosity of right humerus, init
S42.251B@Disp fx of greater tuberosity of r humerus, init for opn fx
S42.251D@Disp fx of greater tuberosity of r humer, 7thD
S42.251G@Disp fx of greater tuberosity of r humer, 7thG
S42.251K@Disp fx of greater tuberosity of r humer, 7thK
S42.251P@Disp fx of greater tuberosity of r humer, 7thP
S42.251S@Disp fx of greater tuberosity of right humerus, sequela
S42.252A@Disp fx of greater tuberosity of left humerus, init
S42.252B@Disp fx of greater tuberosity of l humerus, init for opn fx
S42.252D@Disp fx of greater tuberosity of l humer, 7thD
S42.252G@Disp fx of greater tuberosity of l humer, 7thG
S42.252K@Disp fx of greater tuberosity of l humer, 7thK
S42.252P@Disp fx of greater tuberosity of l humer, 7thP
S42.252S@Disp fx of greater tuberosity of left humerus, sequela
S42.253A@Disp fx of greater tuberosity of unsp humerus, init
S42.253B@Disp fx of greater tuberosity of unsp humer, init for opn fx
S42.253D@Disp fx of greater tuberosity of unsp humer, 7thD
S42.253G@Disp fx of greater tuberosity of unsp humer, 7thG
S42.253K@Disp fx of greater tuberosity of unsp humer, 7thK
S42.253P@Disp fx of greater tuberosity of unsp humer, 7thP
S42.253S@Disp fx of greater tuberosity of unsp humerus, sequela
S42.254A@Nondisp fx of greater tuberosity of right humerus, init
S42.254B@Nondisp fx of greater tuberosity of r humer, init for opn fx
S42.254D@Nondisp fx of greater tuberosity of r humer, 7thD
S42.254G@Nondisp fx of greater tuberosity of r humer, 7thG
S42.254K@Nondisp fx of greater tuberosity of r humer, 7thK
S42.254P@Nondisp fx of greater tuberosity of r humer, 7thP
S42.254S@Nondisp fx of greater tuberosity of right humerus, sequela
S42.255A@Nondisp fx of greater tuberosity of left humerus, init
S42.255B@Nondisp fx of greater tuberosity of l humer, init for opn fx
S42.255D@Nondisp fx of greater tuberosity of l humer, 7thD
S42.255G@Nondisp fx of greater tuberosity of l humer, 7thG
S42.255K@Nondisp fx of greater tuberosity of l humer, 7thK
S42.255P@Nondisp fx of greater tuberosity of l humer, 7thP
S42.255S@Nondisp fx of greater tuberosity of left humerus, sequela
S42.256A@Nondisp fx of greater tuberosity of unsp humerus, init
S42.256B@Nondisp fx of greater tuberosity of unsp humer, 7thB
S42.256D@Nondisp fx of greater tuberosity of unsp humer, 7thD
S42.256G@Nondisp fx of greater tuberosity of unsp humer, 7thG
S42.256K@Nondisp fx of greater tuberosity of unsp humer, 7thK
S42.256P@Nondisp fx of greater tuberosity of unsp humer, 7thP
S42.256S@Nondisp fx of greater tuberosity of unsp humerus, sequela
S42.261A@Disp fx of lesser tuberosity of right humerus, init
S42.261B@Disp fx of lesser tuberosity of r humerus, init for opn fx
S42.261D@Disp fx of less tuberosity of r humer, 7thD
S42.261G@Disp fx of less tuberosity of r humer, 7thG
S42.261K@Disp fx of less tuberosity of r humer, 7thK
S42.261P@Disp fx of less tuberosity of r humer, 7thP
S42.261S@Disp fx of lesser tuberosity of right humerus, sequela
S42.262A@Disp fx of lesser tuberosity of left humerus, init
S42.262B@Disp fx of lesser tuberosity of l humerus, init for opn fx
S42.262D@Disp fx of less tuberosity of l humer, 7thD
S42.262G@Disp fx of less tuberosity of l humer, 7thG
S42.262K@Disp fx of less tuberosity of l humer, 7thK
S42.262P@Disp fx of less tuberosity of l humer, 7thP
S42.262S@Disp fx of lesser tuberosity of left humerus, sequela
S42.263A@Disp fx of lesser tuberosity of unsp humerus, init
S42.263B@Disp fx of lesser tuberosity of unsp humer, init for opn fx
S42.263D@Disp fx of less tuberosity of unsp humer, 7thD
S42.263G@Disp fx of less tuberosity of unsp humer, 7thG
S42.263K@Disp fx of less tuberosity of unsp humer, 7thK
S42.263P@Disp fx of less tuberosity of unsp humer, 7thP
S42.263S@Disp fx of lesser tuberosity of unspecified humerus, sequela
S42.264A@Nondisp fx of lesser tuberosity of right humerus, init
S42.264B@Nondisp fx of lesser tuberosity of r humer, init for opn fx
S42.264D@Nondisp fx of less tuberosity of r humer, 7thD
S42.264G@Nondisp fx of less tuberosity of r humer, 7thG
S42.264K@Nondisp fx of less tuberosity of r humer, 7thK
S42.264P@Nondisp fx of less tuberosity of r humer, 7thP
S42.264S@Nondisp fx of lesser tuberosity of right humerus, sequela
S42.265A@Nondisp fx of lesser tuberosity of left humerus, init
S42.265B@Nondisp fx of lesser tuberosity of l humer, init for opn fx
S42.265D@Nondisp fx of less tuberosity of l humer, 7thD
S42.265G@Nondisp fx of less tuberosity of l humer, 7thG
S42.265K@Nondisp fx of less tuberosity of l humer, 7thK
S42.265P@Nondisp fx of less tuberosity of l humer, 7thP
S42.265S@Nondisp fx of lesser tuberosity of left humerus, sequela
S42.266A@Nondisp fx of lesser tuberosity of unsp humerus, init
S42.266B@Nondisp fx of less tuberosity of unsp humer, init for opn fx
S42.266D@Nondisp fx of less tuberosity of unsp humer, 7thD
S42.266G@Nondisp fx of less tuberosity of unsp humer, 7thG
S42.266K@Nondisp fx of less tuberosity of unsp humer, 7thK
S42.266P@Nondisp fx of less tuberosity of unsp humer, 7thP
S42.266S@Nondisp fx of lesser tuberosity of unsp humerus, sequela
S42.271A@Torus fracture of upper end of right humerus, init
S42.271D@Torus fx upper end of r humerus, subs for fx w routn heal
S42.271G@Torus fx upper end of r humerus, subs for fx w delay heal
S42.271K@Torus fx upper end of r humerus, subs for fx w nonunion
S42.271P@Torus fx upper end of r humerus, subs for fx w malunion
S42.271S@Torus fracture of upper end of right humerus, sequela
S42.272A@Torus fracture of upper end of left humerus, init
S42.272D@Torus fx upper end of l humerus, subs for fx w routn heal
S42.272G@Torus fx upper end of l humerus, subs for fx w delay heal
S42.272K@Torus fx upper end of l humerus, subs for fx w nonunion
S42.272P@Torus fx upper end of l humerus, subs for fx w malunion
S42.272S@Torus fracture of upper end of left humerus, sequela
S42.279A@Torus fracture of upper end of unsp humerus, init
S42.279D@Torus fx upper end of unsp humerus, subs for fx w routn heal
S42.279G@Torus fx upper end of unsp humerus, subs for fx w delay heal
S42.279K@Torus fx upper end of unsp humerus, subs for fx w nonunion
