S90.00XA@Contusion of unspecified ankle, initial encounter
S90.00XD@Contusion of unspecified ankle, subsequent encounter
S90.00XS@Contusion of unspecified ankle, sequela
S90.01XA@Contusion of right ankle, initial encounter
S90.01XD@Contusion of right ankle, subsequent encounter
S90.01XS@Contusion of right ankle, sequela
S90.02XA@Contusion of left ankle, initial encounter
S90.02XD@Contusion of left ankle, subsequent encounter
S90.02XS@Contusion of left ankle, sequela
S90.111A@Contusion of right great toe w/o damage to nail, init encntr
S90.111D@Contusion of right great toe w/o damage to nail, subs encntr
S90.111S@Contusion of right great toe without damage to nail, sequela
S90.112A@Contusion of left great toe w/o damage to nail, init encntr
S90.112D@Contusion of left great toe w/o damage to nail, subs encntr
S90.112S@Contusion of left great toe without damage to nail, sequela
S90.119A@Contusion of unsp great toe w/o damage to nail, init encntr
S90.119D@Contusion of unsp great toe w/o damage to nail, subs encntr
S90.119S@Contusion of unsp great toe without damage to nail, sequela
S90.121A@Contusion of right lesser toe(s) w/o damage to nail, init
S90.121D@Contusion of right lesser toe(s) w/o damage to nail, subs
S90.121S@Contusion of right lesser toe(s) w/o damage to nail, sequela
S90.122A@Contusion of left lesser toe(s) w/o damage to nail, init
S90.122D@Contusion of left lesser toe(s) w/o damage to nail, subs
S90.122S@Contusion of left lesser toe(s) w/o damage to nail, sequela
S90.129A@Contusion of unsp lesser toe(s) w/o damage to nail, init
S90.129D@Contusion of unsp lesser toe(s) w/o damage to nail, subs
S90.129S@Contusion of unsp lesser toe(s) w/o damage to nail, sequela
S90.211A@Contusion of right great toe w damage to nail, init encntr
S90.211D@Contusion of right great toe w damage to nail, subs encntr
S90.211S@Contusion of right great toe with damage to nail, sequela
S90.212A@Contusion of left great toe with damage to nail, init encntr
S90.212D@Contusion of left great toe with damage to nail, subs encntr
S90.212S@Contusion of left great toe with damage to nail, sequela
S90.219A@Contusion of unsp great toe with damage to nail, init encntr
S90.219D@Contusion of unsp great toe with damage to nail, subs encntr
S90.219S@Contusion of unsp great toe with damage to nail, sequela
S90.221A@Contusion of right lesser toe(s) w damage to nail, init
S90.221D@Contusion of right lesser toe(s) w damage to nail, subs
S90.221S@Contusion of right lesser toe(s) w damage to nail, sequela
S90.222A@Contusion of left lesser toe(s) w damage to nail, init
S90.222D@Contusion of left lesser toe(s) w damage to nail, subs
S90.222S@Contusion of left lesser toe(s) with damage to nail, sequela
S90.229A@Contusion of unsp lesser toe(s) w damage to nail, init
S90.229D@Contusion of unsp lesser toe(s) w damage to nail, subs
S90.229S@Contusion of unsp lesser toe(s) with damage to nail, sequela
S90.30XA@Contusion of unspecified foot, initial encounter
S90.30XD@Contusion of unspecified foot, subsequent encounter
S90.30XS@Contusion of unspecified foot, sequela
S90.31XA@Contusion of right foot, initial encounter
S90.31XD@Contusion of right foot, subsequent encounter
S90.31XS@Contusion of right foot, sequela
S90.32XA@Contusion of left foot, initial encounter
S90.32XD@Contusion of left foot, subsequent encounter
S90.32XS@Contusion of left foot, sequela
S92.026A@Nondisp fx of anterior process of unsp calcaneus, init
S92.026B@Nondisp fx of ant process of unsp calcaneus, init for opn fx
S92.026D@Nondisp fx of ant pro of unsp calcaneus, 7thD
S92.026G@Nondisp fx of ant pro of unsp calcaneus, 7thG
S92.026K@Nondisp fx of ant pro of unsp calcaneus, 7thK
S92.026P@Nondisp fx of ant pro of unsp calcaneus, 7thP
S92.026S@Nondisp fx of anterior process of unsp calcaneus, sequela
S92.031A@Displaced avulsion fx tuberosity of r calcaneus, init
S92.031B@Displ avulsion fx tuberosity of r calcaneus, init for opn fx
S92.031D@Displ avuls fx tuberosity of r calcaneus, 7thD
S92.031G@Displ avuls fx tuberosity of r calcaneus, 7thG
S92.031K@Displ avuls fx tuberosity of r calcaneus, 7thK
S92.031P@Displ avuls fx tuberosity of r calcaneus, 7thP
S92.031S@Displaced avulsion fx tuberosity of r calcaneus, sequela
S92.032A@Displaced avulsion fx tuberosity of l calcaneus, init
S92.032B@Displ avulsion fx tuberosity of l calcaneus, init for opn fx
S92.032D@Displ avuls fx tuberosity of l calcaneus, 7thD
S92.032G@Displ avuls fx tuberosity of l calcaneus, 7thG
S92.032K@Displ avuls fx tuberosity of l calcaneus, 7thK
S92.032P@Displ avuls fx tuberosity of l calcaneus, 7thP
S92.032S@Displaced avulsion fx tuberosity of l calcaneus, sequela
S92.033A@Displaced avulsion fx tuberosity of unsp calcaneus, init
S92.033B@Displ avuls fx tuberosity of unsp calcaneus, init for opn fx
S92.033D@Displ avuls fx tuberosity of unsp calcaneus, 7thD
S92.033G@Displ avuls fx tuberosity of unsp calcaneus, 7thG
S92.033K@Displ avuls fx tuberosity of unsp calcaneus, 7thK
S92.033P@Displ avuls fx tuberosity of unsp calcaneus, 7thP
S92.033S@Displaced avulsion fx tuberosity of unsp calcaneus, sequela
S92.034A@Nondisp avulsion fracture of tuberosity of r calcaneus, init
S92.034B@Nondisp avuls fx tuberosity of r calcaneus, init for opn fx
S92.034D@Nondisp avuls fx tuberosity of r calcaneus, 7thD
S92.034G@Nondisp avuls fx tuberosity of r calcaneus, 7thG
S92.034K@Nondisp avuls fx tuberosity of r calcaneus, 7thK
S92.034P@Nondisp avuls fx tuberosity of r calcaneus, 7thP
S92.034S@Nondisp avulsion fx tuberosity of r calcaneus, sequela
S92.035A@Nondisp avulsion fracture of tuberosity of l calcaneus, init
S92.035B@Nondisp avuls fx tuberosity of l calcaneus, init for opn fx
S92.035D@Nondisp avuls fx tuberosity of l calcaneus, 7thD
S92.035G@Nondisp avuls fx tuberosity of l calcaneus, 7thG
S92.035K@Nondisp avuls fx tuberosity of l calcaneus, 7thK
S92.035P@Nondisp avuls fx tuberosity of l calcaneus, 7thP
S92.035S@Nondisp avulsion fx tuberosity of l calcaneus, sequela
S92.036A@Nondisp avulsion fx tuberosity of unsp calcaneus, init
S92.036B@Nondisp avuls fx tuberosity of unsp calcaneus, 7thB
S92.036D@Nondisp avuls fx tuberosity of unsp calcaneus, 7thD
S92.036G@Nondisp avuls fx tuberosity of unsp calcaneus, 7thG
S92.036K@Nondisp avuls fx tuberosity of unsp calcaneus, 7thK
S92.036P@Nondisp avuls fx tuberosity of unsp calcaneus, 7thP
S92.036S@Nondisp avulsion fx tuberosity of unsp calcaneus, sequela
S92.041A@Displaced oth fracture of tuberosity of r calcaneus, init
S92.041B@Displaced oth fx tuberosity of r calcaneus, init for opn fx
S92.041D@Displ oth fx tuberosity of r calcaneus, 7thD
S92.041G@Displ oth fx tuberosity of r calcaneus, 7thG
S92.041K@Displ oth fx tuberosity of r calcaneus, 7thK
S92.041P@Displ oth fx tuberosity of r calcaneus, 7thP
S92.041S@Displaced oth fracture of tuberosity of r calcaneus, sequela
S92.042A@Displaced oth fracture of tuberosity of left calcaneus, init
S92.042B@Displaced oth fx tuberosity of l calcaneus, init for opn fx
S92.042D@Displ oth fx tuberosity of l calcaneus, 7thD
S92.042G@Displ oth fx tuberosity of l calcaneus, 7thG
S92.042K@Displ oth fx tuberosity of l calcaneus, 7thK
S92.042P@Displ oth fx tuberosity of l calcaneus, 7thP
S92.042S@Displaced oth fracture of tuberosity of l calcaneus, sequela
S92.043A@Displaced oth fracture of tuberosity of unsp calcaneus, init
S92.043B@Displ oth fx tuberosity of unsp calcaneus, init for opn fx
S92.043D@Displ oth fx tuberosity of unsp calcaneus, 7thD
S92.043G@Displ oth fx tuberosity of unsp calcaneus, 7thG
S92.043K@Displ oth fx tuberosity of unsp calcaneus, 7thK
S92.043P@Displ oth fx tuberosity of unsp calcaneus, 7thP
S92.043S@Displaced oth fx tuberosity of unsp calcaneus, sequela
S92.044A@Nondisplaced oth fracture of tuberosity of r calcaneus, init
S92.044B@Nondisp oth fx tuberosity of r calcaneus, init for opn fx
S92.044D@Nondisp oth fx tuberosity of r calcaneus, 7thD
S92.044G@Nondisp oth fx tuberosity of r calcaneus, 7thG
S92.044K@Nondisp oth fx tuberosity of r calcaneus, 7thK
S92.044P@Nondisp oth fx tuberosity of r calcaneus, 7thP
S92.044S@Nondisp oth fracture of tuberosity of r calcaneus, sequela
S92.045A@Nondisplaced oth fracture of tuberosity of l calcaneus, init
S92.045B@Nondisp oth fx tuberosity of l calcaneus, init for opn fx
S92.045D@Nondisp oth fx tuberosity of l calcaneus, 7thD
S92.045G@Nondisp oth fx tuberosity of l calcaneus, 7thG
S92.045K@Nondisp oth fx tuberosity of l calcaneus, 7thK
S92.045P@Nondisp oth fx tuberosity of l calcaneus, 7thP
S92.045S@Nondisp oth fracture of tuberosity of l calcaneus, sequela
S92.046A@Nondisp oth fracture of tuberosity of unsp calcaneus, init
S92.046B@Nondisp oth fx tuberosity of unsp calcaneus, init for opn fx
S92.046D@Nondisp oth fx tuberosity of unsp calcaneus, 7thD
S92.046G@Nondisp oth fx tuberosity of unsp calcaneus, 7thG
S92.046K@Nondisp oth fx tuberosity of unsp calcaneus, 7thK
S92.046P@Nondisp oth fx tuberosity of unsp calcaneus, 7thP
S92.046S@Nondisp oth fx tuberosity of unsp calcaneus, sequela
S92.051A@Displaced oth extraarticular fracture of r calcaneus, init
S92.051B@Displaced oth extrartic fx r calcaneus, init for opn fx
S92.051D@Displ oth extrartic fx r calcaneus, subs for fx w routn heal
S92.051G@Displ oth extrartic fx r calcaneus, subs for fx w delay heal
S92.051K@Displ oth extrartic fx r calcaneus, subs for fx w nonunion
S92.051P@Displ oth extrartic fx r calcaneus, subs for fx w malunion
S92.051S@Displaced oth extrartic fracture of r calcaneus, sequela
S92.052A@Displaced oth extrartic fracture of left calcaneus, init
S92.052B@Displaced oth extrartic fx l calcaneus, init for opn fx
S92.052D@Displ oth extrartic fx l calcaneus, subs for fx w routn heal
S92.052G@Displ oth extrartic fx l calcaneus, subs for fx w delay heal
S92.052K@Displ oth extrartic fx l calcaneus, subs for fx w nonunion
S92.052P@Displ oth extrartic fx l calcaneus, subs for fx w malunion
S92.052S@Displaced oth extrartic fracture of left calcaneus, sequela
S92.053A@Displaced oth extrartic fracture of unsp calcaneus, init
S92.053B@Displaced oth extrartic fx unsp calcaneus, init for opn fx
S92.053D@Displ oth extrartic fx unsp calcaneus, 7thD
S92.053G@Displ oth extrartic fx unsp calcaneus, 7thG
S92.053K@Displ oth extrartic fx unsp calcaneus, 7thK
S92.053P@Displ oth extrartic fx unsp calcaneus, 7thP
S92.053S@Displaced oth extrartic fracture of unsp calcaneus, sequela
S92.054A@Nondisplaced oth extrartic fracture of r calcaneus, init
S92.054B@Nondisp oth extrartic fx r calcaneus, init for opn fx
S92.054D@Nondisp oth extrartic fx r calcaneus, 7thD
S92.054G@Nondisp oth extrartic fx r calcaneus, 7thG
S92.054K@Nondisp oth extrartic fx r calcaneus, subs for fx w nonunion
S92.054P@Nondisp oth extrartic fx r calcaneus, subs for fx w malunion
S92.054S@Nondisplaced oth extrartic fracture of r calcaneus, sequela
S92.055A@Nondisplaced oth extrartic fracture of left calcaneus, init
S92.055B@Nondisp oth extrartic fx l calcaneus, init for opn fx
S92.055D@Nondisp oth extrartic fx l calcaneus, 7thD
S92.055G@Nondisp oth extrartic fx l calcaneus, 7thG
S92.055K@Nondisp oth extrartic fx l calcaneus, subs for fx w nonunion
S92.055P@Nondisp oth extrartic fx l calcaneus, subs for fx w malunion
S92.055S@Nondisplaced oth extrartic fracture of l calcaneus, sequela
S92.056A@Nondisplaced oth extrartic fracture of unsp calcaneus, init
S92.056B@Nondisp oth extrartic fx unsp calcaneus, init for opn fx
S92.056D@Nondisp oth extrartic fx unsp calcaneus, 7thD
S92.056G@Nondisp oth extrartic fx unsp calcaneus, 7thG
S92.056K@Nondisp oth extrartic fx unsp calcaneus, 7thK
S92.056P@Nondisp oth extrartic fx unsp calcaneus, 7thP
S92.056S@Nondisp oth extrartic fracture of unsp calcaneus, sequela
S92.061A@Displaced intraarticular fracture of right calcaneus, init
S92.061B@Displaced intartic fracture of r calcaneus, init for opn fx
S92.061D@Displaced intartic fx r calcaneus, subs for fx w routn heal
S92.061G@Displaced intartic fx r calcaneus, subs for fx w delay heal
S92.061K@Displaced intartic fx r calcaneus, subs for fx w nonunion
S92.061P@Displaced intartic fx r calcaneus, subs for fx w malunion
S92.061S@Displaced intraarticular fracture of r calcaneus, sequela
S92.062A@Displaced intraarticular fracture of left calcaneus, init
S92.062B@Displaced intartic fracture of l calcaneus, init for opn fx
S92.062D@Displaced intartic fx l calcaneus, subs for fx w routn heal
S92.062G@Displaced intartic fx l calcaneus, subs for fx w delay heal
S92.062K@Displaced intartic fx l calcaneus, subs for fx w nonunion
S92.062P@Displaced intartic fx l calcaneus, subs for fx w malunion
S92.062S@Displaced intraarticular fracture of left calcaneus, sequela
S92.063A@Displaced intraarticular fracture of unsp calcaneus, init
S92.063B@Displaced intartic fx unsp calcaneus, init for opn fx
S92.063D@Displ intartic fx unsp calcaneus, subs for fx w routn heal
S92.063G@Displ intartic fx unsp calcaneus, subs for fx w delay heal
S92.063K@Displaced intartic fx unsp calcaneus, subs for fx w nonunion
S92.063P@Displaced intartic fx unsp calcaneus, subs for fx w malunion
S92.063S@Displaced intraarticular fracture of unsp calcaneus, sequela
S92.064A@Nondisplaced intraarticular fracture of r calcaneus, init
S92.064B@Nondisp intartic fracture of r calcaneus, init for opn fx
S92.064D@Nondisp intartic fx r calcaneus, subs for fx w routn heal
S92.064G@Nondisp intartic fx r calcaneus, subs for fx w delay heal
S92.064K@Nondisp intartic fx r calcaneus, subs for fx w nonunion
S92.064P@Nondisp intartic fx r calcaneus, subs for fx w malunion
S92.064S@Nondisplaced intraarticular fracture of r calcaneus, sequela
S92.065A@Nondisplaced intraarticular fracture of left calcaneus, init
S92.065B@Nondisp intartic fracture of l calcaneus, init for opn fx
S92.065D@Nondisp intartic fx l calcaneus, subs for fx w routn heal
S92.065G@Nondisp intartic fx l calcaneus, subs for fx w delay heal
S92.065K@Nondisp intartic fx l calcaneus, subs for fx w nonunion
S92.065P@Nondisp intartic fx l calcaneus, subs for fx w malunion
S92.065S@Nondisplaced intartic fracture of left calcaneus, sequela
S92.066A@Nondisplaced intraarticular fracture of unsp calcaneus, init
S92.066B@Nondisp intartic fracture of unsp calcaneus, init for opn fx
S92.066D@Nondisp intartic fx unsp calcaneus, subs for fx w routn heal
S92.066G@Nondisp intartic fx unsp calcaneus, subs for fx w delay heal
S92.066K@Nondisp intartic fx unsp calcaneus, subs for fx w nonunion
S92.066P@Nondisp intartic fx unsp calcaneus, subs for fx w malunion
S92.066S@Nondisplaced intartic fracture of unsp calcaneus, sequela
S92.101A@Unsp fracture of right talus, init for clos fx
S92.101B@Unsp fracture of right talus, init encntr for open fracture
S92.101D@Unsp fracture of right talus, subs for fx w routn heal
S92.101G@Unsp fracture of right talus, subs for fx w delay heal
S92.101K@Unsp fracture of right talus, subs for fx w nonunion
S92.101P@Unsp fracture of right talus, subs for fx w malunion
S92.101S@Unspecified fracture of right talus, sequela
S92.102A@Unsp fracture of left talus, init encntr for closed fracture
S92.102B@Unsp fracture of left talus, init encntr for open fracture
S92.102D@Unsp fracture of left talus, subs for fx w routn heal
S92.102G@Unsp fracture of left talus, subs for fx w delay heal
S92.102K@Unsp fracture of left talus, subs for fx w nonunion
S92.102P@Unsp fracture of left talus, subs for fx w malunion
S92.102S@Unspecified fracture of left talus, sequela
S92.109A@Unsp fracture of unsp talus, init encntr for closed fracture
S92.109B@Unsp fracture of unsp talus, init encntr for open fracture
S92.109D@Unsp fracture of unsp talus, subs for fx w routn heal
S92.109G@Unsp fracture of unsp talus, subs for fx w delay heal
S92.109K@Unsp fracture of unsp talus, subs for fx w nonunion
S92.109P@Unsp fracture of unsp talus, subs for fx w malunion
S92.109S@Unspecified fracture of unspecified talus, sequela
S92.111A@Disp fx of neck of right talus, init for clos fx
S92.111B@Disp fx of neck of right talus, init for opn fx
S92.111D@Disp fx of neck of right talus, subs for fx w routn heal
S92.111G@Disp fx of neck of right talus, subs for fx w delay heal
S92.111K@Disp fx of neck of right talus, subs for fx w nonunion
S92.111P@Disp fx of neck of right talus, subs for fx w malunion
S92.111S@Displaced fracture of neck of right talus, sequela
S92.112A@Disp fx of neck of left talus, init for clos fx
S92.112B@Disp fx of neck of left talus, init encntr for open fracture
S92.112D@Disp fx of neck of left talus, subs for fx w routn heal
S92.112G@Disp fx of neck of left talus, subs for fx w delay heal
S92.112K@Disp fx of neck of left talus, subs for fx w nonunion
S92.112P@Disp fx of neck of left talus, subs for fx w malunion
S92.112S@Displaced fracture of neck of left talus, sequela
S92.113A@Disp fx of neck of unsp talus, init for clos fx
S92.113B@Disp fx of neck of unsp talus, init encntr for open fracture
S92.113D@Disp fx of neck of unsp talus, subs for fx w routn heal
S92.113G@Disp fx of neck of unsp talus, subs for fx w delay heal
S92.113K@Disp fx of neck of unsp talus, subs for fx w nonunion
S92.113P@Disp fx of neck of unsp talus, subs for fx w malunion
S92.113S@Displaced fracture of neck of unspecified talus, sequela
S92.114A@Nondisp fx of neck of right talus, init for clos fx
S92.114B@Nondisp fx of neck of right talus, init for opn fx
S92.114D@Nondisp fx of neck of right talus, subs for fx w routn heal
S92.114G@Nondisp fx of neck of right talus, subs for fx w delay heal
S92.114K@Nondisp fx of neck of right talus, subs for fx w nonunion
S92.114P@Nondisp fx of neck of right talus, subs for fx w malunion
S92.114S@Nondisplaced fracture of neck of right talus, sequela
S92.115A@Nondisp fx of neck of left talus, init for clos fx
S92.115B@Nondisp fx of neck of left talus, init for opn fx
S92.115D@Nondisp fx of neck of left talus, subs for fx w routn heal
S92.115G@Nondisp fx of neck of left talus, subs for fx w delay heal
S92.115K@Nondisp fx of neck of left talus, subs for fx w nonunion
S92.115P@Nondisp fx of neck of left talus, subs for fx w malunion
S92.115S@Nondisplaced fracture of neck of left talus, sequela
S92.116A@Nondisp fx of neck of unsp talus, init for clos fx
S92.116B@Nondisp fx of neck of unsp talus, init for opn fx
S92.116D@Nondisp fx of neck of unsp talus, subs for fx w routn heal
S92.116G@Nondisp fx of neck of unsp talus, subs for fx w delay heal
S92.116K@Nondisp fx of neck of unsp talus, subs for fx w nonunion
S92.116P@Nondisp fx of neck of unsp talus, subs for fx w malunion
S92.116S@Nondisplaced fracture of neck of unspecified talus, sequela
S92.121A@Disp fx of body of right talus, init for clos fx
S92.121B@Disp fx of body of right talus, init for opn fx
S92.121D@Disp fx of body of right talus, subs for fx w routn heal
S92.121G@Disp fx of body of right talus, subs for fx w delay heal
S92.121K@Disp fx of body of right talus, subs for fx w nonunion
S92.121P@Disp fx of body of right talus, subs for fx w malunion
S92.121S@Displaced fracture of body of right talus, sequela
S92.122A@Disp fx of body of left talus, init for clos fx
S92.122B@Disp fx of body of left talus, init encntr for open fracture
S92.122D@Disp fx of body of left talus, subs for fx w routn heal
S92.122G@Disp fx of body of left talus, subs for fx w delay heal
S92.122K@Disp fx of body of left talus, subs for fx w nonunion
S92.122P@Disp fx of body of left talus, subs for fx w malunion
S92.122S@Displaced fracture of body of left talus, sequela
S92.123A@Disp fx of body of unsp talus, init for clos fx
S92.123B@Disp fx of body of unsp talus, init encntr for open fracture
S92.123D@Disp fx of body of unsp talus, subs for fx w routn heal
S92.123G@Disp fx of body of unsp talus, subs for fx w delay heal
S92.123K@Disp fx of body of unsp talus, subs for fx w nonunion
S92.123P@Disp fx of body of unsp talus, subs for fx w malunion
S92.123S@Displaced fracture of body of unspecified talus, sequela
S92.124A@Nondisp fx of body of right talus, init for clos fx
S92.124B@Nondisp fx of body of right talus, init for opn fx
S92.124D@Nondisp fx of body of right talus, subs for fx w routn heal
S92.124G@Nondisp fx of body of right talus, subs for fx w delay heal
S92.124K@Nondisp fx of body of right talus, subs for fx w nonunion
S92.124P@Nondisp fx of body of right talus, subs for fx w malunion
S92.124S@Nondisplaced fracture of body of right talus, sequela
S92.125A@Nondisp fx of body of left talus, init for clos fx
S92.125B@Nondisp fx of body of left talus, init for opn fx
S92.125D@Nondisp fx of body of left talus, subs for fx w routn heal
S92.125G@Nondisp fx of body of left talus, subs for fx w delay heal
S92.125K@Nondisp fx of body of left talus, subs for fx w nonunion
S92.125P@Nondisp fx of body of left talus, subs for fx w malunion
S92.125S@Nondisplaced fracture of body of left talus, sequela
S92.126A@Nondisp fx of body of unsp talus, init for clos fx
S92.126B@Nondisp fx of body of unsp talus, init for opn fx
S92.126D@Nondisp fx of body of unsp talus, subs for fx w routn heal
S92.126G@Nondisp fx of body of unsp talus, subs for fx w delay heal
S92.126K@Nondisp fx of body of unsp talus, subs for fx w nonunion
S92.126P@Nondisp fx of body of unsp talus, subs for fx w malunion
S92.126S@Nondisplaced fracture of body of unspecified talus, sequela
S92.131A@Disp fx of posterior process of right talus, init
S92.131B@Disp fx of posterior process of right talus, init for opn fx
S92.131D@Disp fx of post pro of right talus, subs for fx w routn heal
S92.131G@Disp fx of post pro of right talus, subs for fx w delay heal
S92.131K@Disp fx of post pro of right talus, subs for fx w nonunion
S92.131P@Disp fx of post pro of right talus, subs for fx w malunion
S92.131S@Disp fx of posterior process of right talus, sequela
S92.132A@Disp fx of posterior process of left talus, init for clos fx
S92.132B@Disp fx of posterior process of left talus, init for opn fx
S92.132D@Disp fx of post pro of left talus, subs for fx w routn heal
S92.132G@Disp fx of post pro of left talus, subs for fx w delay heal
S92.132K@Disp fx of post pro of left talus, subs for fx w nonunion
S92.132P@Disp fx of post pro of left talus, subs for fx w malunion
S92.132S@Disp fx of posterior process of left talus, sequela
S92.133A@Disp fx of posterior process of unsp talus, init for clos fx
S92.133B@Disp fx of posterior process of unsp talus, init for opn fx
S92.133D@Disp fx of post pro of unsp talus, subs for fx w routn heal
S92.133G@Disp fx of post pro of unsp talus, subs for fx w delay heal
S92.133K@Disp fx of post pro of unsp talus, subs for fx w nonunion
S92.133P@Disp fx of post pro of unsp talus, subs for fx w malunion
S92.133S@Disp fx of posterior process of unspecified talus, sequela
S92.134A@Nondisp fx of posterior process of right talus, init
S92.134B@Nondisp fx of post process of right talus, init for opn fx
S92.134D@Nondisp fx of post pro of r talus, subs for fx w routn heal
S92.134G@Nondisp fx of post pro of r talus, subs for fx w delay heal
S92.134K@Nondisp fx of post pro of r talus, subs for fx w nonunion
S92.134P@Nondisp fx of post pro of r talus, subs for fx w malunion
S92.134S@Nondisp fx of posterior process of right talus, sequela
S92.135A@Nondisp fx of posterior process of left talus, init
S92.135B@Nondisp fx of post process of left talus, init for opn fx
S92.135D@Nondisp fx of post pro of l talus, subs for fx w routn heal
S92.135G@Nondisp fx of post pro of l talus, subs for fx w delay heal
S92.135K@Nondisp fx of post pro of left talus, subs for fx w nonunion
S92.135P@Nondisp fx of post pro of left talus, subs for fx w malunion
S92.135S@Nondisp fx of posterior process of left talus, sequela
S92.136A@Nondisp fx of posterior process of unsp talus, init
S92.136B@Nondisp fx of post process of unsp talus, init for opn fx
S92.136D@Nondisp fx of post pro of unsp talus, 7thD
S92.136G@Nondisp fx of post pro of unsp talus, 7thG
S92.136K@Nondisp fx of post pro of unsp talus, subs for fx w nonunion
S92.136P@Nondisp fx of post pro of unsp talus, subs for fx w malunion
S92.136S@Nondisp fx of posterior process of unsp talus, sequela
S92.141A@Displaced dome fracture of right talus, init for clos fx
S92.141B@Displaced dome fracture of right talus, init for opn fx
S92.141D@Displaced dome fx right talus, subs for fx w routn heal
S92.141G@Displaced dome fx right talus, subs for fx w delay heal
S92.141K@Displaced dome fx right talus, subs for fx w nonunion
S92.141P@Displaced dome fx right talus, subs for fx w malunion
S92.141S@Displaced dome fracture of right talus, sequela
S92.142A@Displaced dome fracture of left talus, init for clos fx
S92.142B@Displaced dome fracture of left talus, init for opn fx
S92.142D@Displaced dome fx left talus, subs for fx w routn heal
S92.142G@Displaced dome fx left talus, subs for fx w delay heal
S92.142K@Displaced dome fx left talus, subs for fx w nonunion
S92.142P@Displaced dome fx left talus, subs for fx w malunion
S92.142S@Displaced dome fracture of left talus, sequela
S92.143A@Displaced dome fracture of unsp talus, init for clos fx
S92.143B@Displaced dome fracture of unsp talus, init for opn fx
S92.143D@Displaced dome fx unsp talus, subs for fx w routn heal
S92.143G@Displaced dome fx unsp talus, subs for fx w delay heal
S92.143K@Displaced dome fx unsp talus, subs for fx w nonunion
S92.143P@Displaced dome fx unsp talus, subs for fx w malunion
S92.143S@Displaced dome fracture of unspecified talus, sequela
S92.144A@Nondisplaced dome fracture of right talus, init for clos fx
S92.144B@Nondisplaced dome fracture of right talus, init for opn fx
S92.144D@Nondisp dome fx right talus, subs for fx w routn heal
S92.144G@Nondisp dome fx right talus, subs for fx w delay heal
S92.144K@Nondisp dome fracture of right talus, subs for fx w nonunion
S92.144P@Nondisp dome fracture of right talus, subs for fx w malunion
S92.144S@Nondisplaced dome fracture of right talus, sequela
S92.145A@Nondisplaced dome fracture of left talus, init for clos fx
S92.145B@Nondisplaced dome fracture of left talus, init for opn fx
S92.145D@Nondisp dome fx left talus, subs for fx w routn heal
S92.145G@Nondisp dome fx left talus, subs for fx w delay heal
S92.145K@Nondisp dome fracture of left talus, subs for fx w nonunion
S92.145P@Nondisp dome fracture of left talus, subs for fx w malunion
S92.145S@Nondisplaced dome fracture of left talus, sequela
S92.146A@Nondisplaced dome fracture of unsp talus, init for clos fx
S92.146B@Nondisplaced dome fracture of unsp talus, init for opn fx
S92.146D@Nondisp dome fx unsp talus, subs for fx w routn heal
S92.146G@Nondisp dome fx unsp talus, subs for fx w delay heal
S92.146K@Nondisp dome fracture of unsp talus, subs for fx w nonunion
S92.146P@Nondisp dome fracture of unsp talus, subs for fx w malunion
S92.146S@Nondisplaced dome fracture of unspecified talus, sequela
S92.151A@Displ avulsion fracture (chip fracture) of right talus, init
S92.151B@Displ avuls fx (chip fracture) of r talus, init for opn fx
S92.151D@Displ avuls fx (chip fracture) of r talus, 7thD
S92.151G@Displ avuls fx (chip fracture) of r talus, 7thG
S92.151K@Displ avuls fx (chip fracture) of r talus, 7thK
S92.151P@Displ avuls fx (chip fracture) of r talus, 7thP
S92.151S@Displ avuls fracture (chip fracture) of right talus, sequela
S92.152A@Displ avulsion fracture (chip fracture) of left talus, init
S92.152B@Displ avuls fx (chip fracture) of l talus, init for opn fx
S92.152D@Displ avuls fx (chip fracture) of l talus, 7thD
S92.152G@Displ avuls fx (chip fracture) of l talus, 7thG
S92.152K@Displ avuls fx (chip fracture) of l talus, 7thK
S92.152P@Displ avuls fx (chip fracture) of l talus, 7thP
S92.152S@Displ avuls fracture (chip fracture) of left talus, sequela
S92.153A@Displ avulsion fracture (chip fracture) of unsp talus, init
S92.153B@Displ avuls fx (chip fracture) of unsp talus, 7thB
S92.153D@Displ avuls fx (chip fracture) of unsp talus, 7thD
S92.153G@Displ avuls fx (chip fracture) of unsp talus, 7thG
S92.153K@Displ avuls fx (chip fracture) of unsp talus, 7thK
S92.153P@Displ avuls fx (chip fracture) of unsp talus, 7thP
S92.153S@Displ avuls fracture (chip fracture) of unsp talus, sequela
S92.154A@Nondisp avuls fracture (chip fracture) of right talus, init
S92.154B@Nondisp avuls fx (chip fracture) of r talus, init for opn fx
S92.154D@Nondisp avuls fx (chip fracture) of r talus, 7thD
S92.154G@Nondisp avuls fx (chip fracture) of r talus, 7thG
S92.154K@Nondisp avuls fx (chip fracture) of r talus, 7thK
S92.154P@Nondisp avuls fx (chip fracture) of r talus, 7thP
S92.154S@Nondisp avuls fx (chip fracture) of right talus, sequela
S92.155A@Nondisp avuls fracture (chip fracture) of left talus, init
S92.155B@Nondisp avuls fx (chip fracture) of l talus, init for opn fx
S92.155D@Nondisp avuls fx (chip fracture) of l talus, 7thD
S92.155G@Nondisp avuls fx (chip fracture) of l talus, 7thG
S92.155K@Nondisp avuls fx (chip fracture) of l talus, 7thK
S92.155P@Nondisp avuls fx (chip fracture) of l talus, 7thP
S92.155S@Nondisp avuls fx (chip fracture) of left talus, sequela
