S00.00XA@Unspecified superficial injury of scalp, initial encounter
S01.551S@Open bite of lip, sequela
S01.552A@Open bite of oral cavity, initial encounter
S01.552D@Open bite of oral cavity, subsequent encounter
S01.552S@Open bite of oral cavity, sequela
S01.80XA@Unspecified open wound of other part of head, init encntr
S01.80XD@Unspecified open wound of other part of head, subs encntr
S01.80XS@Unspecified open wound of other part of head, sequela
S01.81XA@Laceration w/o foreign body of oth part of head, init encntr
S01.81XD@Laceration w/o foreign body of oth part of head, subs encntr
S01.81XS@Laceration w/o foreign body of other part of head, sequela
S01.82XA@Laceration w foreign body of oth part of head, init encntr
S01.82XD@Laceration w foreign body of oth part of head, subs encntr
S01.82XS@Laceration with foreign body of other part of head, sequela
S01.83XA@Puncture wound w/o foreign body oth prt head, init encntr
S01.83XD@Puncture wound w/o foreign body oth prt head, subs encntr
S01.83XS@Puncture wound w/o foreign body of oth part of head, sequela
S01.84XA@Puncture wound w foreign body oth prt head, init encntr
S01.84XD@Puncture wound w foreign body oth prt head, subs encntr
S01.84XS@Puncture wound w foreign body of oth part of head, sequela
S01.85XA@Open bite of other part of head, initial encounter
S01.85XD@Open bite of other part of head, subsequent encounter
S01.85XS@Open bite of other part of head, sequela
S01.90XA@Unsp open wound of unspecified part of head, init encntr
S01.90XD@Unsp open wound of unspecified part of head, subs encntr
S01.90XS@Unspecified open wound of unspecified part of head, sequela
S01.91XA@Laceration w/o foreign body of unsp part of head, init
S01.91XD@Laceration w/o foreign body of unsp part of head, subs
S01.91XS@Laceration w/o foreign body of unsp part of head, sequela
S01.92XA@Laceration w foreign body of unsp part of head, init encntr
S01.92XD@Laceration w foreign body of unsp part of head, subs encntr
S01.92XS@Laceration with foreign body of unsp part of head, sequela
S01.93XA@Puncture wound w/o foreign body of unsp part of head, init
S01.93XD@Puncture wound w/o foreign body of unsp part of head, subs
S01.93XS@Pnctr w/o foreign body of unsp part of head, sequela
S01.94XA@Puncture wound w foreign body of unsp part of head, init
S01.94XD@Puncture wound w foreign body of unsp part of head, subs
S01.94XS@Puncture wound w foreign body of unsp part of head, sequela
S01.95XA@Open bite of unspecified part of head, initial encounter
S01.95XD@Open bite of unspecified part of head, subsequent encounter
S01.95XS@Open bite of unspecified part of head, sequela
S02.0XXA@Fracture of vault of skull, init encntr for closed fracture
S02.0XXB@Fracture of vault of skull, init encntr for open fracture
S02.0XXD@Fracture of vault of skull, subs for fx w routn heal
S02.0XXG@Fracture of vault of skull, subs for fx w delay heal
S02.0XXK@Fracture of vault of skull, subs for fx w nonunion
S02.0XXS@Fracture of vault of skull, sequela
S02.10XA@Unsp fracture of base of skull, init for clos fx
S02.10XB@Unsp fracture of base of skull, init for opn fx
S02.10XD@Unsp fracture of base of skull, subs for fx w routn heal
S02.10XG@Unsp fracture of base of skull, subs for fx w delay heal
S02.10XK@Unsp fracture of base of skull, subs for fx w nonunion
S02.10XS@Unspecified fracture of base of skull, sequela
S02.110A@Type I occipital condyle fracture, init for clos fx
S02.110B@Type I occipital condyle fracture, init for opn fx
S02.110D@Type I occipital condyle fracture, subs for fx w routn heal
S02.110G@Type I occipital condyle fracture, subs for fx w delay heal
S02.110K@Type I occipital condyle fracture, subs for fx w nonunion
S02.110S@Type I occipital condyle fracture, sequela
S02.111A@Type II occipital condyle fracture, init for clos fx
S02.111B@Type II occipital condyle fracture, init for opn fx
S02.111D@Type II occipital condyle fracture, subs for fx w routn heal
S02.111G@Type II occipital condyle fracture, subs for fx w delay heal
S02.111K@Type II occipital condyle fracture, subs for fx w nonunion
S02.111S@Type II occipital condyle fracture, sequela
S02.112A@Type III occipital condyle fracture, init for clos fx
S02.112B@Type III occipital condyle fracture, init for opn fx
S02.112D@Type III occipital condyle fx, subs for fx w routn heal
S02.112G@Type III occipital condyle fx, subs for fx w delay heal
S02.112K@Type III occipital condyle fracture, subs for fx w nonunion
S02.112S@Type III occipital condyle fracture, sequela
S02.113A@Unsp occipital condyle fracture, init for clos fx
S02.113B@Unsp occipital condyle fracture, init for opn fx
S02.113D@Unsp occipital condyle fracture, subs for fx w routn heal
S02.113G@Unsp occipital condyle fracture, subs for fx w delay heal
S02.113K@Unsp occipital condyle fracture, subs for fx w nonunion
S02.113S@Unspecified occipital condyle fracture, sequela
S02.118A@Other fracture of occiput, init encntr for closed fracture
S02.118B@Other fracture of occiput, init encntr for open fracture
S02.118D@Oth fracture of occiput, subs for fx w routn heal
S02.118G@Oth fracture of occiput, subs for fx w delay heal
S02.118K@Oth fracture of occiput, subs encntr for fracture w nonunion
S02.118S@Other fracture of occiput, sequela
S02.119A@Unsp fracture of occiput, init encntr for closed fracture
S02.119B@Unsp fracture of occiput, init encntr for open fracture
S02.119D@Unsp fracture of occiput, subs for fx w routn heal
S02.119G@Unsp fracture of occiput, subs for fx w delay heal
S02.119K@Unsp fracture of occiput, subs for fx w nonunion
S02.119S@Unspecified fracture of occiput, sequela
S02.19XA@Oth fracture of base of skull, init for clos fx
S02.19XB@Oth fracture of base of skull, init encntr for open fracture
S02.19XD@Oth fracture of base of skull, subs for fx w routn heal
S02.19XG@Oth fracture of base of skull, subs for fx w delay heal
S02.19XK@Oth fracture of base of skull, subs for fx w nonunion
S02.19XS@Other fracture of base of skull, sequela
S02.2XXA@Fracture of nasal bones, init encntr for closed fracture
S02.2XXB@Fracture of nasal bones, initial encounter for open fracture
S02.2XXD@Fracture of nasal bones, subs for fx w routn heal
S02.2XXG@Fracture of nasal bones, subs for fx w delay heal
S02.2XXK@Fracture of nasal bones, subs encntr for fracture w nonunion
S02.2XXS@Fracture of nasal bones, sequela
S02.3XXA@Fracture of orbital floor, init encntr for closed fracture
S02.3XXB@Fracture of orbital floor, init encntr for open fracture
S02.3XXD@Fracture of orbital floor, subs for fx w routn heal
S02.3XXG@Fracture of orbital floor, subs for fx w delay heal
S02.3XXK@Fracture of orbital floor, subs for fx w nonunion
S02.3XXS@Fracture of orbital floor, sequela
S02.400A@Malar fracture unspecified, init encntr for closed fracture
S02.400B@Malar fracture unspecified, init encntr for open fracture
S02.400D@Malar fracture unsp, subs for fx w routn heal
S02.400G@Malar fracture unsp, subs for fx w delay heal
S02.400K@Malar fracture unsp, subs encntr for fracture with nonunion
S02.400S@Malar fracture unspecified, sequela
S02.401A@Maxillary fracture, unsp, init encntr for closed fracture
S02.401B@Maxillary fracture, unsp, init encntr for open fracture
S02.401D@Maxillary fracture, unsp, subs for fx w routn heal
S02.401G@Maxillary fracture, unsp, subs for fx w delay heal
S02.401K@Maxillary fracture, unsp, subs for fx w nonunion
S02.401S@Maxillary fracture, unspecified, sequela
S02.402A@Zygomatic fracture, unsp, init encntr for closed fracture
S02.402B@Zygomatic fracture, unsp, init encntr for open fracture
S02.402D@Zygomatic fracture, unsp, subs for fx w routn heal
S02.402G@Zygomatic fracture, unsp, subs for fx w delay heal
S02.402K@Zygomatic fracture, unsp, subs for fx w nonunion
S02.402S@Zygomatic fracture, unspecified, sequela
S02.411A@LeFort I fracture, initial encounter for closed fracture
S02.411B@LeFort I fracture, initial encounter for open fracture
S02.411D@LeFort I fracture, subs for fx w routn heal
S02.411G@LeFort I fracture, subs for fx w delay heal
S02.411K@LeFort I fracture, subs encntr for fracture with nonunion
S02.411S@LeFort I fracture, sequela
S02.412A@LeFort II fracture, initial encounter for closed fracture
S02.412B@LeFort II fracture, initial encounter for open fracture
S02.412D@LeFort II fracture, subs for fx w routn heal
S02.412G@LeFort II fracture, subs for fx w delay heal
S02.412K@LeFort II fracture, subs encntr for fracture with nonunion
S02.412S@LeFort II fracture, sequela
S02.413A@LeFort III fracture, initial encounter for closed fracture
S02.413B@LeFort III fracture, initial encounter for open fracture
S02.413D@LeFort III fracture, subs for fx w routn heal
S02.413G@LeFort III fracture, subs for fx w delay heal
S02.413K@LeFort III fracture, subs encntr for fracture with nonunion
S02.413S@LeFort III fracture, sequela
S02.42XA@Fracture of alveolus of maxilla, init for clos fx
S02.42XB@Fracture of alveolus of maxilla, init for opn fx
S02.42XD@Fracture of alveolus of maxilla, subs for fx w routn heal
S02.42XG@Fracture of alveolus of maxilla, subs for fx w delay heal
S02.42XK@Fracture of alveolus of maxilla, subs for fx w nonunion
S02.42XS@Fracture of alveolus of maxilla, sequela
S02.5XXA@Fracture of tooth (traumatic), init for clos fx
S02.5XXB@Fracture of tooth (traumatic), init encntr for open fracture
S02.5XXD@Fracture of tooth (traumatic), subs for fx w routn heal
S02.5XXG@Fracture of tooth (traumatic), subs for fx w delay heal
S02.5XXK@Fracture of tooth (traumatic), subs for fx w nonunion
S02.5XXS@Fracture of tooth (traumatic), sequela
S02.600A@Fracture of unsp part of body of mandible, init for clos fx
S02.600B@Fracture of unsp part of body of mandible, init for opn fx
S02.600D@Fx unsp part of body of mandible, subs for fx w routn heal
S02.600G@Fx unsp part of body of mandible, subs for fx w delay heal
S02.600K@Fx unsp part of body of mandible, subs for fx w nonunion
S02.600S@Fracture of unspecified part of body of mandible, sequela
S02.609A@Fracture of mandible, unsp, init encntr for closed fracture
S02.609B@Fracture of mandible, unsp, init encntr for open fracture
S02.609D@Fracture of mandible, unsp, subs for fx w routn heal
S02.609G@Fracture of mandible, unsp, subs for fx w delay heal
S02.609K@Fracture of mandible, unsp, subs for fx w nonunion
S02.609S@Fracture of mandible, unspecified, sequela
S02.61XA@Fracture of condylar process of mandible, init for clos fx
S02.61XB@Fracture of condylar process of mandible, init for opn fx
S02.61XD@Fx condylar process of mandible, subs for fx w routn heal
S02.61XG@Fx condylar process of mandible, subs for fx w delay heal
S02.61XK@Fx condylar process of mandible, subs for fx w nonunion
S02.61XS@Fracture of condylar process of mandible, sequela
S02.62XA@Fracture of subcondylar process of mandible, init
S02.62XB@Fracture of subcondylar process of mandible, init for opn fx
S02.62XD@Fx subcondylar process of mandible, subs for fx w routn heal
S02.62XG@Fx subcondylar process of mandible, subs for fx w delay heal
S02.62XK@Fx subcondylar process of mandible, subs for fx w nonunion
S02.62XS@Fracture of subcondylar process of mandible, sequela
S02.63XA@Fracture of coronoid process of mandible, init for clos fx
S02.63XB@Fracture of coronoid process of mandible, init for opn fx
S02.63XD@Fx coronoid process of mandible, subs for fx w routn heal
S02.63XG@Fx coronoid process of mandible, subs for fx w delay heal
S02.63XK@Fx coronoid process of mandible, subs for fx w nonunion
S02.63XS@Fracture of coronoid process of mandible, sequela
S02.64XA@Fracture of ramus of mandible, init for clos fx
S02.64XB@Fracture of ramus of mandible, init encntr for open fracture
S02.64XD@Fracture of ramus of mandible, subs for fx w routn heal
S02.64XG@Fracture of ramus of mandible, subs for fx w delay heal
S02.64XK@Fracture of ramus of mandible, subs for fx w nonunion
S02.64XS@Fracture of ramus of mandible, sequela
S02.65XA@Fracture of angle of mandible, init for clos fx
S02.65XB@Fracture of angle of mandible, init encntr for open fracture
S02.65XD@Fracture of angle of mandible, subs for fx w routn heal
S02.65XG@Fracture of angle of mandible, subs for fx w delay heal
S02.65XK@Fracture of angle of mandible, subs for fx w nonunion
S02.65XS@Fracture of angle of mandible, sequela
S02.66XA@Fracture of symphysis of mandible, init for clos fx
S02.66XB@Fracture of symphysis of mandible, init for opn fx
S02.66XD@Fracture of symphysis of mandible, subs for fx w routn heal
S02.66XG@Fracture of symphysis of mandible, subs for fx w delay heal
S02.66XK@Fracture of symphysis of mandible, subs for fx w nonunion
S02.66XS@Fracture of symphysis of mandible, sequela
S02.67XA@Fracture of alveolus of mandible, init for clos fx
S02.67XB@Fracture of alveolus of mandible, init for opn fx
S02.67XD@Fracture of alveolus of mandible, subs for fx w routn heal
S02.67XG@Fracture of alveolus of mandible, subs for fx w delay heal
S02.67XK@Fracture of alveolus of mandible, subs for fx w nonunion
S02.67XS@Fracture of alveolus of mandible, sequela
S02.69XA@Fracture of mandible of oth site, init for clos fx
S02.69XB@Fracture of mandible of oth site, init for opn fx
S02.69XD@Fracture of mandible of oth site, subs for fx w routn heal
S02.69XG@Fracture of mandible of oth site, subs for fx w delay heal
S02.69XK@Fracture of mandible of oth site, subs for fx w nonunion
S02.69XS@Fracture of mandible of other specified site, sequela
S02.8XXA@Fractures of oth skull and facial bones, init for clos fx
S02.8XXB@Fractures of oth skull and facial bones, init for opn fx
S02.8XXD@Fx of skull and facial bones, subs for fx w routn heal
S02.8XXG@Fx of skull and facial bones, subs for fx w delay heal
S02.8XXK@Fractures of skull and facial bones, subs for fx w nonunion
S02.8XXS@Fractures of other specified skull and facial bones, sequela
S02.91XA@Unsp fracture of skull, init encntr for closed fracture
S02.91XB@Unspecified fracture of skull, init encntr for open fracture
S02.91XD@Unsp fracture of skull, subs for fx w routn heal
S02.91XG@Unsp fracture of skull, subs for fx w delay heal
S02.91XK@Unsp fracture of skull, subs encntr for fracture w nonunion
S02.91XS@Unspecified fracture of skull, sequela
S02.92XA@Unsp fracture of facial bones, init for clos fx
S02.92XB@Unsp fracture of facial bones, init encntr for open fracture
S02.92XD@Unsp fracture of facial bones, subs for fx w routn heal
S02.92XG@Unsp fracture of facial bones, subs for fx w delay heal
S02.92XK@Unsp fracture of facial bones, subs for fx w nonunion
S02.92XS@Unspecified fracture of facial bones, sequela
S03.0XXA@Dislocation of jaw, initial encounter
S03.0XXD@Dislocation of jaw, subsequent encounter
S03.0XXS@Dislocation of jaw, sequela
S03.1XXA@Dislocation of septal cartilage of nose, initial encounter
S03.1XXD@Dislocation of septal cartilage of nose, subs encntr
S03.1XXS@Dislocation of septal cartilage of nose, sequela
S03.2XXA@Dislocation of tooth, initial encounter
S03.2XXD@Dislocation of tooth, subsequent encounter
S03.2XXS@Dislocation of tooth, sequela
S03.4XXA@Sprain of jaw, initial encounter
S03.4XXD@Sprain of jaw, subsequent encounter
S03.4XXS@Sprain of jaw, sequela
S03.8XXA@Sprain of joints and ligaments of oth prt head, init encntr
S03.8XXD@Sprain of joints and ligaments of oth prt head, subs encntr
S03.8XXS@Sprain of joints and ligaments of oth parts of head, sequela
S03.9XXA@Sprain of joints and ligaments of unsp parts of head, init
S03.9XXD@Sprain of joints and ligaments of unsp parts of head, subs
S03.9XXS@Sprain of joints and ligaments of unsp parts of head, sqla
S04.011A@Injury of optic nerve, right eye, initial encounter
S04.011D@Injury of optic nerve, right eye, subsequent encounter
S04.011S@Injury of optic nerve, right eye, sequela
S04.012A@Injury of optic nerve, left eye, initial encounter
S04.012D@Injury of optic nerve, left eye, subsequent encounter
S04.012S@Injury of optic nerve, left eye, sequela
S04.019A@Injury of optic nerve, unspecified eye, initial encounter
S04.019D@Injury of optic nerve, unspecified eye, subsequent encounter
S04.019S@Injury of optic nerve, unspecified eye, sequela
S04.02XA@Injury of optic chiasm, initial encounter
S04.02XD@Injury of optic chiasm, subsequent encounter
S04.02XS@Injury of optic chiasm, sequela
S04.031A@Injury of optic tract and pathways, right eye, init encntr
S04.031D@Injury of optic tract and pathways, right eye, subs encntr
S04.031S@Injury of optic tract and pathways, right eye, sequela
S04.032A@Injury of optic tract and pathways, left eye, init encntr
S04.032D@Injury of optic tract and pathways, left eye, subs encntr
S04.032S@Injury of optic tract and pathways, left eye, sequela
S04.039A@Injury of optic tract and pathways, unsp eye, init encntr
S04.039D@Injury of optic tract and pathways, unsp eye, subs encntr
S04.039S@Injury of optic tract and pathways, unspecified eye, sequela
S04.041A@Injury of visual cortex, right eye, initial encounter
S04.041D@Injury of visual cortex, right eye, subsequent encounter
S04.041S@Injury of visual cortex, right eye, sequela
S04.042A@Injury of visual cortex, left eye, initial encounter
S04.042D@Injury of visual cortex, left eye, subsequent encounter
S04.042S@Injury of visual cortex, left eye, sequela
S04.049A@Injury of visual cortex, unspecified eye, initial encounter
S04.049D@Injury of visual cortex, unspecified eye, subs encntr
S04.049S@Injury of visual cortex, unspecified eye, sequela
S04.10XA@Injury of oculomotor nerve, unspecified side, init encntr
S04.10XD@Injury of oculomotor nerve, unspecified side, subs encntr
S04.10XS@Injury of oculomotor nerve, unspecified side, sequela
S04.11XA@Injury of oculomotor nerve, right side, initial encounter
S04.11XD@Injury of oculomotor nerve, right side, subsequent encounter
S04.11XS@Injury of oculomotor nerve, right side, sequela
S04.12XA@Injury of oculomotor nerve, left side, initial encounter
S04.12XD@Injury of oculomotor nerve, left side, subsequent encounter
S04.12XS@Injury of oculomotor nerve, left side, sequela
S04.20XA@Injury of trochlear nerve, unspecified side, init encntr
S04.20XD@Injury of trochlear nerve, unspecified side, subs encntr
S04.20XS@Injury of trochlear nerve, unspecified side, sequela
S04.21XA@Injury of trochlear nerve, right side, initial encounter
S04.21XD@Injury of trochlear nerve, right side, subsequent encounter
S04.21XS@Injury of trochlear nerve, right side, sequela
S04.22XA@Injury of trochlear nerve, left side, initial encounter
S04.22XD@Injury of trochlear nerve, left side, subsequent encounter
S04.22XS@Injury of trochlear nerve, left side, sequela
S04.30XA@Injury of trigeminal nerve, unspecified side, init encntr
S04.30XD@Injury of trigeminal nerve, unspecified side, subs encntr
S04.30XS@Injury of trigeminal nerve, unspecified side, sequela
S04.31XA@Injury of trigeminal nerve, right side, initial encounter
S04.31XD@Injury of trigeminal nerve, right side, subsequent encounter
S04.31XS@Injury of trigeminal nerve, right side, sequela
S04.32XA@Injury of trigeminal nerve, left side, initial encounter
S04.32XD@Injury of trigeminal nerve, left side, subsequent encounter
S04.32XS@Injury of trigeminal nerve, left side, sequela
S04.40XA@Injury of abducent nerve, unspecified side, init encntr
S04.40XD@Injury of abducent nerve, unspecified side, subs encntr
S04.40XS@Injury of abducent nerve, unspecified side, sequela
S04.41XA@Injury of abducent nerve, right side, initial encounter
S04.41XD@Injury of abducent nerve, right side, subsequent encounter
S04.41XS@Injury of abducent nerve, right side, sequela
S04.42XA@Injury of abducent nerve, left side, initial encounter
S04.42XD@Injury of abducent nerve, left side, subsequent encounter
S04.42XS@Injury of abducent nerve, left side, sequela
S04.50XA@Injury of facial nerve, unspecified side, initial encounter
S04.50XD@Injury of facial nerve, unspecified side, subs encntr
S04.50XS@Injury of facial nerve, unspecified side, sequela
S04.51XA@Injury of facial nerve, right side, initial encounter
S04.51XD@Injury of facial nerve, right side, subsequent encounter
S04.51XS@Injury of facial nerve, right side, sequela
S04.52XA@Injury of facial nerve, left side, initial encounter
S04.52XD@Injury of facial nerve, left side, subsequent encounter
S04.52XS@Injury of facial nerve, left side, sequela
S04.60XA@Injury of acoustic nerve, unspecified side, init encntr
S04.60XD@Injury of acoustic nerve, unspecified side, subs encntr
S04.60XS@Injury of acoustic nerve, unspecified side, sequela
S04.61XA@Injury of acoustic nerve, right side, initial encounter
S04.61XD@Injury of acoustic nerve, right side, subsequent encounter
S04.61XS@Injury of acoustic nerve, right side, sequela
S04.62XA@Injury of acoustic nerve, left side, initial encounter
S04.62XD@Injury of acoustic nerve, left side, subsequent encounter
S04.62XS@Injury of acoustic nerve, left side, sequela
S04.70XA@Injury of accessory nerve, unspecified side, init encntr
S04.70XD@Injury of accessory nerve, unspecified side, subs encntr
S04.70XS@Injury of accessory nerve, unspecified side, sequela
S04.71XA@Injury of accessory nerve, right side, initial encounter
S04.71XD@Injury of accessory nerve, right side, subsequent encounter
S04.71XS@Injury of accessory nerve, right side, sequela
S04.72XA@Injury of accessory nerve, left side, initial encounter
S04.72XD@Injury of accessory nerve, left side, subsequent encounter
S04.72XS@Injury of accessory nerve, left side, sequela
S04.811A@Injury of olfactory nerve, right side, initial encounter
S04.811D@Injury of olfactory nerve, right side, subsequent encounter
S04.811S@Injury of olfactory [1st ] nerve, right side, sequela
S04.812A@Injury of olfactory nerve, left side, initial encounter
S04.812D@Injury of olfactory nerve, left side, subsequent encounter
S04.812S@Injury of olfactory [1st ] nerve, left side, sequela
S04.819A@Injury of olfactory nerve, unspecified side, init encntr
S04.819D@Injury of olfactory nerve, unspecified side, subs encntr
S04.819S@Injury of olfactory [1st ] nerve, unspecified side, sequela
S04.891A@Injury of other cranial nerves, right side, init encntr
S04.891D@Injury of other cranial nerves, right side, subs encntr
S04.891S@Injury of other cranial nerves, right side, sequela
S04.892A@Injury of other cranial nerves, left side, initial encounter
S04.892D@Injury of other cranial nerves, left side, subs encntr
S04.892S@Injury of other cranial nerves, left side, sequela
S04.899A@Injury of other cranial nerves, unsp side, init encntr
S04.899D@Injury of other cranial nerves, unsp side, subs encntr
S04.899S@Injury of other cranial nerves, unspecified side, sequela
S04.9XXA@Injury of unspecified cranial nerve, initial encounter
S04.9XXD@Injury of unspecified cranial nerve, subsequent encounter
S04.9XXS@Injury of unspecified cranial nerve, sequela
S05.00XA@Inj conjunctiva and corneal abrasion w/o fb, unsp eye, init
S05.00XD@Inj conjunctiva and corneal abrasion w/o fb, unsp eye, subs
S05.00XS@Inj conjunctiva and corneal abras w/o fb, unsp eye, sequela
S05.01XA@Inj conjunctiva and corneal abrasion w/o fb, right eye, init
S05.01XD@Inj conjunctiva and corneal abrasion w/o fb, right eye, subs
S05.01XS@Inj conjunctiva and corneal abrasion w/o fb, r eye, sequela
S05.02XA@Inj conjunctiva and corneal abrasion w/o fb, left eye, init
S05.02XD@Inj conjunctiva and corneal abrasion w/o fb, left eye, subs
S05.02XS@Inj conjunctiva and corneal abras w/o fb, left eye, sequela
S05.10XA@Contusion of eyeball and orbital tissues, unsp eye, init
S05.10XD@Contusion of eyeball and orbital tissues, unsp eye, subs
S05.10XS@Contusion of eyeball and orbital tissues, unsp eye, sequela
S05.11XA@Contusion of eyeball and orbital tissues, right eye, init
S05.11XD@Contusion of eyeball and orbital tissues, right eye, subs
S05.11XS@Contusion of eyeball and orbital tissues, right eye, sequela
S05.12XA@Contusion of eyeball and orbital tissues, left eye, init
S05.12XD@Contusion of eyeball and orbital tissues, left eye, subs
S05.12XS@Contusion of eyeball and orbital tissues, left eye, sequela
S05.20XA@Oclr lac/rupt w prolaps/loss of intraoc tiss, unsp eye, init
S05.20XD@Oclr lac/rupt w prolaps/loss of intraoc tiss, unsp eye, subs
S05.20XS@Oclr lac/rupt w prolaps/loss of intraoc tiss, unsp eye, sqla
S05.21XA@Oclr lac/rupt w prolaps/loss of intraoc tissue, r eye, init
S05.21XD@Oclr lac/rupt w prolaps/loss of intraoc tissue, r eye, subs
S05.21XS@Oclr lac/rupt w prolaps/loss of intraoc tissue, r eye, sqla
S05.22XA@Oclr lac/rupt w prolaps/loss of intraoc tissue, l eye, init
S05.22XD@Oclr lac/rupt w prolaps/loss of intraoc tissue, l eye, subs
S05.22XS@Oclr lac/rupt w prolaps/loss of intraoc tissue, l eye, sqla
S05.30XA@Oclr lac w/o prolaps/loss of intraoc tissue, unsp eye, init
S05.30XD@Oclr lac w/o prolaps/loss of intraoc tissue, unsp eye, subs
S05.30XS@Oclr lac w/o prolaps/loss of intraoc tissue, unsp eye, sqla
S05.31XA@Ocular lac w/o prolaps/loss of intraoc tissue, r eye, init
S05.31XD@Ocular lac w/o prolaps/loss of intraoc tissue, r eye, subs
S05.31XS@Ocular lac w/o prolaps/loss of intraoc tissue, r eye, sqla
S05.32XA@Ocular lac w/o prolaps/loss of intraoc tissue, l eye, init
S05.32XD@Ocular lac w/o prolaps/loss of intraoc tissue, l eye, subs
S05.32XS@Ocular lac w/o prolaps/loss of intraoc tissue, l eye, sqla
S05.40XA@Penetrating wound of orbit w or w/o fb, unsp eye, init
S05.40XD@Penetrating wound of orbit w or w/o fb, unsp eye, subs
S05.40XS@Penetrating wound of orbit w or w/o fb, unsp eye, sequela
S05.41XA@Penetrating wound of orbit w or w/o fb, right eye, init
S05.41XD@Penetrating wound of orbit w or w/o fb, right eye, subs
S05.41XS@Penetrating wound of orbit w or w/o fb, right eye, sequela
S05.42XA@Penetrating wound of orbit w or w/o fb, left eye, init
S05.42XD@Penetrating wound of orbit w or w/o fb, left eye, subs
S05.42XS@Penetrating wound of orbit w or w/o fb, left eye, sequela
S05.50XA@Penetrating wound w foreign body of unsp eyeball, init
S05.50XD@Penetrating wound w foreign body of unsp eyeball, subs
S05.50XS@Penetrating wound with foreign body of unsp eyeball, sequela
S05.51XA@Penetrating wound w foreign body of right eyeball, init
S05.51XD@Penetrating wound w foreign body of right eyeball, subs
S05.51XS@Penetrating wound w foreign body of right eyeball, sequela
S05.52XA@Penetrating wound w foreign body of left eyeball, init
S05.52XD@Penetrating wound w foreign body of left eyeball, subs
S05.52XS@Penetrating wound with foreign body of left eyeball, sequela
S05.60XA@Penetrating wound w/o foreign body of unsp eyeball, init
S05.60XD@Penetrating wound w/o foreign body of unsp eyeball, subs
S05.60XS@Penetrating wound w/o foreign body of unsp eyeball, sequela
S05.61XA@Penetrating wound w/o foreign body of right eyeball, init
S05.61XD@Penetrating wound w/o foreign body of right eyeball, subs
S05.61XS@Penetrating wound w/o foreign body of right eyeball, sequela
S05.62XA@Penetrating wound w/o foreign body of left eyeball, init
S05.62XD@Penetrating wound w/o foreign body of left eyeball, subs
S05.62XS@Penetrating wound w/o foreign body of left eyeball, sequela
S05.70XA@Avulsion of unspecified eye, initial encounter
S05.70XD@Avulsion of unspecified eye, subsequent encounter
S05.70XS@Avulsion of unspecified eye, sequela
S05.71XA@Avulsion of right eye, initial encounter
S05.71XD@Avulsion of right eye, subsequent encounter
S05.71XS@Avulsion of right eye, sequela
S05.72XA@Avulsion of left eye, initial encounter
S05.72XD@Avulsion of left eye, subsequent encounter
S05.72XS@Avulsion of left eye, sequela
S05.8X1A@Other injuries of right eye and orbit, initial encounter
S05.8X1D@Other injuries of right eye and orbit, subsequent encounter
S05.8X1S@Other injuries of right eye and orbit, sequela
S05.8X2A@Other injuries of left eye and orbit, initial encounter
S05.8X2D@Other injuries of left eye and orbit, subsequent encounter
S05.8X2S@Other injuries of left eye and orbit, sequela
S05.8X9A@Other injuries of unspecified eye and orbit, init encntr
S05.8X9D@Other injuries of unspecified eye and orbit, subs encntr
S05.8X9S@Other injuries of unspecified eye and orbit, sequela
S05.90XA@Unspecified injury of unspecified eye and orbit, init encntr
S05.90XD@Unspecified injury of unspecified eye and orbit, subs encntr
S05.90XS@Unspecified injury of unspecified eye and orbit, sequela
S05.91XA@Unspecified injury of right eye and orbit, initial encounter
S05.91XD@Unspecified injury of right eye and orbit, subs encntr
S05.91XS@Unspecified injury of right eye and orbit, sequela
S05.92XA@Unspecified injury of left eye and orbit, initial encounter
S05.92XD@Unspecified injury of left eye and orbit, subs encntr
S05.92XS@Unspecified injury of left eye and orbit, sequela
S06.0X0A@Concussion without loss of consciousness, initial encounter
S06.0X0D@Concussion without loss of consciousness, subs encntr
S06.0X0S@Concussion without loss of consciousness, sequela
S06.0X1A@Concussion w LOC of 30 minutes or less, init
S06.0X1D@Concussion w LOC of 30 minutes or less, subs
S06.0X1S@Concussion w LOC of 30 minutes or less, sequela
S06.0X2A@Concussion w loss of consciousness of 31-59 min, init
S06.0X2D@Concussion w loss of consciousness of 31-59 min, subs
S06.0X2S@Concussion w loss of consciousness of 31-59 min, sequela
S06.0X3A@Concussion w loss of consciousness of 1-5 hrs 59 min, init
S06.0X3D@Concussion w loss of consciousness of 1-5 hrs 59 min, subs
S06.0X3S@Concussion w LOC of 1-5 hrs 59 min, sequela
S06.0X4A@Concussion w LOC of 6 hours to 24 hours, init
S06.0X4D@Concussion w LOC of 6 hours to 24 hours, subs
S06.0X4S@Concussion w LOC of 6 hours to 24 hours, sequela
S06.0X5A@Concussion w LOC >24 hr w ret consc lev, init
S06.0X5D@Concussion w LOC >24 hr w ret consc lev, subs
S06.0X5S@Concussion w LOC >24 hr w ret consc lev, sequela
S06.0X6A@Concussion w LOC >24 hr w/o ret consc w surv, init
S06.0X6D@Concussion w LOC >24 hr w/o ret consc w surv, subs
S06.0X6S@Concussion w LOC >24 hr w/o ret consc w surv, sequela
S06.0X7A@Concussion w LOC w death due to brain injury bf consc, init
S06.0X7D@Concussion w LOC w death due to brain injury bf consc, subs
S06.0X7S@Concuss w LOC w death due to brain injury bf consc, sequela
