T51.0X1A@Toxic effect of ethanol, accidental (unintentional), init
T63.713A@Toxic effect of contact w venom marine plant, assault, init
T63.713D@Toxic effect of contact w venom marine plant, assault, subs
T63.713S@Toxic effect of contact w venom marine plant, asslt, sequela
T63.714A@Toxic effect of contact w venomous marine plant, undet, init
T63.714D@Toxic effect of contact w venomous marine plant, undet, subs
T63.714S@Toxic effect of contact w venom marine plant, undet, sequela
T63.791A@Toxic effect of contact w oth venomous plant, acc, init
T63.791D@Toxic effect of contact w oth venomous plant, acc, subs
T63.791S@Toxic effect of contact w oth venomous plant, acc, sequela
T63.792A@Toxic effect of contact w oth venomous plant, slf-hrm, init
T63.792D@Toxic effect of contact w oth venomous plant, slf-hrm, subs
T63.792S@Toxic effect of contact w oth venom plant, slf-hrm, sequela
T63.793A@Toxic effect of contact w oth venomous plant, assault, init
T63.793D@Toxic effect of contact w oth venomous plant, assault, subs
T63.793S@Toxic effect of contact w oth venom plant, assault, sequela
T63.794A@Toxic effect of contact w oth venomous plant, undet, init
T63.794D@Toxic effect of contact w oth venomous plant, undet, subs
T63.794S@Toxic effect of contact w oth venomous plant, undet, sequela
T63.811A@Toxic effect of contact w venomous frog, accidental, init
T63.811D@Toxic effect of contact w venomous frog, accidental, subs
T63.811S@Toxic effect of contact w venomous frog, acc, sequela
T63.812A@Toxic effect of contact w venomous frog, self-harm, init
T63.812D@Toxic effect of contact w venomous frog, self-harm, subs
T63.812S@Toxic effect of contact w venomous frog, self-harm, sequela
T63.813A@Toxic effect of contact w venomous frog, assault, init
T63.813D@Toxic effect of contact w venomous frog, assault, subs
T63.813S@Toxic effect of contact with venomous frog, assault, sequela
T63.814A@Toxic effect of contact w venomous frog, undetermined, init
T63.814D@Toxic effect of contact w venomous frog, undetermined, subs
T63.814S@Toxic effect of contact w venomous frog, undet, sequela
T63.821A@Toxic effect of contact w venomous toad, accidental, init
T63.821D@Toxic effect of contact w venomous toad, accidental, subs
T63.821S@Toxic effect of contact w venomous toad, acc, sequela
T63.822A@Toxic effect of contact w venomous toad, self-harm, init
T63.822D@Toxic effect of contact w venomous toad, self-harm, subs
T63.822S@Toxic effect of contact w venomous toad, self-harm, sequela
T63.823A@Toxic effect of contact w venomous toad, assault, init
T63.823D@Toxic effect of contact w venomous toad, assault, subs
T63.823S@Toxic effect of contact with venomous toad, assault, sequela
T63.824A@Toxic effect of contact w venomous toad, undetermined, init
T63.824D@Toxic effect of contact w venomous toad, undetermined, subs
T63.824S@Toxic effect of contact w venomous toad, undet, sequela
T63.831A@Toxic effect of contact w oth venomous amphibian, acc, init
T63.831D@Toxic effect of contact w oth venomous amphibian, acc, subs
T63.831S@Toxic effect of contact w oth venomous amphib, acc, sequela
T63.832A@Toxic effect of contact w oth venomous amphib, slf-hrm, init
T63.832D@Toxic effect of contact w oth venomous amphib, slf-hrm, subs
T63.832S@Toxic effect of contact w oth venom amphib, slf-hrm, sequela
T63.833A@Toxic effect of contact w oth venomous amphib, assault, init
T63.833D@Toxic effect of contact w oth venomous amphib, assault, subs
T63.833S@Toxic effect of contact w oth venom amphib, assault, sequela
T63.834A@Toxic effect of contact w oth venomous amphib, undet, init
T63.834D@Toxic effect of contact w oth venomous amphib, undet, subs
T63.834S@Toxic effect of contact w oth venom amphib, undet, sequela
T63.891A@Toxic effect of contact w oth venomous animals, acc, init
T63.891D@Toxic effect of contact w oth venomous animals, acc, subs
T63.891S@Toxic effect of contact w oth venom animals, acc, sequela
T63.892A@Toxic effect of contact w oth venom animals, slf-hrm, init
T63.892D@Toxic effect of contact w oth venom animals, slf-hrm, subs
T63.892S@Toxic effect of cntct w oth venom animals, slf-hrm, sequela
T63.893A@Toxic effect of contact w oth venom animals, assault, init
T63.893D@Toxic effect of contact w oth venom animals, assault, subs
T63.893S@Toxic effect of contact w oth venom animals, asslt, sequela
T63.894A@Toxic effect of contact w oth venomous animals, undet, init
T63.894D@Toxic effect of contact w oth venomous animals, undet, subs
T63.894S@Toxic effect of contact w oth venom animals, undet, sequela
T63.91XA@Toxic effect of contact w unsp venomous animal, acc, init
T63.91XD@Toxic effect of contact w unsp venomous animal, acc, subs
T63.91XS@Toxic effect of contact w unsp venom animal, acc, sequela
T63.92XA@Toxic effect of contact w unsp venom animal, slf-hrm, init
T63.92XD@Toxic effect of contact w unsp venom animal, slf-hrm, subs
T63.92XS@Toxic effect of cntct w unsp venom animal, slf-hrm, sequela
T63.93XA@Toxic effect of contact w unsp venom animal, assault, init
T63.93XD@Toxic effect of contact w unsp venom animal, assault, subs
T63.93XS@Toxic effect of contact w unsp venom animal, asslt, sequela
T63.94XA@Toxic effect of contact w unsp venomous animal, undet, init
T63.94XD@Toxic effect of contact w unsp venomous animal, undet, subs
T63.94XS@Toxic effect of contact w unsp venom animal, undet, sequela
T64.01XA@Toxic effect of aflatoxin, accidental (unintentional), init
T64.01XD@Toxic effect of aflatoxin, accidental (unintentional), subs
T64.01XS@Toxic effect of aflatoxin, accidental, sequela
T64.02XA@Toxic effect of aflatoxin, intentional self-harm, init
T64.02XD@Toxic effect of aflatoxin, intentional self-harm, subs
T64.02XS@Toxic effect of aflatoxin, intentional self-harm, sequela
T64.03XA@Toxic effect of aflatoxin, assault, initial encounter
T64.03XD@Toxic effect of aflatoxin, assault, subsequent encounter
T64.03XS@Toxic effect of aflatoxin, assault, sequela
T64.04XA@Toxic effect of aflatoxin, undetermined, initial encounter
T64.04XD@Toxic effect of aflatoxin, undetermined, subs encntr
T64.04XS@Toxic effect of aflatoxin, undetermined, sequela
T64.81XA@Toxic effect of mycotoxin food contamnt, accidental, init
T64.81XD@Toxic effect of mycotoxin food contamnt, accidental, subs
T64.81XS@Toxic effect of mycotoxin food contamnt, acc, sequela
T64.82XA@Toxic effect of mycotoxin food contaminants, self-harm, init
T64.82XD@Toxic effect of mycotoxin food contaminants, self-harm, subs
T64.82XS@Toxic effect of mycotoxin food contamnt, self-harm, sequela
T64.83XA@Toxic effect of mycotoxin food contaminants, assault, init
T64.83XD@Toxic effect of mycotoxin food contaminants, assault, subs
T64.83XS@Toxic effect of mycotoxin food contamnt, assault, sequela
T64.84XA@Toxic effect of mycotoxin food contamnt, undetermined, init
T64.84XD@Toxic effect of mycotoxin food contamnt, undetermined, subs
T64.84XS@Toxic effect of mycotoxin food contamnt, undet, sequela
T65.0X1A@Toxic effect of cyanides, accidental (unintentional), init
T65.0X1D@Toxic effect of cyanides, accidental (unintentional), subs
T65.0X1S@Toxic effect of cyanides, accidental, sequela
T65.0X2A@Toxic effect of cyanides, intentional self-harm, init encntr
T65.0X2D@Toxic effect of cyanides, intentional self-harm, subs encntr
T65.0X2S@Toxic effect of cyanides, intentional self-harm, sequela
T65.0X3A@Toxic effect of cyanides, assault, initial encounter
T65.0X3D@Toxic effect of cyanides, assault, subsequent encounter
T65.0X3S@Toxic effect of cyanides, assault, sequela
T65.0X4A@Toxic effect of cyanides, undetermined, initial encounter
T65.0X4D@Toxic effect of cyanides, undetermined, subsequent encounter
T65.0X4S@Toxic effect of cyanides, undetermined, sequela
T65.1X1A@Toxic effect of strychnine and its salts, accidental, init
T65.1X1D@Toxic effect of strychnine and its salts, accidental, subs
T65.1X1S@Toxic effect of strychnine and its salts, acc, sequela
T65.1X2A@Toxic effect of strychnine and its salts, self-harm, init
T65.1X2D@Toxic effect of strychnine and its salts, self-harm, subs
T65.1X2S@Toxic effect of strychnine and its salts, self-harm, sequela
T65.1X3A@Toxic effect of strychnine and its salts, assault, init
T65.1X3D@Toxic effect of strychnine and its salts, assault, subs
T65.1X3S@Toxic effect of strychnine and its salts, assault, sequela
T65.1X4A@Toxic effect of strychnine and its salts, undetermined, init
T65.1X4D@Toxic effect of strychnine and its salts, undetermined, subs
T65.1X4S@Toxic effect of strychnine and its salts, undet, sequela
T65.211A@Toxic effect of chewing tobacco, accidental, init
T65.211D@Toxic effect of chewing tobacco, accidental, subs
T65.211S@Toxic effect of chewing tobacco, accidental, sequela
T65.212A@Toxic effect of chewing tobacco, intentional self-harm, init
T65.212D@Toxic effect of chewing tobacco, intentional self-harm, subs
T65.212S@Toxic effect of chewing tobacco, self-harm, sequela
T65.213A@Toxic effect of chewing tobacco, assault, initial encounter
T65.213D@Toxic effect of chewing tobacco, assault, subs encntr
T65.213S@Toxic effect of chewing tobacco, assault, sequela
T65.214A@Toxic effect of chewing tobacco, undetermined, init encntr
T65.214D@Toxic effect of chewing tobacco, undetermined, subs encntr
T65.214S@Toxic effect of chewing tobacco, undetermined, sequela
T65.221A@Toxic effect of tobacco cigarettes, accidental, init
T65.221D@Toxic effect of tobacco cigarettes, accidental, subs
T65.221S@Toxic effect of tobacco cigarettes, accidental, sequela
T65.222A@Toxic effect of tobacco cigarettes, self-harm, init
T65.222D@Toxic effect of tobacco cigarettes, self-harm, subs
T65.222S@Toxic effect of tobacco cigarettes, self-harm, sequela
T65.223A@Toxic effect of tobacco cigarettes, assault, init encntr
T65.223D@Toxic effect of tobacco cigarettes, assault, subs encntr
T65.223S@Toxic effect of tobacco cigarettes, assault, sequela
T65.224A@Toxic effect of tobacco cigarettes, undetermined, init
T65.224D@Toxic effect of tobacco cigarettes, undetermined, subs
T65.224S@Toxic effect of tobacco cigarettes, undetermined, sequela
T65.291A@Toxic effect of tobacco and nicotine, accidental, init
T65.291D@Toxic effect of tobacco and nicotine, accidental, subs
T65.291S@Toxic effect of tobacco and nicotine, accidental, sequela
T65.292A@Toxic effect of tobacco and nicotine, self-harm, init
T65.292D@Toxic effect of tobacco and nicotine, self-harm, subs
T65.292S@Toxic effect of tobacco and nicotine, self-harm, sequela
T65.293A@Toxic effect of oth tobacco and nicotine, assault, init
T65.293D@Toxic effect of oth tobacco and nicotine, assault, subs
T65.293S@Toxic effect of other tobacco and nicotine, assault, sequela
T65.294A@Toxic effect of oth tobacco and nicotine, undetermined, init
T65.294D@Toxic effect of oth tobacco and nicotine, undetermined, subs
T65.294S@Toxic effect of tobacco and nicotine, undetermined, sequela
T65.3X1A@Toxic eff of nitrodrv/aminodrv of benzn/homolog, acc, init
T65.3X1D@Toxic eff of nitrodrv/aminodrv of benzn/homolog, acc, subs
T65.3X1S@Toxic eff of nitrodrv/aminodrv of benzn/homolog, acc, sqla
T65.3X2A@Tox eff of nitrodrv/aminodrv of benzn/homolog, slf-hrm, init
T65.3X2D@Tox eff of nitrodrv/aminodrv of benzn/homolog, slf-hrm, subs
T65.3X2S@Tox eff of nitrodrv/aminodrv of benzn/homolog, slf-hrm, sqla
T65.3X3A@Toxic eff of nitrodrv/aminodrv of benzn/homolog, asslt, init
T65.3X3D@Toxic eff of nitrodrv/aminodrv of benzn/homolog, asslt, subs
T65.3X3S@Toxic eff of nitrodrv/aminodrv of benzn/homolog, asslt, sqla
T65.3X4A@Toxic eff of nitrodrv/aminodrv of benzn/homolog, undet, init
T65.3X4D@Toxic eff of nitrodrv/aminodrv of benzn/homolog, undet, subs
T65.3X4S@Toxic eff of nitrodrv/aminodrv of benzn/homolog, undet, sqla
T65.4X1A@Toxic effect of carbon disulfide, accidental, init
T65.4X1D@Toxic effect of carbon disulfide, accidental, subs
T65.4X1S@Toxic effect of carbon disulfide, accidental, sequela
T65.4X2A@Toxic effect of carbon disulfide, self-harm, init
T65.4X2D@Toxic effect of carbon disulfide, self-harm, subs
T65.4X2S@Toxic effect of carbon disulfide, self-harm, sequela
T65.4X3A@Toxic effect of carbon disulfide, assault, initial encounter
T65.4X3D@Toxic effect of carbon disulfide, assault, subs encntr
T65.4X3S@Toxic effect of carbon disulfide, assault, sequela
T65.4X4A@Toxic effect of carbon disulfide, undetermined, init encntr
T65.4X4D@Toxic effect of carbon disulfide, undetermined, subs encntr
T65.4X4S@Toxic effect of carbon disulfide, undetermined, sequela
T65.5X1A@Tox eff of nitro and oth nitric acids and esters, acc, init
T65.5X1D@Tox eff of nitro and oth nitric acids and esters, acc, subs
T65.5X1S@Tox eff of nitro and oth nitric acids and esters, acc, sqla
T65.5X2A@Tox eff of nitro & oth nitric acids & esters, slf-hrm, init
T65.5X2D@Tox eff of nitro & oth nitric acids & esters, slf-hrm, subs
T65.5X2S@Tox eff of nitro & oth nitric acids & esters, slf-hrm, sqla
T65.5X3A@Tox eff of nitro & oth nitric acids and esters, asslt, init
T65.5X3D@Tox eff of nitro & oth nitric acids and esters, asslt, subs
T65.5X3S@Tox eff of nitro & oth nitric acids and esters, asslt, sqla
T65.5X4A@Tox eff of nitro & oth nitric acids and esters, undet, init
T65.5X4D@Tox eff of nitro & oth nitric acids and esters, undet, subs
T65.5X4S@Tox eff of nitro & oth nitric acids and esters, undet, sqla
T65.6X1A@Toxic effect of paints and dyes, NEC, accidental, init
T65.6X1D@Toxic effect of paints and dyes, NEC, accidental, subs
T65.6X1S@Toxic effect of paints and dyes, NEC, accidental, sequela
T65.6X2A@Toxic effect of paints and dyes, NEC, self-harm, init
T65.6X2D@Toxic effect of paints and dyes, NEC, self-harm, subs
T65.6X2S@Toxic effect of paints and dyes, NEC, self-harm, sequela
T65.6X3A@Toxic effect of paints and dyes, NEC, assault, init
T65.6X3D@Toxic effect of paints and dyes, NEC, assault, subs
T65.6X3S@Toxic effect of paints and dyes, NEC, assault, sequela
T65.6X4A@Toxic effect of paints and dyes, NEC, undetermined, init
T65.6X4D@Toxic effect of paints and dyes, NEC, undetermined, subs
T65.6X4S@Toxic effect of paints and dyes, NEC, undetermined, sequela
T65.811A@Toxic effect of latex, accidental (unintentional), init
T65.811D@Toxic effect of latex, accidental (unintentional), subs
T65.811S@Toxic effect of latex, accidental (unintentional), sequela
T65.812A@Toxic effect of latex, intentional self-harm, init encntr
T65.812D@Toxic effect of latex, intentional self-harm, subs encntr
T65.812S@Toxic effect of latex, intentional self-harm, sequela
T65.813A@Toxic effect of latex, assault, initial encounter
T65.813D@Toxic effect of latex, assault, subsequent encounter
T65.813S@Toxic effect of latex, assault, sequela
T65.814A@Toxic effect of latex, undetermined, initial encounter
T65.814D@Toxic effect of latex, undetermined, subsequent encounter
T65.814S@Toxic effect of latex, undetermined, sequela
T65.821A@Toxic effect of harmful algae and algae toxins, acc, init
T65.821D@Toxic effect of harmful algae and algae toxins, acc, subs
T65.821S@Toxic effect of harmful algae and algae toxins, acc, sqla
T65.822A@Toxic eff of harmful algae and algae toxins, slf-hrm, init
T65.822D@Toxic eff of harmful algae and algae toxins, slf-hrm, subs
T65.822S@Toxic eff of harmful algae and algae toxins, slf-hrm, sqla
T65.823A@Toxic effect of harmful algae and algae toxins, asslt, init
T65.823D@Toxic effect of harmful algae and algae toxins, asslt, subs
T65.823S@Toxic effect of harmful algae and algae toxins, asslt, sqla
T65.824A@Toxic effect of harmful algae and algae toxins, undet, init
T65.824D@Toxic effect of harmful algae and algae toxins, undet, subs
T65.824S@Toxic effect of harmful algae and algae toxins, undet, sqla
T65.831A@Toxic effect of fiberglass, accidental (unintentional), init
T65.831D@Toxic effect of fiberglass, accidental (unintentional), subs
T65.831S@Toxic effect of fiberglass, accidental, sequela
T65.832A@Toxic effect of fiberglass, intentional self-harm, init
T65.832D@Toxic effect of fiberglass, intentional self-harm, subs
T65.832S@Toxic effect of fiberglass, intentional self-harm, sequela
T65.833A@Toxic effect of fiberglass, assault, initial encounter
T65.833D@Toxic effect of fiberglass, assault, subsequent encounter
T65.833S@Toxic effect of fiberglass, assault, sequela
T65.834A@Toxic effect of fiberglass, undetermined, initial encounter
T65.834D@Toxic effect of fiberglass, undetermined, subs encntr
T65.834S@Toxic effect of fiberglass, undetermined, sequela
T65.891A@Toxic effect of substances, accidental (unintentional), init
T65.891D@Toxic effect of substances, accidental (unintentional), subs
T65.891S@Toxic effect of substances, accidental, sequela
T65.892A@Toxic effect of oth substances, intentional self-harm, init
T65.892D@Toxic effect of oth substances, intentional self-harm, subs
T65.892S@Toxic effect of substances, intentional self-harm, sequela
T65.893A@Toxic effect of oth substances, assault, init encntr
T65.893D@Toxic effect of oth substances, assault, subs encntr
T65.893S@Toxic effect of other specified substances, assault, sequela
T65.894A@Toxic effect of oth substances, undetermined, init encntr
T65.894D@Toxic effect of oth substances, undetermined, subs encntr
T65.894S@Toxic effect of oth substances, undetermined, sequela
T65.91XA@Toxic effect of unsp substance, accidental, init
T65.91XD@Toxic effect of unsp substance, accidental, subs
T65.91XS@Toxic effect of unsp substance, accidental, sequela
T65.92XA@Toxic effect of unsp substance, intentional self-harm, init
T65.92XD@Toxic effect of unsp substance, intentional self-harm, subs
T65.92XS@Toxic effect of unsp substance, self-harm, sequela
T65.93XA@Toxic effect of unspecified substance, assault, init encntr
T65.93XD@Toxic effect of unspecified substance, assault, subs encntr
T65.93XS@Toxic effect of unspecified substance, assault, sequela
T65.94XA@Toxic effect of unsp substance, undetermined, init encntr
T65.94XD@Toxic effect of unsp substance, undetermined, subs encntr
T65.94XS@Toxic effect of unspecified substance, undetermined, sequela
