S00.00XA@Unspecified superficial injury of scalp, initial encounter
S45.099S@Oth injury of axillary artery, unspecified side, sequela
S45.101A@Unsp injury of brachial artery, right side, init encntr
S45.101D@Unsp injury of brachial artery, right side, subs encntr
S45.101S@Unspecified injury of brachial artery, right side, sequela
S45.102A@Unsp injury of brachial artery, left side, init encntr
S45.102D@Unsp injury of brachial artery, left side, subs encntr
S45.102S@Unspecified injury of brachial artery, left side, sequela
S45.109A@Unsp injury of brachial artery, unsp side, init encntr
S45.109D@Unsp injury of brachial artery, unsp side, subs encntr
S45.109S@Unsp injury of brachial artery, unspecified side, sequela
S45.111A@Laceration of brachial artery, right side, initial encounter
S45.111D@Laceration of brachial artery, right side, subs encntr
S45.111S@Laceration of brachial artery, right side, sequela
S45.112A@Laceration of brachial artery, left side, initial encounter
S45.112D@Laceration of brachial artery, left side, subs encntr
S45.112S@Laceration of brachial artery, left side, sequela
S45.119A@Laceration of brachial artery, unspecified side, init encntr
S45.119D@Laceration of brachial artery, unspecified side, subs encntr
S45.119S@Laceration of brachial artery, unspecified side, sequela
S45.191A@Oth injury of brachial artery, right side, init encntr
S45.191D@Oth injury of brachial artery, right side, subs encntr
S45.191S@Oth injury of brachial artery, right side, sequela
S45.192A@Oth injury of brachial artery, left side, init encntr
S45.192D@Oth injury of brachial artery, left side, subs encntr
S45.192S@Oth injury of brachial artery, left side, sequela
S45.199A@Oth injury of brachial artery, unspecified side, init encntr
S45.199D@Oth injury of brachial artery, unspecified side, subs encntr
S45.199S@Oth injury of brachial artery, unspecified side, sequela
S45.201A@Unsp injury of axillary or brachial vein, right side, init
S45.201D@Unsp injury of axillary or brachial vein, right side, subs
S45.201S@Unsp injury of axillary or brach vein, right side, sequela
S45.202A@Unsp injury of axillary or brachial vein, left side, init
S45.202D@Unsp injury of axillary or brachial vein, left side, subs
S45.202S@Unsp injury of axillary or brachial vein, left side, sequela
S45.209A@Unsp injury of axillary or brachial vein, unsp side, init
S45.209D@Unsp injury of axillary or brachial vein, unsp side, subs
S45.209S@Unsp injury of axillary or brachial vein, unsp side, sequela
S45.211A@Laceration of axillary or brachial vein, right side, init
S45.211D@Laceration of axillary or brachial vein, right side, subs
S45.211S@Laceration of axillary or brachial vein, right side, sequela
S45.212A@Laceration of axillary or brachial vein, left side, init
S45.212D@Laceration of axillary or brachial vein, left side, subs
S45.212S@Laceration of axillary or brachial vein, left side, sequela
S45.219A@Laceration of axillary or brachial vein, unsp side, init
S45.219D@Laceration of axillary or brachial vein, unsp side, subs
S45.219S@Laceration of axillary or brachial vein, unsp side, sequela
S45.291A@Inj axillary or brachial vein, right side, init encntr
S45.291D@Inj axillary or brachial vein, right side, subs encntr
S45.291S@Oth injury of axillary or brachial vein, right side, sequela
S45.292A@Inj axillary or brachial vein, left side, init encntr
S45.292D@Inj axillary or brachial vein, left side, subs encntr
S45.292S@Oth injury of axillary or brachial vein, left side, sequela
S45.299A@Inj axillary or brachial vein, unsp side, init encntr
S45.299D@Inj axillary or brachial vein, unsp side, subs encntr
S45.299S@Oth injury of axillary or brachial vein, unsp side, sequela
S45.301A@Unsp injury of superfic vn at shldr/up arm, right arm, init
S45.301D@Unsp injury of superfic vn at shldr/up arm, right arm, subs
S45.301S@Unsp inj superfic vn at shldr/up arm, right arm, sequela
S45.302A@Unsp injury of superfic vn at shldr/up arm, left arm, init
S45.302D@Unsp injury of superfic vn at shldr/up arm, left arm, subs
S45.302S@Unsp inj superfic vn at shldr/up arm, left arm, sequela
S45.309A@Unsp injury of superfic vn at shldr/up arm, unsp arm, init
S45.309D@Unsp injury of superfic vn at shldr/up arm, unsp arm, subs
S45.309S@Unsp inj superfic vn at shldr/up arm, unsp arm, sequela
S45.311A@Laceration of superfic vn at shldr/up arm, right arm, init
S45.311D@Laceration of superfic vn at shldr/up arm, right arm, subs
S45.311S@Lacerat superfic vn at shldr/up arm, right arm, sequela
S45.312A@Laceration of superfic vn at shldr/up arm, left arm, init
S45.312D@Laceration of superfic vn at shldr/up arm, left arm, subs
S45.312S@Laceration of superfic vn at shldr/up arm, left arm, sequela
S45.319A@Laceration of superfic vn at shldr/up arm, unsp arm, init
S45.319D@Laceration of superfic vn at shldr/up arm, unsp arm, subs
S45.319S@Laceration of superfic vn at shldr/up arm, unsp arm, sequela
S45.391A@Inj superficial vein at shldr/up arm, right arm, init
S45.391D@Inj superficial vein at shldr/up arm, right arm, subs
S45.391S@Inj superficial vein at shldr/up arm, right arm, sequela
S45.392A@Inj superficial vein at shldr/up arm, left arm, init
S45.392D@Inj superficial vein at shldr/up arm, left arm, subs
S45.392S@Inj superficial vein at shldr/up arm, left arm, sequela
S45.399A@Inj superficial vein at shldr/up arm, unsp arm, init
S45.399D@Inj superficial vein at shldr/up arm, unsp arm, subs
S45.399S@Inj superficial vein at shldr/up arm, unsp arm, sequela
S45.801A@Unsp inj blood vessels at shldr/up arm, right arm, init
S45.801D@Unsp inj blood vessels at shldr/up arm, right arm, subs
S45.801S@Unsp inj blood vessels at shldr/up arm, right arm, sequela
S45.802A@Unsp injury of blood vessels at shldr/up arm, left arm, init
S45.802D@Unsp injury of blood vessels at shldr/up arm, left arm, subs
S45.802S@Unsp inj blood vessels at shldr/up arm, left arm, sequela
S45.809A@Unsp injury of blood vessels at shldr/up arm, unsp arm, init
S45.809D@Unsp injury of blood vessels at shldr/up arm, unsp arm, subs
S45.809S@Unsp inj blood vessels at shldr/up arm, unsp arm, sequela
S45.811A@Laceration of blood vessels at shldr/up arm, right arm, init
S45.811D@Laceration of blood vessels at shldr/up arm, right arm, subs
S45.811S@Lacerat blood vessels at shldr/up arm, right arm, sequela
S45.812A@Laceration of blood vessels at shldr/up arm, left arm, init
S45.812D@Laceration of blood vessels at shldr/up arm, left arm, subs
S45.812S@Lacerat blood vessels at shldr/up arm, left arm, sequela
S45.819A@Laceration of blood vessels at shldr/up arm, unsp arm, init
S45.819D@Laceration of blood vessels at shldr/up arm, unsp arm, subs
S45.819S@Lacerat blood vessels at shldr/up arm, unsp arm, sequela
S45.891A@Inj oth blood vessels at shldr/up arm, right arm, init
S45.891D@Inj oth blood vessels at shldr/up arm, right arm, subs
S45.891S@Inj oth blood vessels at shldr/up arm, right arm, sequela
S45.892A@Inj oth blood vessels at shldr/up arm, left arm, init
S45.892D@Inj oth blood vessels at shldr/up arm, left arm, subs
S45.892S@Inj oth blood vessels at shldr/up arm, left arm, sequela
S45.899A@Inj oth blood vessels at shldr/up arm, unsp arm, init
S45.899D@Inj oth blood vessels at shldr/up arm, unsp arm, subs
S45.899S@Inj oth blood vessels at shldr/up arm, unsp arm, sequela
S45.901A@Unsp inj unsp blood vess at shldr/up arm, right arm, init
S45.901D@Unsp inj unsp blood vess at shldr/up arm, right arm, subs
S45.901S@Unsp inj unsp blood vess at shldr/up arm, right arm, sequela
S45.902A@Unsp inj unsp blood vess at shldr/up arm, left arm, init
S45.902D@Unsp inj unsp blood vess at shldr/up arm, left arm, subs
S45.902S@Unsp inj unsp blood vess at shldr/up arm, left arm, sequela
S45.909A@Unsp inj unsp blood vess at shldr/up arm, unsp arm, init
S45.909D@Unsp inj unsp blood vess at shldr/up arm, unsp arm, subs
S45.909S@Unsp inj unsp blood vess at shldr/up arm, unsp arm, sequela
S45.911A@Lacerat unsp blood vessel at shldr/up arm, right arm, init
S45.911D@Lacerat unsp blood vessel at shldr/up arm, right arm, subs
S45.911S@Lacerat unsp blood vess at shldr/up arm, right arm, sequela
S45.912A@Lacerat unsp blood vessel at shldr/up arm, left arm, init
S45.912D@Lacerat unsp blood vessel at shldr/up arm, left arm, subs
S45.912S@Lacerat unsp blood vessel at shldr/up arm, left arm, sequela
S45.919A@Lacerat unsp blood vessel at shldr/up arm, unsp arm, init
S45.919D@Lacerat unsp blood vessel at shldr/up arm, unsp arm, subs
S45.919S@Lacerat unsp blood vessel at shldr/up arm, unsp arm, sequela
S45.991A@Inj unsp blood vessel at shldr/up arm, right arm, init
S45.991D@Inj unsp blood vessel at shldr/up arm, right arm, subs
S45.991S@Inj unsp blood vessel at shldr/up arm, right arm, sequela
S45.992A@Inj unsp blood vessel at shldr/up arm, left arm, init
S45.992D@Inj unsp blood vessel at shldr/up arm, left arm, subs
S45.992S@Inj unsp blood vessel at shldr/up arm, left arm, sequela
S45.999A@Inj unsp blood vessel at shldr/up arm, unsp arm, init
S45.999D@Inj unsp blood vessel at shldr/up arm, unsp arm, subs
S45.999S@Inj unsp blood vessel at shldr/up arm, unsp arm, sequela
#
S46.001A@Unsp inj musc/tend the rotator cuff of r shoulder, init
S46.001D@Unsp inj musc/tend the rotator cuff of r shoulder, subs
S46.001S@Unsp inj musc/tend the rotator cuff of r shoulder, sequela
S46.002A@Unsp inj musc/tend the rotator cuff of l shoulder, init
S46.002D@Unsp inj musc/tend the rotator cuff of l shoulder, subs
S46.002S@Unsp inj musc/tend the rotator cuff of l shoulder, sequela
S46.009A@Unsp inj musc/tend the rotator cuff of unsp shoulder, init
S46.009D@Unsp inj musc/tend the rotator cuff of unsp shoulder, subs
S46.009S@Unsp inj musc/tend the rotator cuff of unsp shldr, sequela
S46.011A@Strain of musc/tend the rotator cuff of right shoulder, init
S46.011D@Strain of musc/tend the rotator cuff of right shoulder, subs
S46.011S@Strain of musc/tend the rotator cuff of r shoulder, sequela
S46.012A@Strain of musc/tend the rotator cuff of left shoulder, init
S46.012D@Strain of musc/tend the rotator cuff of left shoulder, subs
S46.012S@Strain of musc/tend the rotator cuff of l shoulder, sequela
S46.019A@Strain of musc/tend the rotator cuff of unsp shoulder, init
S46.019D@Strain of musc/tend the rotator cuff of unsp shoulder, subs
S46.019S@Strain musc/tend the rotator cuff of unsp shoulder, sequela
S46.021A@Laceration of musc/tend the rotator cuff of r shoulder, init
S46.021D@Laceration of musc/tend the rotator cuff of r shoulder, subs
S46.021S@Lacerat musc/tend the rotator cuff of r shoulder, sequela
S46.022A@Lacerat musc/tend the rotator cuff of left shoulder, init
S46.022D@Lacerat musc/tend the rotator cuff of left shoulder, subs
S46.022S@Lacerat musc/tend the rotator cuff of left shoulder, sequela
S46.029A@Lacerat musc/tend the rotator cuff of unsp shoulder, init
S46.029D@Lacerat musc/tend the rotator cuff of unsp shoulder, subs
S46.029S@Lacerat musc/tend the rotator cuff of unsp shoulder, sequela
S46.091A@Inj musc/tend the rotator cuff of right shoulder, init
S46.091D@Inj musc/tend the rotator cuff of right shoulder, subs
S46.091S@Inj musc/tend the rotator cuff of right shoulder, sequela
S46.092A@Inj musc/tend the rotator cuff of left shoulder, init
S46.092D@Inj musc/tend the rotator cuff of left shoulder, subs
S46.092S@Inj musc/tend the rotator cuff of left shoulder, sequela
S46.099A@Inj musc/tend the rotator cuff of unsp shoulder, init
S46.099D@Inj musc/tend the rotator cuff of unsp shoulder, subs
S46.099S@Inj musc/tend the rotator cuff of unsp shoulder, sequela
S46.101A@Unsp injury of musc/fasc/tend long hd bicep, right arm, init
S46.101D@Unsp injury of musc/fasc/tend long hd bicep, right arm, subs
S46.101S@Unsp inj musc/fasc/tend long hd bicep, right arm, sequela
S46.102A@Unsp injury of musc/fasc/tend long hd bicep, left arm, init
S46.102D@Unsp injury of musc/fasc/tend long hd bicep, left arm, subs
S46.102S@Unsp inj musc/fasc/tend long hd bicep, left arm, sequela
S46.109A@Unsp injury of musc/fasc/tend long hd bicep, unsp arm, init
S46.109D@Unsp injury of musc/fasc/tend long hd bicep, unsp arm, subs
S46.109S@Unsp inj musc/fasc/tend long hd bicep, unsp arm, sequela
S46.111A@Strain of musc/fasc/tend long hd bicep, right arm, init
S46.111D@Strain of musc/fasc/tend long hd bicep, right arm, subs
S46.111S@Strain of musc/fasc/tend long hd bicep, right arm, sequela
S46.112A@Strain of musc/fasc/tend long head of biceps, left arm, init
S46.112D@Strain of musc/fasc/tend long head of biceps, left arm, subs
S46.112S@Strain of musc/fasc/tend long hd bicep, left arm, sequela
S46.119A@Strain of musc/fasc/tend long head of biceps, unsp arm, init
S46.119D@Strain of musc/fasc/tend long head of biceps, unsp arm, subs
S46.119S@Strain of musc/fasc/tend long hd bicep, unsp arm, sequela
S46.121A@Laceration of musc/fasc/tend long hd bicep, right arm, init
S46.121D@Laceration of musc/fasc/tend long hd bicep, right arm, subs
S46.121S@Lacerat musc/fasc/tend long hd bicep, right arm, sequela
S46.122A@Laceration of musc/fasc/tend long hd bicep, left arm, init
S46.122D@Laceration of musc/fasc/tend long hd bicep, left arm, subs
S46.122S@Lacerat musc/fasc/tend long hd bicep, left arm, sequela
S46.129A@Laceration of musc/fasc/tend long hd bicep, unsp arm, init
S46.129D@Laceration of musc/fasc/tend long hd bicep, unsp arm, subs
S46.129S@Lacerat musc/fasc/tend long hd bicep, unsp arm, sequela
S46.191A@Inj musc/fasc/tend long head of biceps, right arm, init
S46.191D@Inj musc/fasc/tend long head of biceps, right arm, subs
S46.191S@Inj musc/fasc/tend long head of biceps, right arm, sequela
S46.192A@Inj musc/fasc/tend long head of biceps, left arm, init
S46.192D@Inj musc/fasc/tend long head of biceps, left arm, subs
S46.192S@Inj musc/fasc/tend long head of biceps, left arm, sequela
S46.199A@Inj musc/fasc/tend long head of biceps, unsp arm, init
S46.199D@Inj musc/fasc/tend long head of biceps, unsp arm, subs
S46.199S@Inj musc/fasc/tend long head of biceps, unsp arm, sequela
S46.201A@Unsp injury of musc/fasc/tend prt biceps, right arm, init
S46.201D@Unsp injury of musc/fasc/tend prt biceps, right arm, subs
S46.201S@Unsp injury of musc/fasc/tend prt biceps, right arm, sequela
S46.202A@Unsp injury of musc/fasc/tend prt biceps, left arm, init
S46.202D@Unsp injury of musc/fasc/tend prt biceps, left arm, subs
S46.202S@Unsp injury of musc/fasc/tend prt biceps, left arm, sequela
S46.209A@Unsp injury of musc/fasc/tend prt biceps, unsp arm, init
S46.209D@Unsp injury of musc/fasc/tend prt biceps, unsp arm, subs
S46.209S@Unsp injury of musc/fasc/tend prt biceps, unsp arm, sequela
S46.211A@Strain of musc/fasc/tend prt biceps, right arm, init
S46.211D@Strain of musc/fasc/tend prt biceps, right arm, subs
S46.211S@Strain of musc/fasc/tend prt biceps, right arm, sequela
S46.212A@Strain of musc/fasc/tend prt biceps, left arm, init
S46.212D@Strain of musc/fasc/tend prt biceps, left arm, subs
S46.212S@Strain of musc/fasc/tend prt biceps, left arm, sequela
S46.219A@Strain of musc/fasc/tend prt biceps, unsp arm, init
S46.219D@Strain of musc/fasc/tend prt biceps, unsp arm, subs
S46.219S@Strain of musc/fasc/tend prt biceps, unsp arm, sequela
S46.221A@Laceration of musc/fasc/tend prt biceps, right arm, init
S46.221D@Laceration of musc/fasc/tend prt biceps, right arm, subs
S46.221S@Laceration of musc/fasc/tend prt biceps, right arm, sequela
S46.222A@Laceration of musc/fasc/tend prt biceps, left arm, init
S46.222D@Laceration of musc/fasc/tend prt biceps, left arm, subs
S46.222S@Laceration of musc/fasc/tend prt biceps, left arm, sequela
S46.229A@Laceration of musc/fasc/tend prt biceps, unsp arm, init
S46.229D@Laceration of musc/fasc/tend prt biceps, unsp arm, subs
S46.229S@Laceration of musc/fasc/tend prt biceps, unsp arm, sequela
S46.291A@Inj muscle, fascia and tendon of prt biceps, right arm, init
S46.291D@Inj muscle, fascia and tendon of prt biceps, right arm, subs
S46.291S@Inj musc/fasc/tend prt biceps, right arm, sequela
S46.292A@Inj muscle, fascia and tendon of prt biceps, left arm, init
S46.292D@Inj muscle, fascia and tendon of prt biceps, left arm, subs
S46.292S@Inj musc/fasc/tend prt biceps, left arm, sequela
S46.299A@Inj muscle, fascia and tendon of prt biceps, unsp arm, init
S46.299D@Inj muscle, fascia and tendon of prt biceps, unsp arm, subs
S46.299S@Inj musc/fasc/tend prt biceps, unsp arm, sequela
S46.301A@Unsp injury of musc/fasc/tend triceps, right arm, init
S46.301D@Unsp injury of musc/fasc/tend triceps, right arm, subs
S46.301S@Unsp injury of musc/fasc/tend triceps, right arm, sequela
S46.302A@Unsp injury of musc/fasc/tend triceps, left arm, init
S46.302D@Unsp injury of musc/fasc/tend triceps, left arm, subs
S46.302S@Unsp injury of musc/fasc/tend triceps, left arm, sequela
S46.309A@Unsp injury of musc/fasc/tend triceps, unsp arm, init
S46.309D@Unsp injury of musc/fasc/tend triceps, unsp arm, subs
S46.309S@Unsp injury of musc/fasc/tend triceps, unsp arm, sequela
S46.311A@Strain of musc/fasc/tend triceps, right arm, init
S46.311D@Strain of musc/fasc/tend triceps, right arm, subs
S46.311S@Strain of musc/fasc/tend triceps, right arm, sequela
S46.312A@Strain of musc/fasc/tend triceps, left arm, init
S46.312D@Strain of musc/fasc/tend triceps, left arm, subs
S46.312S@Strain of musc/fasc/tend triceps, left arm, sequela
S46.319A@Strain of musc/fasc/tend triceps, unsp arm, init
S46.319D@Strain of musc/fasc/tend triceps, unsp arm, subs
S46.319S@Strain of musc/fasc/tend triceps, unsp arm, sequela
S46.321A@Laceration of musc/fasc/tend triceps, right arm, init
S46.321D@Laceration of musc/fasc/tend triceps, right arm, subs
S46.321S@Laceration of musc/fasc/tend triceps, right arm, sequela
S46.322A@Laceration of musc/fasc/tend triceps, left arm, init
S46.322D@Laceration of musc/fasc/tend triceps, left arm, subs
S46.322S@Laceration of musc/fasc/tend triceps, left arm, sequela
S46.329A@Laceration of musc/fasc/tend triceps, unsp arm, init
S46.329D@Laceration of musc/fasc/tend triceps, unsp arm, subs
S46.329S@Laceration of musc/fasc/tend triceps, unsp arm, sequela
S46.391A@Inj muscle, fascia and tendon of triceps, right arm, init
S46.391D@Inj muscle, fascia and tendon of triceps, right arm, subs
S46.391S@Inj muscle, fascia and tendon of triceps, right arm, sequela
S46.392A@Inj muscle, fascia and tendon of triceps, left arm, init
S46.392D@Inj muscle, fascia and tendon of triceps, left arm, subs
S46.392S@Inj muscle, fascia and tendon of triceps, left arm, sequela
S46.399A@Inj muscle, fascia and tendon of triceps, unsp arm, init
S46.399D@Inj muscle, fascia and tendon of triceps, unsp arm, subs
S46.399S@Inj muscle, fascia and tendon of triceps, unsp arm, sequela
S46.801A@Unsp inj musc/fasc/tend at shldr/up arm, right arm, init
S46.801D@Unsp inj musc/fasc/tend at shldr/up arm, right arm, subs
S46.801S@Unsp inj musc/fasc/tend at shldr/up arm, right arm, sequela
S46.802A@Unsp inj musc/fasc/tend at shldr/up arm, left arm, init
S46.802D@Unsp inj musc/fasc/tend at shldr/up arm, left arm, subs
S46.802S@Unsp inj musc/fasc/tend at shldr/up arm, left arm, sequela
S46.809A@Unsp inj musc/fasc/tend at shldr/up arm, unsp arm, init
S46.809D@Unsp inj musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.809S@Unsp inj musc/fasc/tend at shldr/up arm, unsp arm, sequela
S46.811A@Strain of musc/fasc/tend at shldr/up arm, right arm, init
S46.811D@Strain of musc/fasc/tend at shldr/up arm, right arm, subs
S46.811S@Strain of musc/fasc/tend at shldr/up arm, right arm, sequela
S46.812A@Strain of musc/fasc/tend at shldr/up arm, left arm, init
S46.812D@Strain of musc/fasc/tend at shldr/up arm, left arm, subs
S46.812S@Strain of musc/fasc/tend at shldr/up arm, left arm, sequela
S46.819A@Strain of musc/fasc/tend at shldr/up arm, unsp arm, init
S46.819D@Strain of musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.819S@Strain of musc/fasc/tend at shldr/up arm, unsp arm, sequela
S46.821A@Lacerat musc/fasc/tend at shldr/up arm, right arm, init
S46.821D@Lacerat musc/fasc/tend at shldr/up arm, right arm, subs
S46.821S@Lacerat musc/fasc/tend at shldr/up arm, right arm, sequela
S46.822A@Laceration of musc/fasc/tend at shldr/up arm, left arm, init
S46.822D@Laceration of musc/fasc/tend at shldr/up arm, left arm, subs
S46.822S@Lacerat musc/fasc/tend at shldr/up arm, left arm, sequela
S46.829A@Laceration of musc/fasc/tend at shldr/up arm, unsp arm, init
S46.829D@Laceration of musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.829S@Lacerat musc/fasc/tend at shldr/up arm, unsp arm, sequela
S46.891A@Inj musc/fasc/tend at shldr/up arm, right arm, init
S46.891D@Inj musc/fasc/tend at shldr/up arm, right arm, subs
S46.891S@Inj musc/fasc/tend at shldr/up arm, right arm, sequela
S46.892A@Inj musc/fasc/tend at shldr/up arm, left arm, init
S46.892D@Inj musc/fasc/tend at shldr/up arm, left arm, subs
S46.892S@Inj musc/fasc/tend at shldr/up arm, left arm, sequela
S46.899A@Inj musc/fasc/tend at shldr/up arm, unsp arm, init
S46.899D@Inj musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.899S@Inj musc/fasc/tend at shldr/up arm, unsp arm, sequela
S46.901A@Unsp inj unsp musc/fasc/tend at shldr/up arm, r arm, init
S46.901D@Unsp inj unsp musc/fasc/tend at shldr/up arm, r arm, subs
S46.901S@Unsp inj unsp musc/fasc/tend at shldr/up arm, r arm, sqla
S46.902A@Unsp inj unsp musc/fasc/tend at shldr/up arm, left arm, init
S46.902D@Unsp inj unsp musc/fasc/tend at shldr/up arm, left arm, subs
S46.902S@Unsp inj unsp musc/fasc/tend at shldr/up arm, left arm, sqla
S46.909A@Unsp inj unsp musc/fasc/tend at shldr/up arm, unsp arm, init
S46.909D@Unsp inj unsp musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.909S@Unsp inj unsp musc/fasc/tend at shldr/up arm, unsp arm, sqla
S46.911A@Strain unsp musc/fasc/tend at shldr/up arm, right arm, init
S46.911D@Strain unsp musc/fasc/tend at shldr/up arm, right arm, subs
S46.911S@Strain unsp musc/fasc/tend at shldr/up arm, right arm, sqla
S46.912A@Strain unsp musc/fasc/tend at shldr/up arm, left arm, init
S46.912D@Strain unsp musc/fasc/tend at shldr/up arm, left arm, subs
S46.912S@Strain unsp musc/fasc/tend at shldr/up arm, left arm, sqla
S46.919A@Strain unsp musc/fasc/tend at shldr/up arm, unsp arm, init
S46.919D@Strain unsp musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.919S@Strain unsp musc/fasc/tend at shldr/up arm, unsp arm, sqla
S46.921A@Lacerat unsp musc/fasc/tend at shldr/up arm, right arm, init
S46.921D@Lacerat unsp musc/fasc/tend at shldr/up arm, right arm, subs
S46.921S@Lacerat unsp musc/fasc/tend at shldr/up arm, right arm, sqla
S46.922A@Lacerat unsp musc/fasc/tend at shldr/up arm, left arm, init
S46.922D@Lacerat unsp musc/fasc/tend at shldr/up arm, left arm, subs
S46.922S@Lacerat unsp musc/fasc/tend at shldr/up arm, left arm, sqla
S46.929A@Lacerat unsp musc/fasc/tend at shldr/up arm, unsp arm, init
S46.929D@Lacerat unsp musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.929S@Lacerat unsp musc/fasc/tend at shldr/up arm, unsp arm, sqla
S46.991A@Inj unsp musc/fasc/tend at shldr/up arm, right arm, init
S46.991D@Inj unsp musc/fasc/tend at shldr/up arm, right arm, subs
S46.991S@Inj unsp musc/fasc/tend at shldr/up arm, right arm, sequela
S46.992A@Inj unsp musc/fasc/tend at shldr/up arm, left arm, init
S46.992D@Inj unsp musc/fasc/tend at shldr/up arm, left arm, subs
S46.992S@Inj unsp musc/fasc/tend at shldr/up arm, left arm, sequela
S46.999A@Inj unsp musc/fasc/tend at shldr/up arm, unsp arm, init
S46.999D@Inj unsp musc/fasc/tend at shldr/up arm, unsp arm, subs
S46.999S@Inj unsp musc/fasc/tend at shldr/up arm, unsp arm, sequela
#
S47.1XXA@Crushing injury of right shoulder and upper arm, init encntr
S47.1XXD@Crushing injury of right shoulder and upper arm, subs encntr
S47.1XXS@Crushing injury of right shoulder and upper arm, sequela
S47.2XXA@Crushing injury of left shoulder and upper arm, init encntr
S47.2XXD@Crushing injury of left shoulder and upper arm, subs encntr
S47.2XXS@Crushing injury of left shoulder and upper arm, sequela
S47.9XXA@Crushing injury of shoulder and upper arm, unsp arm, init
S47.9XXD@Crushing injury of shoulder and upper arm, unsp arm, subs
S47.9XXS@Crushing injury of shoulder and upper arm, unsp arm, sequela
#
S48.011A@Complete traumatic amputation at right shoulder joint, init
S48.011D@Complete traumatic amputation at right shoulder joint, subs
S48.011S@Complete traumatic amputation at r shoulder jt, sequela
S48.012A@Complete traumatic amputation at left shoulder joint, init
S48.012D@Complete traumatic amputation at left shoulder joint, subs
S48.012S@Complete traumatic amputation at l shoulder jt, sequela
S48.019A@Complete traumatic amputation at unsp shoulder joint, init
S48.019D@Complete traumatic amputation at unsp shoulder joint, subs
S48.019S@Complete traumatic amputation at unsp shoulder jt, sequela
S48.021A@Partial traumatic amputation at right shoulder joint, init
S48.021D@Partial traumatic amputation at right shoulder joint, subs
S48.021S@Partial traumatic amputation at r shoulder jt, sequela
S48.022A@Partial traumatic amputation at left shoulder joint, init
S48.022D@Partial traumatic amputation at left shoulder joint, subs
S48.022S@Partial traumatic amputation at left shoulder joint, sequela
S48.029A@Partial traumatic amputation at unsp shoulder joint, init
S48.029D@Partial traumatic amputation at unsp shoulder joint, subs
S48.029S@Partial traumatic amputation at unsp shoulder joint, sequela
S48.111A@Complete traum amp at level betw r shoulder and elbow, init
S48.111D@Complete traum amp at level betw r shoulder and elbow, subs
S48.111S@Complete traum amp at level betw r shldr and elbow, sequela
S48.112A@Complete traum amp at level betw l shoulder and elbow, init
S48.112D@Complete traum amp at level betw l shoulder and elbow, subs
S48.112S@Complete traum amp at level betw l shldr and elbow, sequela
S48.119A@Complete traum amp at level betw unsp shldr and elbow, init
S48.119D@Complete traum amp at level betw unsp shldr and elbow, subs
S48.119S@Complete traum amp at level betw unsp shldr and elbow, sqla
S48.121A@Partial traum amp at level betw r shoulder and elbow, init
S48.121D@Partial traum amp at level betw r shoulder and elbow, subs
S48.121S@Partial traum amp at level betw r shldr and elbow, sequela
S48.122A@Partial traum amp at level betw l shoulder and elbow, init
S48.122D@Partial traum amp at level betw l shoulder and elbow, subs
S48.122S@Partial traum amp at level betw l shldr and elbow, sequela
S48.129A@Partial traum amp at level betw unsp shldr and elbow, init
S48.129D@Partial traum amp at level betw unsp shldr and elbow, subs
S48.129S@Part traum amp at level betw unsp shldr and elbow, sequela
S48.911A@Complete traum amp of right shldr/up arm, level unsp, init
S48.911D@Complete traum amp of right shldr/up arm, level unsp, subs
S48.911S@Complete traum amp of right shldr/up arm, level unsp, sqla
S48.912A@Complete traum amp of left shldr/up arm, level unsp, init
S48.912D@Complete traum amp of left shldr/up arm, level unsp, subs
S48.912S@Complete traum amp of left shldr/up arm, level unsp, sequela
S48.919A@Complete traum amp of unsp shldr/up arm, level unsp, init
S48.919D@Complete traum amp of unsp shldr/up arm, level unsp, subs
S48.919S@Complete traum amp of unsp shldr/up arm, level unsp, sequela
S48.921A@Partial traum amp of right shldr/up arm, level unsp, init
S48.921D@Partial traum amp of right shldr/up arm, level unsp, subs
S48.921S@Partial traum amp of right shldr/up arm, level unsp, sequela
S48.922A@Partial traumatic amp of left shldr/up arm, level unsp, init
S48.922D@Partial traumatic amp of left shldr/up arm, level unsp, subs
S48.922S@Partial traum amp of left shldr/up arm, level unsp, sequela
S48.929A@Partial traumatic amp of unsp shldr/up arm, level unsp, init
S48.929D@Partial traumatic amp of unsp shldr/up arm, level unsp, subs
S48.929S@Partial traum amp of unsp shldr/up arm, level unsp, sequela
#
S49.001A@Unsp physeal fx upper end of humerus, right arm, init
S49.001D@Unsp physl fx upr end humer, r arm, subs for fx w routn heal
S49.001G@Unsp physl fx upr end humer, r arm, subs for fx w delay heal
S49.001K@Unsp physl fx upper end humer, r arm, subs for fx w nonunion
S49.001P@Unsp physl fx upper end humer, r arm, subs for fx w malunion
S49.001S@Unsp physeal fx upper end of humerus, right arm, sequela
S49.002A@Unsp physeal fx upper end of humerus, left arm, init
S49.002D@Unsp physl fx upr end humer, l arm, subs for fx w routn heal
