V00.01XA@Ped on foot injured in collision w roller-skater, init
V24.5XXD@Mtrcy passenger injured in collision w hv veh in traf, subs
V24.5XXS@Mtrcy passenger injured in clsn w hv veh in traf, sequela
V24.9XXA@Unsp mtrcy rider injured in collision w hv veh in traf, init
V24.9XXD@Unsp mtrcy rider injured in collision w hv veh in traf, subs
V24.9XXS@Unsp mtrcy rider injured in clsn w hv veh in traf, sequela
#
V25.0XXA@Mtrcy driver injured in clsn w rail trn/veh nontraf, init
V25.0XXD@Mtrcy driver injured in clsn w rail trn/veh nontraf, subs
V25.0XXS@Mtrcy driver injured in clsn w rail trn/veh nontraf, sequela
V25.1XXA@Mtrcy passenger injured in clsn w rail trn/veh nontraf, init
V25.1XXD@Mtrcy passenger injured in clsn w rail trn/veh nontraf, subs
V25.1XXS@Mtrcy pasngr injured in clsn w rail trn/veh nontraf, sequela
V25.2XXA@Unsp mtrcy rider inj in clsn w rail trn/veh nontraf, init
V25.2XXD@Unsp mtrcy rider inj in clsn w rail trn/veh nontraf, subs
V25.2XXS@Unsp mtrcy rider inj in clsn w rail trn/veh nontraf, sequela
V25.3XXA@Prsn brd/alit mtrcy injured in clsn w rail trn/veh, init
V25.3XXD@Prsn brd/alit mtrcy injured in clsn w rail trn/veh, subs
V25.3XXS@Prsn brd/alit mtrcy injured in clsn w rail trn/veh, sequela
V25.4XXA@Mtrcy driver injured in clsn w rail trn/veh in traf, init
V25.4XXD@Mtrcy driver injured in clsn w rail trn/veh in traf, subs
V25.4XXS@Mtrcy driver injured in clsn w rail trn/veh in traf, sequela
V25.5XXA@Mtrcy passenger injured in clsn w rail trn/veh in traf, init
V25.5XXD@Mtrcy passenger injured in clsn w rail trn/veh in traf, subs
V25.5XXS@Mtrcy pasngr injured in clsn w rail trn/veh in traf, sequela
V25.9XXA@Unsp mtrcy rider inj in clsn w rail trn/veh in traf, init
V25.9XXD@Unsp mtrcy rider inj in clsn w rail trn/veh in traf, subs
V25.9XXS@Unsp mtrcy rider inj in clsn w rail trn/veh in traf, sequela
#
V26.0XXA@Mtrcy driver injured in clsn w nonmtr vehicle nontraf, init
V26.0XXD@Mtrcy driver injured in clsn w nonmtr vehicle nontraf, subs
V26.0XXS@Mtrcy driver inj in clsn w nonmtr vehicle nontraf, sequela
V26.1XXA@Mtrcy pasngr injured in clsn w nonmtr vehicle nontraf, init
V26.1XXD@Mtrcy pasngr injured in clsn w nonmtr vehicle nontraf, subs
V26.1XXS@Mtrcy pasngr inj in clsn w nonmtr vehicle nontraf, sequela
V26.2XXA@Unsp mtrcy rider inj in clsn w nonmtr vehicle nontraf, init
V26.2XXD@Unsp mtrcy rider inj in clsn w nonmtr vehicle nontraf, subs
V26.2XXS@Unsp mtrcy rider inj in clsn w nonmtr vehicle nontraf, sqla
V26.3XXA@Prsn brd/alit mtrcy injured in clsn w nonmtr vehicle, init
V26.3XXD@Prsn brd/alit mtrcy injured in clsn w nonmtr vehicle, subs
V26.3XXS@Prsn brd/alit mtrcy inj in clsn w nonmtr vehicle, sequela
V26.4XXA@Mtrcy driver injured in clsn w nonmtr vehicle in traf, init
V26.4XXD@Mtrcy driver injured in clsn w nonmtr vehicle in traf, subs
V26.4XXS@Mtrcy driver inj in clsn w nonmtr vehicle in traf, sequela
V26.5XXA@Mtrcy pasngr injured in clsn w nonmtr vehicle in traf, init
V26.5XXD@Mtrcy pasngr injured in clsn w nonmtr vehicle in traf, subs
V26.5XXS@Mtrcy pasngr inj in clsn w nonmtr vehicle in traf, sequela
V26.9XXA@Unsp mtrcy rider inj in clsn w nonmtr vehicle in traf, init
V26.9XXD@Unsp mtrcy rider inj in clsn w nonmtr vehicle in traf, subs
V26.9XXS@Unsp mtrcy rider inj in clsn w nonmtr vehicle in traf, sqla
#
V27.0XXA@Mtrcy driver injured in clsn w statnry object nontraf, init
V27.0XXD@Mtrcy driver injured in clsn w statnry object nontraf, subs
V27.0XXS@Mtrcy driver inj in clsn w statnry object nontraf, sequela
V27.1XXA@Mtrcy pasngr injured in clsn w statnry object nontraf, init
V27.1XXD@Mtrcy pasngr injured in clsn w statnry object nontraf, subs
V27.1XXS@Mtrcy pasngr inj in clsn w statnry object nontraf, sequela
V27.2XXA@Unsp mtrcy rider inj in clsn w statnry object nontraf, init
V27.2XXD@Unsp mtrcy rider inj in clsn w statnry object nontraf, subs
V27.2XXS@Unsp mtrcy rider inj in clsn w statnry object nontraf, sqla
V27.3XXA@Prsn brd/alit mtrcy injured in clsn w statnry object, init
V27.3XXD@Prsn brd/alit mtrcy injured in clsn w statnry object, subs
V27.3XXS@Prsn brd/alit mtrcy inj in clsn w statnry object, sequela
V27.4XXA@Mtrcy driver injured in clsn w statnry object in traf, init
V27.4XXD@Mtrcy driver injured in clsn w statnry object in traf, subs
V27.4XXS@Mtrcy driver inj in clsn w statnry object in traf, sequela
V27.5XXA@Mtrcy pasngr injured in clsn w statnry object in traf, init
V27.5XXD@Mtrcy pasngr injured in clsn w statnry object in traf, subs
V27.5XXS@Mtrcy pasngr inj in clsn w statnry object in traf, sequela
V27.9XXA@Unsp mtrcy rider inj in clsn w statnry object in traf, init
V27.9XXD@Unsp mtrcy rider inj in clsn w statnry object in traf, subs
V27.9XXS@Unsp mtrcy rider inj in clsn w statnry object in traf, sqla
#
V28.0XXA@Mtrcy driver injured in nonclsn trnsp accident nontraf, init
V28.0XXD@Mtrcy driver injured in nonclsn trnsp accident nontraf, subs
V28.0XXS@Mtrcy driver injured in nonclsn trnsp acc nontraf, sequela
V28.1XXA@Mtrcy pasngr injured in nonclsn trnsp accident nontraf, init
V28.1XXD@Mtrcy pasngr injured in nonclsn trnsp accident nontraf, subs
V28.1XXS@Mtrcy pasngr injured in nonclsn trnsp acc nontraf, sequela
V28.2XXA@Unsp mtrcy rider injured in nonclsn trnsp acc nontraf, init
V28.2XXD@Unsp mtrcy rider injured in nonclsn trnsp acc nontraf, subs
V28.2XXS@Unsp mtrcy rider inj in nonclsn trnsp acc nontraf, sequela
V28.3XXA@Prsn brd/alit mtrcy injured in nonclsn trnsp accident, init
V28.3XXD@Prsn brd/alit mtrcy injured in nonclsn trnsp accident, subs
V28.3XXS@Prsn brd/alit mtrcy injured in nonclsn trnsp acc, sequela
V28.4XXA@Mtrcy driver injured in nonclsn trnsp accident in traf, init
V28.4XXD@Mtrcy driver injured in nonclsn trnsp accident in traf, subs
V28.4XXS@Mtrcy driver injured in nonclsn trnsp acc in traf, sequela
V28.5XXA@Mtrcy pasngr injured in nonclsn trnsp accident in traf, init
V28.5XXD@Mtrcy pasngr injured in nonclsn trnsp accident in traf, subs
V28.5XXS@Mtrcy pasngr injured in nonclsn trnsp acc in traf, sequela
V28.9XXA@Unsp mtrcy rider injured in nonclsn trnsp acc in traf, init
V28.9XXD@Unsp mtrcy rider injured in nonclsn trnsp acc in traf, subs
V28.9XXS@Unsp mtrcy rider inj in nonclsn trnsp acc in traf, sequela
#
V29.00XA@Mtrcy driver injured in collision w unsp mv nontraf, init
V29.00XD@Mtrcy driver injured in collision w unsp mv nontraf, subs
V29.00XS@Mtrcy driver injured in collision w unsp mv nontraf, sequela
V29.09XA@Mtrcy driver injured in collision w oth mv nontraf, init
V29.09XD@Mtrcy driver injured in collision w oth mv nontraf, subs
V29.09XS@Mtrcy driver injured in collision w oth mv nontraf, sequela
V29.10XA@Mtrcy passenger injured in collision w unsp mv nontraf, init
V29.10XD@Mtrcy passenger injured in collision w unsp mv nontraf, subs
V29.10XS@Mtrcy passenger injured in clsn w unsp mv nontraf, sequela
V29.19XA@Mtrcy passenger injured in collision w oth mv nontraf, init
V29.19XD@Mtrcy passenger injured in collision w oth mv nontraf, subs
V29.19XS@Mtrcy passenger injured in clsn w oth mv nontraf, sequela
V29.20XA@Unsp mtrcy rider injured in clsn w unsp mv nontraf, init
V29.20XD@Unsp mtrcy rider injured in clsn w unsp mv nontraf, subs
V29.20XS@Unsp mtrcy rider injured in clsn w unsp mv nontraf, sequela
V29.29XA@Unsp mtrcy rider injured in collision w oth mv nontraf, init
V29.29XD@Unsp mtrcy rider injured in collision w oth mv nontraf, subs
V29.29XS@Unsp mtrcy rider injured in clsn w oth mv nontraf, sequela
V29.3XXA@Motorcycle rider (driver) injured in unsp nontraf, init
V29.3XXD@Motorcycle rider (driver) injured in unsp nontraf, subs
V29.3XXS@Motorcycle rider (driver) injured in unsp nontraf, sequela
V29.40XA@Mtrcy driver injured in collision w unsp mv in traf, init
V29.40XD@Mtrcy driver injured in collision w unsp mv in traf, subs
V29.40XS@Mtrcy driver injured in collision w unsp mv in traf, sequela
V29.49XA@Mtrcy driver injured in collision w oth mv in traf, init
V29.49XD@Mtrcy driver injured in collision w oth mv in traf, subs
V29.49XS@Mtrcy driver injured in collision w oth mv in traf, sequela
V29.50XA@Mtrcy passenger injured in collision w unsp mv in traf, init
V29.50XD@Mtrcy passenger injured in collision w unsp mv in traf, subs
V29.50XS@Mtrcy passenger injured in clsn w unsp mv in traf, sequela
V29.59XA@Mtrcy passenger injured in collision w oth mv in traf, init
V29.59XD@Mtrcy passenger injured in collision w oth mv in traf, subs
V29.59XS@Mtrcy passenger injured in clsn w oth mv in traf, sequela
V29.60XA@Unsp mtrcy rider injured in clsn w unsp mv in traf, init
V29.60XD@Unsp mtrcy rider injured in clsn w unsp mv in traf, subs
V29.60XS@Unsp mtrcy rider injured in clsn w unsp mv in traf, sequela
V29.69XA@Unsp mtrcy rider injured in collision w oth mv in traf, init
V29.69XD@Unsp mtrcy rider injured in collision w oth mv in traf, subs
V29.69XS@Unsp mtrcy rider injured in clsn w oth mv in traf, sequela
V29.81XA@Mtrcy rider injured in trnsp acc w military vehicle, init
V29.81XD@Mtrcy rider injured in trnsp acc w military vehicle, subs
V29.81XS@Mtrcy rider injured in trnsp acc w military vehicle, sequela
V29.88XA@Mtrcy rider (driver) injured in oth transport acc, init
V29.88XD@Mtrcy rider (driver) injured in oth transport acc, subs
V29.88XS@Mtrcy rider (driver) injured in oth transport acc, sequela
V29.9XXA@Motorcycle rider (driver) injured in unsp traf, init
V29.9XXD@Motorcycle rider (driver) injured in unsp traf, subs
V29.9XXS@Motorcycle rider (driver) injured in unsp traf, sequela
#
V30.0XXA@Driver of 3-whl mv injured in clsn w ped/anml nontraf, init
V30.0XXD@Driver of 3-whl mv injured in clsn w ped/anml nontraf, subs
V30.0XXS@Driver of 3-whl mv inj in clsn w ped/anml nontraf, sequela
V30.1XXA@Pasngr in 3-whl mv injured in clsn w ped/anml nontraf, init
V30.1XXD@Pasngr in 3-whl mv injured in clsn w ped/anml nontraf, subs
V30.1XXS@Pasngr in 3-whl mv inj in clsn w ped/anml nontraf, sequela
V30.2XXA@Person outside 3-whl mv inj in clsn w ped/anml nontraf, init
V30.2XXD@Person outside 3-whl mv inj in clsn w ped/anml nontraf, subs
V30.2XXS@Person outsd 3-whl mv inj in clsn w ped/anml nontraf, sqla
V30.3XXA@Occup of 3-whl mv injured in clsn w ped/anml nontraf, init
V30.3XXD@Occup of 3-whl mv injured in clsn w ped/anml nontraf, subs
V30.3XXS@Occup of 3-whl mv inj in clsn w ped/anml nontraf, sequela
V30.4XXA@Prsn brd/alit a 3-whl mv injured in clsn w ped/anml, init
V30.4XXD@Prsn brd/alit a 3-whl mv injured in clsn w ped/anml, subs
V30.4XXS@Prsn brd/alit a 3-whl mv injured in clsn w ped/anml, sequela
V30.5XXA@Driver of 3-whl mv injured in clsn w ped/anml in traf, init
V30.5XXD@Driver of 3-whl mv injured in clsn w ped/anml in traf, subs
V30.5XXS@Driver of 3-whl mv inj in clsn w ped/anml in traf, sequela
V30.6XXA@Pasngr in 3-whl mv injured in clsn w ped/anml in traf, init
V30.6XXD@Pasngr in 3-whl mv injured in clsn w ped/anml in traf, subs
V30.6XXS@Pasngr in 3-whl mv inj in clsn w ped/anml in traf, sequela
V30.7XXA@Person outside 3-whl mv inj in clsn w ped/anml in traf, init
V30.7XXD@Person outside 3-whl mv inj in clsn w ped/anml in traf, subs
V30.7XXS@Person outsd 3-whl mv inj in clsn w ped/anml in traf, sqla
V30.9XXA@Occup of 3-whl mv injured in clsn w ped/anml in traf, init
V30.9XXD@Occup of 3-whl mv injured in clsn w ped/anml in traf, subs
V30.9XXS@Occup of 3-whl mv inj in clsn w ped/anml in traf, sequela
#
V31.0XXA@Driver of 3-whl mv injured in clsn w pedl cyc nontraf, init
V31.0XXD@Driver of 3-whl mv injured in clsn w pedl cyc nontraf, subs
V31.0XXS@Driver of 3-whl mv inj in clsn w pedl cyc nontraf, sequela
V31.1XXA@Pasngr in 3-whl mv injured in clsn w pedl cyc nontraf, init
V31.1XXD@Pasngr in 3-whl mv injured in clsn w pedl cyc nontraf, subs
V31.1XXS@Pasngr in 3-whl mv inj in clsn w pedl cyc nontraf, sequela
V31.2XXA@Person outside 3-whl mv inj in clsn w pedl cyc nontraf, init
V31.2XXD@Person outside 3-whl mv inj in clsn w pedl cyc nontraf, subs
V31.2XXS@Person outsd 3-whl mv inj in clsn w pedl cyc nontraf, sqla
V31.3XXA@Occup of 3-whl mv injured in clsn w pedl cyc nontraf, init
V31.3XXD@Occup of 3-whl mv injured in clsn w pedl cyc nontraf, subs
V31.3XXS@Occup of 3-whl mv inj in clsn w pedl cyc nontraf, sequela
V31.4XXA@Prsn brd/alit a 3-whl mv injured in clsn w pedl cyc, init
V31.4XXD@Prsn brd/alit a 3-whl mv injured in clsn w pedl cyc, subs
V31.4XXS@Prsn brd/alit a 3-whl mv injured in clsn w pedl cyc, sequela
V31.5XXA@Driver of 3-whl mv injured in clsn w pedl cyc in traf, init
V31.5XXD@Driver of 3-whl mv injured in clsn w pedl cyc in traf, subs
V31.5XXS@Driver of 3-whl mv inj in clsn w pedl cyc in traf, sequela
V31.6XXA@Pasngr in 3-whl mv injured in clsn w pedl cyc in traf, init
V31.6XXD@Pasngr in 3-whl mv injured in clsn w pedl cyc in traf, subs
V31.6XXS@Pasngr in 3-whl mv inj in clsn w pedl cyc in traf, sequela
V31.7XXA@Person outside 3-whl mv inj in clsn w pedl cyc in traf, init
V31.7XXD@Person outside 3-whl mv inj in clsn w pedl cyc in traf, subs
V31.7XXS@Person outsd 3-whl mv inj in clsn w pedl cyc in traf, sqla
V31.9XXA@Occup of 3-whl mv injured in clsn w pedl cyc in traf, init
V31.9XXD@Occup of 3-whl mv injured in clsn w pedl cyc in traf, subs
V31.9XXS@Occup of 3-whl mv inj in clsn w pedl cyc in traf, sequela
#
V32.0XXA@Driver of 3-whl mv inj in clsn w 2/3-whl mv nontraf, init
V32.0XXD@Driver of 3-whl mv inj in clsn w 2/3-whl mv nontraf, subs
V32.0XXS@Driver of 3-whl mv inj in clsn w 2/3-whl mv nontraf, sequela
V32.1XXA@Pasngr in 3-whl mv inj in clsn w 2/3-whl mv nontraf, init
V32.1XXD@Pasngr in 3-whl mv inj in clsn w 2/3-whl mv nontraf, subs
V32.1XXS@Pasngr in 3-whl mv inj in clsn w 2/3-whl mv nontraf, sequela
V32.2XXA@Person outsd 3-whl mv inj in clsn w 2/3-whl mv nontraf, init
V32.2XXD@Person outsd 3-whl mv inj in clsn w 2/3-whl mv nontraf, subs
V32.2XXS@Person outsd 3-whl mv inj in clsn w 2/3-whl mv nontraf, sqla
V32.3XXA@Occup of 3-whl mv injured in clsn w 2/3-whl mv nontraf, init
V32.3XXD@Occup of 3-whl mv injured in clsn w 2/3-whl mv nontraf, subs
V32.3XXS@Occup of 3-whl mv inj in clsn w 2/3-whl mv nontraf, sequela
V32.4XXA@Prsn brd/alit a 3-whl mv injured in clsn w 2/3-whl mv, init
V32.4XXD@Prsn brd/alit a 3-whl mv injured in clsn w 2/3-whl mv, subs
V32.4XXS@Prsn brd/alit a 3-whl mv inj in clsn w 2/3-whl mv, sequela
V32.5XXA@Driver of 3-whl mv inj in clsn w 2/3-whl mv in traf, init
V32.5XXD@Driver of 3-whl mv inj in clsn w 2/3-whl mv in traf, subs
V32.5XXS@Driver of 3-whl mv inj in clsn w 2/3-whl mv in traf, sequela
V32.6XXA@Pasngr in 3-whl mv inj in clsn w 2/3-whl mv in traf, init
V32.6XXD@Pasngr in 3-whl mv inj in clsn w 2/3-whl mv in traf, subs
V32.6XXS@Pasngr in 3-whl mv inj in clsn w 2/3-whl mv in traf, sequela
V32.7XXA@Person outsd 3-whl mv inj in clsn w 2/3-whl mv in traf, init
V32.7XXD@Person outsd 3-whl mv inj in clsn w 2/3-whl mv in traf, subs
V32.7XXS@Person outsd 3-whl mv inj in clsn w 2/3-whl mv in traf, sqla
V32.9XXA@Occup of 3-whl mv injured in clsn w 2/3-whl mv in traf, init
V32.9XXD@Occup of 3-whl mv injured in clsn w 2/3-whl mv in traf, subs
V32.9XXS@Occup of 3-whl mv inj in clsn w 2/3-whl mv in traf, sequela
#
V33.0XXA@Driver of 3-whl mv inj pk-up truck, pk-up/van nontraf, init
V33.0XXD@Driver of 3-whl mv inj pk-up truck, pk-up/van nontraf, subs
V33.0XXS@Driver of 3-whl mv inj pk-up truck, pk-up/van nontraf, sqla
V33.1XXA@Pasngr in 3-whl mv inj pk-up truck, pk-up/van nontraf, init
V33.1XXD@Pasngr in 3-whl mv inj pk-up truck, pk-up/van nontraf, subs
V33.1XXS@Pasngr in 3-whl mv inj pk-up truck, pk-up/van nontraf, sqla
V33.2XXA@Prsn outsd 3-whl mv inj pk-up truck, pk-up/van nontraf, init
V33.2XXD@Prsn outsd 3-whl mv inj pk-up truck, pk-up/van nontraf, subs
V33.2XXS@Prsn outsd 3-whl mv inj pk-up truck, pk-up/van nontraf, sqla
V33.3XXA@Occup of 3-whl mv inj pick-up truck, pk-up/van nontraf, init
V33.3XXD@Occup of 3-whl mv inj pick-up truck, pk-up/van nontraf, subs
V33.3XXS@Occup of 3-whl mv inj pk-up truck, pk-up/van nontraf, sqla
V33.4XXA@Prsn brd/alit a 3-whl mv inj pick-up truck, pk-up/van, init
V33.4XXD@Prsn brd/alit a 3-whl mv inj pick-up truck, pk-up/van, subs
V33.4XXS@Prsn brd/alit a 3-whl mv inj pk-up truck, pk-up/van, sequela
V33.5XXA@Driver of 3-whl mv inj pk-up truck, pk-up/van in traf, init
V33.5XXD@Driver of 3-whl mv inj pk-up truck, pk-up/van in traf, subs
V33.5XXS@Driver of 3-whl mv inj pk-up truck, pk-up/van in traf, sqla
V33.6XXA@Pasngr in 3-whl mv inj pk-up truck, pk-up/van in traf, init
V33.6XXD@Pasngr in 3-whl mv inj pk-up truck, pk-up/van in traf, subs
V33.6XXS@Pasngr in 3-whl mv inj pk-up truck, pk-up/van in traf, sqla
V33.7XXA@Prsn outsd 3-whl mv inj pk-up truck, pk-up/van in traf, init
V33.7XXD@Prsn outsd 3-whl mv inj pk-up truck, pk-up/van in traf, subs
V33.7XXS@Prsn outsd 3-whl mv inj pk-up truck, pk-up/van in traf, sqla
V33.9XXA@Occup of 3-whl mv inj pick-up truck, pk-up/van in traf, init
V33.9XXD@Occup of 3-whl mv inj pick-up truck, pk-up/van in traf, subs
V33.9XXS@Occup of 3-whl mv inj pk-up truck, pk-up/van in traf, sqla
#
V34.0XXA@Driver of 3-whl mv injured in clsn w hv veh nontraf, init
V34.0XXD@Driver of 3-whl mv injured in clsn w hv veh nontraf, subs
V34.0XXS@Driver of 3-whl mv injured in clsn w hv veh nontraf, sequela
V34.1XXA@Passenger in 3-whl mv injured in clsn w hv veh nontraf, init
V34.1XXD@Passenger in 3-whl mv injured in clsn w hv veh nontraf, subs
V34.1XXS@Pasngr in 3-whl mv injured in clsn w hv veh nontraf, sequela
V34.2XXA@Person outside 3-whl mv inj in clsn w hv veh nontraf, init
V34.2XXD@Person outside 3-whl mv inj in clsn w hv veh nontraf, subs
V34.2XXS@Person outsd 3-whl mv inj in clsn w hv veh nontraf, sequela
V34.3XXA@Occup of 3-whl mv injured in clsn w hv veh nontraf, init
V34.3XXD@Occup of 3-whl mv injured in clsn w hv veh nontraf, subs
V34.3XXS@Occup of 3-whl mv injured in clsn w hv veh nontraf, sequela
V34.4XXA@Prsn brd/alit a 3-whl mv injured in collision w hv veh, init
V34.4XXD@Prsn brd/alit a 3-whl mv injured in collision w hv veh, subs
V34.4XXS@Prsn brd/alit a 3-whl mv injured in clsn w hv veh, sequela
V34.5XXA@Driver of 3-whl mv injured in clsn w hv veh in traf, init
V34.5XXD@Driver of 3-whl mv injured in clsn w hv veh in traf, subs
V34.5XXS@Driver of 3-whl mv injured in clsn w hv veh in traf, sequela
V34.6XXA@Passenger in 3-whl mv injured in clsn w hv veh in traf, init
V34.6XXD@Passenger in 3-whl mv injured in clsn w hv veh in traf, subs
V34.6XXS@Pasngr in 3-whl mv injured in clsn w hv veh in traf, sequela
V34.7XXA@Person outside 3-whl mv inj in clsn w hv veh in traf, init
V34.7XXD@Person outside 3-whl mv inj in clsn w hv veh in traf, subs
V34.7XXS@Person outsd 3-whl mv inj in clsn w hv veh in traf, sequela
V34.9XXA@Occup of 3-whl mv injured in clsn w hv veh in traf, init
V34.9XXD@Occup of 3-whl mv injured in clsn w hv veh in traf, subs
V34.9XXS@Occup of 3-whl mv injured in clsn w hv veh in traf, sequela
#
V35.0XXA@Driver of 3-whl mv inj in clsn w rail trn/veh nontraf, init
V35.0XXD@Driver of 3-whl mv inj in clsn w rail trn/veh nontraf, subs
V35.0XXS@Driver of 3-whl mv inj in clsn w rail trn/veh nontraf, sqla
V35.1XXA@Pasngr in 3-whl mv inj in clsn w rail trn/veh nontraf, init
V35.1XXD@Pasngr in 3-whl mv inj in clsn w rail trn/veh nontraf, subs
V35.1XXS@Pasngr in 3-whl mv inj in clsn w rail trn/veh nontraf, sqla
V35.2XXA@Prsn outsd 3-whl mv inj in clsn w rail trn/veh nontraf, init
V35.2XXD@Prsn outsd 3-whl mv inj in clsn w rail trn/veh nontraf, subs
V35.2XXS@Prsn outsd 3-whl mv inj in clsn w rail trn/veh nontraf, sqla
V35.3XXA@Occup of 3-whl mv inj in clsn w rail trn/veh nontraf, init
V35.3XXD@Occup of 3-whl mv inj in clsn w rail trn/veh nontraf, subs
V35.3XXS@Occup of 3-whl mv inj in clsn w rail trn/veh nontraf, sqla
V35.4XXA@Prsn brd/alit a 3-whl mv inj in clsn w rail trn/veh, init
V35.4XXD@Prsn brd/alit a 3-whl mv inj in clsn w rail trn/veh, subs
V35.4XXS@Prsn brd/alit a 3-whl mv inj in clsn w rail trn/veh, sequela
V35.5XXA@Driver of 3-whl mv inj in clsn w rail trn/veh in traf, init
V35.5XXD@Driver of 3-whl mv inj in clsn w rail trn/veh in traf, subs
V35.5XXS@Driver of 3-whl mv inj in clsn w rail trn/veh in traf, sqla
V35.6XXA@Pasngr in 3-whl mv inj in clsn w rail trn/veh in traf, init
V35.6XXD@Pasngr in 3-whl mv inj in clsn w rail trn/veh in traf, subs
V35.6XXS@Pasngr in 3-whl mv inj in clsn w rail trn/veh in traf, sqla
V35.7XXA@Prsn outsd 3-whl mv inj in clsn w rail trn/veh in traf, init
V35.7XXD@Prsn outsd 3-whl mv inj in clsn w rail trn/veh in traf, subs
V35.7XXS@Prsn outsd 3-whl mv inj in clsn w rail trn/veh in traf, sqla
V35.9XXA@Occup of 3-whl mv inj in clsn w rail trn/veh in traf, init
V35.9XXD@Occup of 3-whl mv inj in clsn w rail trn/veh in traf, subs
V35.9XXS@Occup of 3-whl mv inj in clsn w rail trn/veh in traf, sqla
#
V36.0XXA@Driver of 3-whl mv inj in clsn w nonmtr veh nontraf, init
V36.0XXD@Driver of 3-whl mv inj in clsn w nonmtr veh nontraf, subs
V36.0XXS@Driver of 3-whl mv inj in clsn w nonmtr veh nontraf, sqla
V36.1XXA@Pasngr in 3-whl mv inj in clsn w nonmtr veh nontraf, init
V36.1XXD@Pasngr in 3-whl mv inj in clsn w nonmtr veh nontraf, subs
V36.1XXS@Pasngr in 3-whl mv inj in clsn w nonmtr veh nontraf, sqla
V36.2XXA@Person outsd 3-whl mv inj in clsn w nonmtr veh nontraf, init
V36.2XXD@Person outsd 3-whl mv inj in clsn w nonmtr veh nontraf, subs
V36.2XXS@Person outsd 3-whl mv inj in clsn w nonmtr veh nontraf, sqla
V36.3XXA@Occup of 3-whl mv inj in clsn w nonmtr vehicle nontraf, init
V36.3XXD@Occup of 3-whl mv inj in clsn w nonmtr vehicle nontraf, subs
V36.3XXS@Occup of 3-whl mv inj in clsn w nonmtr vehicle nontraf, sqla
V36.4XXA@Prsn brd/alit a 3-whl mv inj in clsn w nonmtr vehicle, init
V36.4XXD@Prsn brd/alit a 3-whl mv inj in clsn w nonmtr vehicle, subs
V36.4XXS@Prsn brd/alit a 3-whl mv inj in clsn w nonmtr vehicle, sqla
V36.5XXA@Driver of 3-whl mv inj in clsn w nonmtr veh in traf, init
V36.5XXD@Driver of 3-whl mv inj in clsn w nonmtr veh in traf, subs
V36.5XXS@Driver of 3-whl mv inj in clsn w nonmtr veh in traf, sqla
V36.6XXA@Pasngr in 3-whl mv inj in clsn w nonmtr veh in traf, init
V36.6XXD@Pasngr in 3-whl mv inj in clsn w nonmtr veh in traf, subs
V36.6XXS@Pasngr in 3-whl mv inj in clsn w nonmtr veh in traf, sqla
V36.7XXA@Person outsd 3-whl mv inj in clsn w nonmtr veh in traf, init
V36.7XXD@Person outsd 3-whl mv inj in clsn w nonmtr veh in traf, subs
V36.7XXS@Person outsd 3-whl mv inj in clsn w nonmtr veh in traf, sqla
V36.9XXA@Occup of 3-whl mv inj in clsn w nonmtr vehicle in traf, init
V36.9XXD@Occup of 3-whl mv inj in clsn w nonmtr vehicle in traf, subs
V36.9XXS@Occup of 3-whl mv inj in clsn w nonmtr vehicle in traf, sqla
#
V37.0XXA@Drvr of 3-whl mv inj in clsn w statnry object nontraf, init
V37.0XXD@Drvr of 3-whl mv inj in clsn w statnry object nontraf, subs
V37.0XXS@Drvr of 3-whl mv inj in clsn w statnry object nontraf, sqla
V37.1XXA@Pasngr in 3-whl mv inj in clsn w statnry obj nontraf, init
V37.1XXD@Pasngr in 3-whl mv inj in clsn w statnry obj nontraf, subs
V37.1XXS@Pasngr in 3-whl mv inj in clsn w statnry obj nontraf, sqla
V37.2XXA@Prsn outsd 3-whl mv inj in clsn w statnry obj nontraf, init
V37.2XXD@Prsn outsd 3-whl mv inj in clsn w statnry obj nontraf, subs
V37.2XXS@Prsn outsd 3-whl mv inj in clsn w statnry obj nontraf, sqla
V37.3XXA@Occup of 3-whl mv inj in clsn w statnry object nontraf, init
V37.3XXD@Occup of 3-whl mv inj in clsn w statnry object nontraf, subs
V37.3XXS@Occup of 3-whl mv inj in clsn w statnry object nontraf, sqla
V37.4XXA@Prsn brd/alit a 3-whl mv inj in clsn w statnry object, init
V37.4XXD@Prsn brd/alit a 3-whl mv inj in clsn w statnry object, subs
V37.4XXS@Prsn brd/alit a 3-whl mv inj in clsn w statnry object, sqla
V37.5XXA@Drvr of 3-whl mv inj in clsn w statnry object in traf, init
V37.5XXD@Drvr of 3-whl mv inj in clsn w statnry object in traf, subs
V37.5XXS@Drvr of 3-whl mv inj in clsn w statnry object in traf, sqla
V37.6XXA@Pasngr in 3-whl mv inj in clsn w statnry obj in traf, init
V37.6XXD@Pasngr in 3-whl mv inj in clsn w statnry obj in traf, subs
V37.6XXS@Pasngr in 3-whl mv inj in clsn w statnry obj in traf, sqla
V37.7XXA@Prsn outsd 3-whl mv inj in clsn w statnry obj in traf, init
V37.7XXD@Prsn outsd 3-whl mv inj in clsn w statnry obj in traf, subs
V37.7XXS@Prsn outsd 3-whl mv inj in clsn w statnry obj in traf, sqla
V37.9XXA@Occup of 3-whl mv inj in clsn w statnry object in traf, init
V37.9XXD@Occup of 3-whl mv inj in clsn w statnry object in traf, subs
V37.9XXS@Occup of 3-whl mv inj in clsn w statnry object in traf, sqla
#
